46 (45),May 22,TBR,,BOS,L,2-4,CG,36,9.0,1,4,0,5,3,SS
47,May 23,TBR,,BOS,L,1-4,CG,36,9.0,2,4,1,7,2,SS
48,May 24,TBR,,BOS,W,6-3,CG,35,9.0,0,2,0,2,0,SS
65 (16),Jun 11,TBR,,TOR,W,8-4,CG,34,9.0,2,3,0,5,1,SS
66,Jun 12,TBR,,TOR,W,4-1,CG,34,9.0,0,5,0,5,0,SS
67,Jun 13,TBR,,TOR,W,1-0,CG,35,9.0,1,2,0,3,1,SS
68,Jun 14,TBR,@,NYY,L,3-4,CG,33,8.0,0,1,0,1,0,SS
69,Jun 15,TBR,@,NYY,L,0-5,CG,34,8.0,2,2,0,4,1,SS
70,Jun 16,TBR,@,NYY,L,1-4,CG,35,8.0,3,1,1,5,1,SS
71,Jun 17,TBR,@,NYY,W,3-1,CG,37,9.0,3,3,0,6,1,2B
72,Jun 18,TBR,@,HOU,L,4-5,CG,38,8.1,2,1,0,3,0,SS
74 (1),Jun 20,TBR,@,HOU,L,1-5,CG,34,8.0,5,3,0,8,1,2B
75,Jun 22,TBR,,NYY,W,2-1,CG,37,9.0,2,4,0,6,1,SS
76,Jun 23,TBR,,NYY,W,4-0,CG,31,9.0,0,0,0,0,0,SS
77,Jun 24,TBR,,NYY,W,7-6,CG,50,12.0,2,5,0,7,1,2B
78,Jun 25,TBR,,WSN,W,11-0,CG,32,9.0,2,5,0,7,1,2B
80 (1),Jun 28,TBR,,HOU,L,0-1,CG,37,9.0,0,2,0,2,0,SS
81,Jun 29,TBR,,HOU,W,3-2,CG,32,9.0,3,4,0,7,0,2B
83 (1),Jul 1,TBR,,HOU,W,3-2,GS,24,7.0,0,3,0,3,0,SS
84,Jul 2,TBR,@,MIA,L,2-3,GS,33,8.0,1,6,0,7,1,2B
86 (1),Jul 4,TBR,@,MIA,L,0-3,GS,30,7.0,0,3,0,3,0,SS
87,Jul 6,TBR,@,NYM,L,1-5,CG,38,8.2,2,2,1,5,0,SS
90 (2),Jul 9,TBR,,DET,W,10-9,GS,36,7.0,2,2,1,5,1,2B
91,Jul 10,TBR,,DET,W,5-2,CG,33,9.0,1,1,0,2,0,2B
92,Jul 11,TBR,,DET,W,4-2,CG,35,9.0,1,1,0,2,0,SS
99 (6),Jul 22,TBR,,MIA,W,6-4,CG,39,9.0,0,2,1,3,0,SS
100,Jul 23,TBR,,NYY,W,7-6,CG,42,9.0,0,3,0,3,0,SS
101,Jul 24,TBR,,NYY,L,0-4,CG,36,9.0,1,4,0,5,0,SS
102,Jul 25,TBR,,NYY,W,3-2,GS,32,8.0,1,0,0,1,0,SS
104 (1),Jul 27,TBR,@,BAL,L,5-15,GS,47,8.0,0,1,1,2,0,SS 2B
105,Jul 28,TBR,@,BAL,L,2-11,CG,41,8.0,1,2,1,4,0,SS
106,Jul 29,TBR,@,BAL,L,5-11,GS,44,8.0,2,2,1,5,1,SS 2B
107,Jul 31,TBR,,LAA,W,10-6,CG,43,9.0,1,3,0,4,1,SS
108,Aug 1,TBR,,LAA,W,7-2,CG,36,9.0,1,2,1,4,0,SS
109,Aug 2,TBR,,LAA,W,4-2,CG,31,9.0,0,2,0,2,0,SS
110,Aug 3,TBR,,CHW,L,2-3,GF,8,2.0,0,1,0,1,0,SS
111,Aug 4,TBR,,CHW,L,1-2,CG,33,9.0,2,4,0,6,2,SS
112,Aug 5,TBR,,CHW,L,7-8,CG,41,9.0,0,1,0,1,1,SS
113,Aug 7,TBR,,BAL,W,4-3,CG,34,9.0,2,3,0,5,2,SS
114,Aug 8,TBR,,BAL,L,4-5,CG,36,9.0,0,6,0,6,0,SS
115,Aug 9,TBR,,BAL,W,5-4,CG,33,9.0,1,1,0,2,2,SS
116,Aug 10,TBR,@,TOR,W,7-0,CG,30,9.0,1,3,0,4,0,SS
117,Aug 11,TBR,@,TOR,W,3-1,CG,33,9.0,1,2,0,3,2,SS
118,Aug 12,TBR,@,TOR,L,1-2,CG,28,8.0,2,2,0,4,2,SS
119,Aug 14,TBR,@,NYY,L,1-4,CG,34,8.0,2,1,1,4,1,SS
120,Aug 15,TBR,@,NYY,W,6-1,CG,38,9.0,0,2,0,2,0,SS
121,Aug 16,TBR,@,NYY,W,3-1,CG,36,9.0,1,3,1,5,0,SS
122,Aug 17,TBR,@,BOS,L,3-7,CG,37,8.0,3,3,0,6,0,SS
123,Aug 18,TBR,@,BOS,L,2-5,CG,30,8.0,2,1,0,3,0,SS
125 (1),Aug 20,TBR,,KCR,W,1-0,CG,34,9.0,0,2,0,2,0,SS
126,Aug 21,TBR,,KCR,W,4-1,CG,36,9.0,1,2,0,3,0,SS
127,Aug 22,TBR,,KCR,W,6-3,CG,33,9.0,2,2,0,4,0,SS
128,Aug 23,TBR,,KCR,W,4-3,CG,36,9.0,2,2,0,4,1,SS
129,Aug 24,TBR,,BOS,W,10-3,CG,41,9.0,2,2,0,4,2,SS
130,Aug 25,TBR,,BOS,W,5-1,CG,31,9.0,1,2,0,3,1,SS
131,Aug 26,TBR,,BOS,W,9-1,CG,31,9.0,0,1,0,1,0,SS
132,Aug 28,TBR,@,ATL,L,5-9,CG,39,8.0,1,3,0,4,0,SS
133,Aug 29,TBR,@,ATL,W,8-5,CG,41,9.0,1,2,0,3,0,SS
134,Aug 31,TBR,@,CLE,L,0-3,CG,30,8.0,2,2,0,4,1,SS
135,Sep 1,TBR,@,CLE,W,5-3,CG,36,9.0,0,4,1,5,2,SS
136,Sep 2,TBR,@,CLE,W,6-4,CG,34,9.0,4,2,0,6,1,SS
138 (1),Sep 4,TBR,@,TOR,W,4-0,CG,32,9.0,0,2,0,2,0,SS
139,Sep 5,TBR,@,TOR,L,3-10,CG,45,8.0,0,1,0,1,0,SS
