52,11 (10),May 1,PHI,@,BSN,L,2-5,0-GF,3,3,0,0,0,0,0,1,0,,1,0,0,,,,0,,.000,.000,.000,.000,8,C
53,14 (2),May 4,PHI,@,BRO,L,0-2,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.000,.000,.000,.000,8,C
54,71 (56),Jul 13,PHI,@,CHC,L,5-6,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.000,.000,.000,.000,8,C
55,72,Jul 14,PHI,@,CHC,L,3-6,0-GF,2,2,1,1,0,0,0,0,0,,1,0,0,,,,0,,.200,.200,.200,.400,8,C
56,76 (3),Jul 20 (2),PHI,@,CIN,L,3-5,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.167,.167,.167,.333,9,PH
57,80 (3),Jul 24,PHI,@,PIT,L,1-9,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.143,.143,.143,.286,8,C
58,121 (40),Sep 4 (2),PHI,,BRO,W,10-3,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.143,.143,.143,.286,8,C
59,129 (7),Sep 11,PHI,@,NYG,L,4-9,0-GF,1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,,.125,.125,.125,.250,8,C
60,130,Sep 12,PHI,,STL,W,4-3,0-0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,.125,.125,.125,.250,8,C
61,153 (22),Oct 4,PHI,,BSN,W,7-5,0-GF,1,1,0,0,0,0,0,,0,,0,0,0,,,,0,,.111,.111,.111,.222,8,C
62,154,Oct 5,PHI,,BSN,L,1-4,CG,4,4,1,2,0,0,0,,0,,0,0,0,,,,0,,.231,.231,.231,.462,8,C
