224,1,Apr 14,CHC,,PIT,W,8-2,CG,4,4,1,2,1,0,0,1,0,0,0,0,0,,0,,0,1,.500,.500,.750,1.250,3,1.21,0.015,0.41,2B
225,2,Apr 15,CHC,,PIT,L,4-8,CG,5,3,0,0,0,0,0,1,2,0,0,0,0,,0,,0,0,.286,.444,.429,.873,3,.34,0.024,0.62,2B
226,3,Apr 16,CHC,,PIT,W,8-3,CG,5,4,0,1,1,0,0,0,0,0,0,0,1,,1,,0,0,.273,.385,.455,.839,3,.73,0.095,0.45,2B
227,4,Apr 17,CHC,,PIT,W,9-6,CG,4,3,0,1,0,0,0,0,0,0,0,0,1,,1,,1,0,.286,.375,.429,.804,3,.96,-0.027,-0.38,2B
228,5,Apr 18,CHC,,STL,L,5-20,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,,1,,0,0,.263,.333,.368,.702,3,.32,0.046,-0.53,2B
229,6,Apr 19,CHC,,STL,L,0-6,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,0,.217,.280,.304,.584,3,,,,2B
230,7,Apr 20,CHC,,STL,L,1-2,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,,0,,0,0,.222,.276,.333,.609,3,1.51,0.179,0.12,2B
231,12 (4),Apr 26,CHC,@,CIN,W,6-5,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,,1,,0,0,.219,.265,.313,.577,3,1.14,0.001,-0.03,2B
232,13,Apr 27,CHC,@,CIN,W,5-2,CG,4,4,1,3,0,0,0,0,0,0,0,0,0,,0,,1,1,.278,.316,.361,.677,3,.82,0.074,1.06,2B
233,14,Apr 28,CHC,@,CIN,L,3-9,GS-8,4,4,0,2,0,0,0,2,0,0,0,0,0,,0,,0,2,.300,.333,.375,.708,3,.81,0.000,0.88,2B
234,15,May 1,CHC,@,STL,W,6-4,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.267,.298,.333,.631,3,1.24,-0.168,-1.64,2B
235,16,May 2,CHC,@,STL,W,3-1,CG,4,4,0,4,0,0,0,1,0,0,0,0,0,,0,,1,1,.327,.353,.388,.741,3,1.04,0.229,1.10,2B
236,17,May 3,CHC,@,STL,L,7-8,CG,5,5,0,1,0,0,0,0,0,,0,0,0,,,,0,0,.315,.339,.370,.710,3,,,,2B
237,18,May 8,CHC,@,BSN,L,2-5,CG,4,4,0,2,0,0,0,1,0,0,0,0,0,,0,,2,0,.328,.350,.379,.729,3,1.17,0.106,1.01,2B
238,19,May 9,CHC,@,BSN,L,1-2,CG(11),5,4,0,1,0,0,0,1,0,0,0,0,0,,0,,0,0,.323,.344,.371,.715,3,1.47,-0.043,-0.05,2B
239,20,May 12 (1),CHC,@,BSN,L,0-2,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,.308,.338,.354,.692,3,1.65,-0.107,-0.77,2B
240,21,May 12 (2),CHC,@,BSN,L,1-3,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,.294,.333,.338,.672,3,1.80,-0.116,-0.67,2B
241,22,May 13,CHC,@,PHI,L,5-6,CG,5,5,0,2,0,0,0,0,0,0,0,0,0,,0,,0,0,.301,.338,.342,.680,3,1.58,-0.163,-0.78,2B
242,23,May 14,CHC,@,PHI,W,4-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.286,.321,.325,.646,3,1.02,-0.109,-1.26,2B
243,24,May 15,CHC,@,PHI,L,4-8,CG,4,4,1,2,0,1,0,1,0,0,0,0,0,,0,,0,0,.296,.329,.358,.687,3,.71,0.091,1.51,2B
244,25,May 16,CHC,@,PHI,L,5-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.282,.315,.341,.656,3,.60,-0.069,-0.95,2B
245,26,May 17,CHC,@,NYG,L,3-10,CG,4,4,0,0,0,0,0,1,0,,0,0,0,,,,1,0,.270,.301,.326,.627,3,,,,2B
