1,Apr 2,COL,,ARI,L,6-8,,1,0.1,0,0,0,0,0,P
3 (1),Apr 4,COL,,ARI,W,11-4,,1,0.1,0,0,0,0,0,P
5 (1),Apr 7,COL,@,SDP,L,2-3,,2,0.1,0,0,0,0,0,P
9 (3),Apr 11,COL,@,LAD,L,0-3,,4,1.0,0,1,0,1,0,P
10,Apr 13,COL,@,ARI,W,6-3,,2,1.0,0,0,0,0,0,P
11,Apr 14,COL,@,ARI,L,4-5,,2,0.0,0,0,0,0,0,P
12,Apr 15,COL,@,ARI,L,4-6,GF,3,1.0,0,0,0,0,0,P
15 (2),Apr 18,COL,,LAD,W,7-2,,3,1.0,0,0,0,0,0,P
17 (1),Apr 20,COL,,SDP,L,1-11,,9,2.0,0,1,0,1,0,P
21 (3),Apr 24,COL,@,NYM,L,1-2,,4,0.2,0,0,0,0,0,P
23 (1),Apr 27,COL,,ATL,L,7-9,,1,0.1,0,0,0,0,0,P
24,Apr 28,COL,,ATL,L,2-6,,4,1.0,0,0,0,0,0,P
26 (1),Apr 30,COL,@,SFG,L,5-9,,6,1.0,0,1,0,1,0,P
29 (2),May 4,COL,@,CIN,W,6-5,,4,0.2,0,1,0,1,0,P
31 (1),May 6,COL,@,CIN,L,3-9,GF,6,1.0,0,0,0,0,0,P
33 (1),May 8,COL,@,STL,L,1-4,GF,3,1.0,0,0,0,0,0,P
34,May 9,COL,@,STL,L,2-9,,1,0.1,0,0,0,0,0,P
35,May 10,COL,,SFG,W,5-3,,4,0.2,0,1,0,1,0,P
39 (3),May 15,COL,,ARI,L,0-3,GF,3,1.0,0,0,0,0,0,P
41 (1),May 17,COL,,ARI,L,1-3,,6,1.0,0,2,0,2,0,P
43 (1),May 19,COL,,KCR,W,6-4,,3,1.0,0,0,0,0,0,P
44,May 20,COL,,KCR,L,5-10,,3,1.0,0,1,0,1,0,P
45,May 21,COL,@,ARI,L,5-6,GF,8,2.0,0,0,0,0,0,P
48 (2),May 25,COL,@,SFG,W,5-3,,5,1.0,0,0,0,0,0,P
50 (1),May 27,COL,@,SFG,W,6-4,,1,0.0,0,0,0,0,0,P
52 (1),May 29,COL,,STL,W,8-3,,3,1.0,0,0,0,0,0,P
55 (2),Jun 1,COL,,CIN,L,2-4,,1,0.1,0,0,0,0,0,P
