2 (1),Apr 11,CHW,@,MIL,L,1-8,GF,3,1.0,0,0,0,0,0,P
3,Apr 13,CHW,@,BOS,L,2-7,,4,0.2,0,0,0,0,0,P
4,Apr 14,CHW,@,BOS,W,11-6,,6,1.2,0,1,0,1,0,P
5,Apr 15,CHW,@,BOS,W,6-5,,1,0.0,0,0,0,0,0,P
9 (3),Apr 20,CHW,,BOS,L,8-12,,4,0.2,0,0,0,0,0,P
11 (1),Apr 22,CHW,,MIL,L,2-4,GF,11,2.2,1,1,0,2,0,P
15 (3),Apr 27,CHW,,NYY,W,5-4,,2,0.2,1,1,0,2,0,P
20 (4),May 4,CHW,@,DET,L,1-7,GF,3,1.0,0,0,0,0,0,P
23 (2),May 8,CHW,@,CLE,W,4-0,,2,0.2,0,0,0,0,0,P
25 (1),May 11,CHW,,DET,W,7-4,,2,0.1,0,0,0,0,0,P
29 (3),May 15,CHW,,BAL,W,5-2,,3,0.2,0,0,0,0,0,P
32 (2),May 18,CHW,,TEX,L,2-7,,8,1.1,0,1,0,1,0,P
35 (2),May 21,CHW,@,TOR,L,3-4,,1,0.1,0,0,0,0,0,P
36,May 22,CHW,@,TOR,L,0-10,GF,4,1.0,0,0,0,0,0,P
37,May 24,CHW,@,KCR,L,4-8,,2,0.1,0,0,1,1,0,P
40 (2),May 28,CHW,,TOR,L,1-6,,4,0.0,0,0,0,0,0,P
57 (16),Jun 15,CHW,@,CAL,W,3-2,,2,0.2,0,0,0,0,0,P
59 (1),Jun 18,CHW,,OAK,W,4-3,,8,2.1,1,1,0,2,0,P
64 (4),Jun 23,CHW,,CAL,L,1-11,GF,3,1.0,1,0,0,1,0,P
66 (1),Jun 25,CHW,@,OAK,L,4-5,,11,3.0,0,0,0,0,0,P
68 (1),Jun 28,CHW,,MIN,L,4-5,,2,0.1,0,0,0,0,0,P
73 (4),Jul 3,CHW,,SEA,L,1-5,GF,3,1.0,0,0,0,0,0,P
78 (4),Jul 8,CHW,@,DET,W,9-4,,5,1.0,0,0,0,0,0,P
81 (2),Jul 11,CHW,@,BAL,L,6-7,,2,0.1,0,0,0,0,0,P
87 (5),Jul 20,CHW,,CLE,W,8-6,GF,7,1.2,0,0,0,0,0,P
89 (1),Jul 22,CHW,,DET,W,9-4,,6,0.2,0,0,0,0,0,P
93 (3),Jul 26,CHW,,BAL,W,9-8,GF,16,5.0,0,1,0,1,0,P
96 (2),Jul 30,CHW,@,BOS,W,7-5,GF,5,1.0,0,0,0,0,0,P
97,Jul 31,CHW,@,BOS,T,1-1,GF,5,1.0,0,0,0,0,0,P
99 (1),Aug 1 (2),CHW,@,BOS,L,3-4,GF,4,0.1,0,1,0,1,0,P
100,Aug 2,CHW,@,NYY,W,6-5,GF,3,1.0,1,0,0,1,0,P
105 (4),Aug 8 (2),CHW,,BOS,L,1-6,,7,1.1,0,0,0,0,0,P
107 (1),Aug 10,CHW,,MIL,L,2-5,,6,1.0,0,1,0,1,0,P
109 (1),Aug 12,CHW,,NYY,L,4-10,GF,3,1.0,0,0,0,0,0,P
111 (1),Aug 14,CHW,,NYY,L,7-10,,17,4.2,2,2,0,4,0,P
113 (1),Aug 16,CHW,@,MIL,L,2-3,GF,3,0.2,0,0,0,0,0,P
118 (4),Aug 22,CHW,,KCR,L,3-7,,2,0.0,0,0,0,0,0,P
120 (1),Aug 23 (2),CHW,,TOR,L,3-10,GF,5,1.1,0,0,0,0,0,P
121,Aug 24,CHW,,TOR,L,3-6,GF,5,1.1,1,0,0,1,0,P
123 (1),Aug 26,CHW,,BOS,W,7-6,,4,1.1,1,1,0,2,0,P
125 (1),Aug 28,CHW,,TEX,W,5-1,,5,1.1,1,1,0,2,0,P
126,Aug 29,CHW,,TEX,W,6-5,,5,1.2,0,0,0,0,0,P
127,Aug 30,CHW,@,TOR,L,3-5,GF,2,0.2,0,0,0,0,0,P
133 (5),Sep 5,CHW,@,TEX,W,11-4,GF,3,1.0,0,0,0,0,0,P
135 (1),Sep 7,CHW,@,TEX,W,3-2,,1,0.1,0,0,0,0,0,P
136,Sep 8,CHW,@,TEX,W,7-6,,1,0.2,0,0,0,0,0,P
137,Sep 9,CHW,,MIN,L,0-5,GF,1,0.1,0,0,0,0,0,P
141 (3),Sep 13,CHW,@,SEA,W,6-1,,3,1.0,0,2,0,2,0,P
143 (1),Sep 15,CHW,@,SEA,W,6-3,,4,1.1,0,0,0,0,0,P
145 (1),Sep 18,CHW,,CAL,L,3-9,,9,2.0,0,1,0,1,0,P
150 (4),Sep 23,CHW,@,CAL,W,6-5,,7,1.1,0,0,0,0,0,P
153 (2),Sep 26,CHW,@,OAK,W,11-7,GF,4,1.0,0,0,0,0,0,P
155 (1),Sep 28,CHW,@,OAK,L,4-7,,4,0.2,0,0,0,0,0,P
160 (4),Oct 3,CHW,,SEA,L,4-5,GF,3,1.0,0,0,0,0,0,P
