1,41 (40),May 15,CLE,@,TOR,L,2-4,GS-8,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.333,.000,.333,6,1.50,-0.062,-0.54,DH
2,42,May 16,CLE,,OAK,L,1-11,8-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.250,.000,.250,7,.00,0.000,-0.35,3B
3,43,May 17,CLE,,OAK,L,2-6,GS-7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.000,.333,.000,.333,8,1.27,-0.016,0.01,1B
4,45 (1),May 19,CLE,,DET,W,5-4,GS-9,4,3,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,.143,.300,.143,.443,8,1.84,0.097,0.39,1B
5,53 (7),May 27,CLE,@,CHW,L,1-2,GS-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.273,.125,.398,6,.41,-0.010,-0.09,1B
6,54,May 28,CLE,@,CHW,L,2-3,GS-8,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.182,.286,.182,.468,9,1.23,-0.006,-0.31,1B
7,55,May 30,CLE,,COL,W,5-2,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.143,.235,.143,.378,9,.93,-0.059,-1.38,1B
8,56,May 31,CLE,,COL,W,7-6,GS-8,3,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.188,.300,.188,.488,7,.81,-0.018,0.05,1B
9,136 (79),Sep 1,CLE,,DET,L,1-12,GS-9,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.167,.304,.167,.471,8,.53,-0.018,-0.32,DH
10,138 (1),Sep 3,CLE,,DET,W,7-0,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.158,.292,.158,.450,8,.00,0.000,-0.31,PH
11,141 (2),Sep 6,CLE,,CHW,W,3-1,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.130,.250,.130,.380,7,.81,-0.078,-0.74,1B
12,143 (1),Sep 8,CLE,,LAA,L,3-12,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.130,.250,.130,.380,4,,,,1B
13,147 (3),Sep 12,CLE,@,DET,L,2-7,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.130,.250,.130,.380,4,,,,1B
14,148,Sep 13,CLE,@,DET,L,4-5,GS-9,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.154,.258,.154,.412,9,.95,0.025,0.06,1B
15,151 (2),Sep 16,CLE,@,HOU,W,4-2,6-9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.148,.250,.148,.398,8,.19,-0.005,-0.10,PH
16,152,Sep 17,CLE,@,HOU,W,2-0,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.148,.250,.148,.398,8,,,,1B
17,153,Sep 18,CLE,@,HOU,W,2-1,10-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.242,.143,.385,7,2.27,-0.057,-0.22,PH
18,158 (4),Sep 23,CLE,,KCR,L,1-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.138,.235,.138,.373,8,.03,-0.001,-0.15,PH
19,162 (3),Sep 28,CLE,,TBR,W,7-2,CG,4,4,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,.121,.211,.121,.332,6,.81,-0.065,-0.08,1B
