670,35 (34),May 16,TOR,@,MIN,W,8-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,4,.11,-0.003,-0.17,PH
671,36,May 17,TOR,,CHW,W,3-2,GS-7,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.750,1.250,5,1.14,0.078,0.37,DH
672,38 (1),May 19,TOR,,CHW,W,1-0,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.286,.429,.714,5,1.06,-0.084,-0.85,DH
673,39,May 20,TOR,,CHW,L,0-3,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.200,.273,.300,.573,5,1.20,-0.166,-1.56,DH
674,41 (1),May 22,TOR,,MIN,W,3-2,GS-8,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.182,.357,.273,.630,5,1.39,0.002,0.13,DH
675,42,May 23,TOR,,MIN,W,4-1,8-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.333,.250,.583,4,.11,-0.003,-0.24,PH
676,44 (1),May 26,TOR,,CLE,W,2-1,GS-7,3,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,.143,.333,.214,.548,5,1.26,-0.028,-0.21,DH
677,45,May 27 (1),TOR,,CLE,W,6-1,CG,4,4,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,.167,.318,.278,.596,5,1.56,0.216,1.64,DH
678,46,May 27 (2),TOR,,CLE,W,6-5,GS-8,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.280,.238,.518,5,.81,-0.068,-0.80,DH
679,47,May 29,TOR,@,CHW,L,1-8,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.160,.276,.280,.556,5,1.31,-0.041,-0.09,DH
680,49 (1),Jun 1,TOR,,NYY,W,10-2,8-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.154,.267,.269,.536,4,.00,0.000,-0.24,PH
681,51 (1),Jun 3,TOR,,NYY,L,2-15,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.138,.265,.241,.506,5,.50,0.012,-0.61,DH
682,52,Jun 4,TOR,@,DET,L,3-6,GS-8,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.243,.219,.462,5,.92,-0.055,-0.59,DH
683,53,Jun 5,TOR,@,DET,W,8-4,CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.167,.268,.333,.602,5,.59,0.115,1.33,DH
684,54,Jun 6,TOR,@,DET,W,6-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.175,.267,.325,.592,5,.40,0.013,-0.72,DH
685,55,Jun 7,TOR,@,DET,L,3-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.159,.245,.295,.540,5,1.20,-0.124,-0.96,DH
686,56,Jun 8,TOR,@,NYY,L,3-4,GS-9,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.170,.264,.298,.562,5,1.42,-0.201,-1.17,DH
687,58 (1),Jun 10,TOR,@,NYY,L,3-5,8-8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.170,.278,.298,.576,9,3.27,0.035,0.17,PH
688,59,Jun 11,TOR,,DET,L,4-5,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.163,.268,.286,.554,5,1.31,-0.064,-0.61,DH
689,60,Jun 12,TOR,,DET,W,12-3,GS-4,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.176,.276,.294,.570,5,1.34,0.070,0.70,DH
690,61,Jun 13,TOR,,DET,W,7-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.274,.291,.565,5,.54,0.040,-0.12,DH
691,62,Jun 15,TOR,,BOS,W,4-3,GS-8,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.203,.288,.305,.593,5,1.60,0.053,-0.05,DH
692,64 (1),Jun 17,TOR,,BOS,W,5-3,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.194,.286,.290,.576,5,.62,-0.060,-1.05,DH
693,65,Jun 19,TOR,,MIL,L,5-6,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.185,.274,.277,.551,5,1.08,-0.099,-1.10,DH
694,66,Jun 20,TOR,,MIL,L,4-5,GS-8,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.191,.276,.294,.570,5,1.04,0.005,-0.15,DH
695,67,Jun 21,TOR,@,BOS,W,5-2,GS-9,4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.208,.288,.306,.593,5,.76,0.013,0.77,DH
696,68,Jun 22,TOR,@,BOS,L,1-8,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.197,.274,.289,.563,5,.34,-0.037,-0.92,DH
697,69,Jun 23,TOR,@,BOS,W,9-3,GS-9,4,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.215,.295,.304,.599,6,.31,-0.059,-1.26,1B
698,71 (1),Jun 25 (1),TOR,@,MIL,L,1-2,CG,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.205,.283,.289,.572,5,1.41,-0.088,-0.35,DH
699,72,Jun 25 (2),TOR,@,MIL,L,4-9,6-GF,2,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.212,.287,.329,.617,6,.04,0.001,1.49,1B
700,73,Jun 26,TOR,@,MIL,L,3-6,GS-9,3,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.218,.299,.368,.667,5,.98,0.045,1.10,DH
701,74,Jun 27,TOR,@,MIL,L,1-5,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.222,.307,.367,.674,5,.42,0.013,0.25,DH
702,76 (1),Jun 29,TOR,,OAK,L,1-2,CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.217,.314,.359,.673,5,1.48,-0.073,0.02,DH
