110 (109),Aug 6,MIN,@,KCR,W,7-0,GS,29,8.1,0,2,0,2,0,P
116 (5),Aug 12,MIN,,CLE,W,3-0,CG,29,9.0,0,1,0,1,0,P
121 (4),Aug 17,MIN,,CHW,L,5-8,GS,27,7.0,0,2,0,2,1,P
126 (4),Aug 22,MIN,@,DET,W,7-6,GS,27,5.2,0,1,0,1,0,P
131 (4),Aug 28,MIN,,KCR,L,1-8,GS,28,7.0,2,1,0,3,0,P
136 (4),Sep 2,MIN,@,HOU,W,10-6,GS,14,1.2,0,0,0,0,0,P
141 (4),Sep 8,MIN,,TOR,L,0-2,GS,25,7.0,0,1,0,1,0,P
147 (5),Sep 14,MIN,,TBR,L,0-7,GS,19,4.0,1,0,0,1,0,P
153 (5),Sep 20,MIN,@,OAK,L,0-11,GS,24,4.2,0,0,0,0,0,P
159 (5),Sep 26,MIN,,CLE,L,5-6,GS,27,5.2,1,1,0,2,0,P
