110 (109),Aug 7 (2),MIN,,BAL,L,4-10,,7,2.0,0,0,0,0,0,P
113 (2),Aug 10,MIN,@,MIL,L,1-5,GF,16,4.1,0,0,0,0,0,P
115 (1),Aug 12,MIN,@,MIL,L,9-10,,1,0.1,0,0,0,0,0,P
116,Aug 13,MIN,,DET,L,3-9,,3,0.2,0,0,0,0,0,P
120 (3),Aug 18,MIN,@,CLE,L,0-5,GF,3,1.0,0,0,0,0,0,P
121,Aug 19 (1),MIN,@,CLE,L,3-5,GF,10,3.0,0,0,0,0,0,P
127 (5),Aug 25,MIN,,MIL,L,6-10,,10,2.1,0,0,0,0,0,P
129 (1),Aug 27,MIN,@,DET,W,5-3,,1,0.1,0,0,0,0,0,P
136 (6),Sep 3,MIN,@,KCR,W,11-5,,3,0.2,0,0,0,0,0,P
139 (2),Sep 7,MIN,,CHW,L,2-5,,5,0.2,0,0,0,0,0,P
144 (4),Sep 12,MIN,,TEX,L,2-5,GF,6,1.0,0,0,0,0,0,P
146 (1),Sep 15,MIN,@,CHW,L,4-11,,11,2.0,0,0,0,0,0,P
152 (5),Sep 20 (2),MIN,,OAK,W,5-4,GF,8,3.0,0,0,0,0,0,P
155 (2),Sep 23,MIN,,CAL,L,7-15,,12,2.0,0,0,0,0,0,P
