144,1,Mar 28,MIA,,COL,L,3-6,CG,4,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,.333,.500,1.333,1.833,6,.27,0.002,0.99,16.00,21.70,C
145,2,Mar 29,MIA,,COL,L,1-6,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.167,.286,.667,.952,7,.76,-0.055,-0.38,0.00,0.00,C
146,4 (1),Mar 31,MIA,,COL,W,3-0,CG,3,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.222,.300,.556,.856,5,1.11,0.104,0.73,7.00,10.00,C
147,5,Apr 1,MIA,,NYM,L,3-7,CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.308,.357,.538,.896,7,1.81,-0.054,-0.61,6.00,6.00,C
148,6,Apr 2,MIA,,NYM,L,5-6,CG,5,4,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,.235,.316,.412,.728,6,2.10,-0.286,-1.94,4.00,6.20,C
149,7,Apr 3,MIA,,NYM,L,4-6,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.300,.389,.689,7,.49,-0.012,-0.56,0.00,0.00,PH
150,8,Apr 5,MIA,@,ATL,L,0-4,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.190,.261,.333,.594,5,.68,-0.052,-0.69,0.00,0.00,C
151,9,Apr 6,MIA,@,ATL,W,4-2,CG,4,4,2,3,0,0,2,3,0,0,1,0,0,0,0,0,0,0,.280,.333,.640,.973,5,1.70,0.452,2.65,33.00,43.90,C
152,11 (1),Apr 9,MIA,@,CIN,L,0-14,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,.250,.300,.571,.871,5,.55,-0.014,-0.44,0.00,0.00,C
153,12,Apr 10,MIA,@,CIN,L,1-2,CG,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.258,.324,.548,.872,5,1.17,-0.032,0.17,5.00,6.00,C
154,14 (1),Apr 12,MIA,,PHI,L,1-9,CG,4,4,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.286,.342,.543,.885,5,.36,0.040,0.46,8.00,9.20,C
155,15,Apr 13,MIA,,PHI,W,10-3,GS-7,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.316,.366,.553,.918,5,.39,-0.021,0.63,6.00,6.00,C
156,18 (2),Apr 16,MIA,,CHC,L,0-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.310,.356,.524,.879,4,1.04,-0.081,-0.69,3.00,3.00,C
157,19,Apr 17,MIA,,CHC,L,0-6,CG,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.326,.367,.522,.889,4,.60,0.068,0.52,6.00,6.00,C
158,20,Apr 19,MIA,,WSN,W,3-2,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.300,.340,.480,.820,4,1.02,-0.108,-0.94,0.00,0.00,C
159,21,Apr 20,MIA,,WSN,W,9-3,CG,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.283,.333,.453,.786,6,.72,-0.074,-0.70,2.00,3.00,C
160,23 (1),Apr 23,MIA,@,CLE,W,3-1,CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.281,.328,.491,.819,6,.73,0.089,0.14,14.00,18.70,C
161,24,Apr 24,MIA,@,CLE,L,2-6,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.267,.323,.467,.790,6,1.08,-0.023,-0.24,4.00,6.20,C
162,25,Apr 25,MIA,@,PHI,W,3-1,CG(10),5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.277,.329,.462,.790,6,1.46,-0.043,-0.19,6.00,6.00,C
163,26,Apr 26,MIA,@,PHI,L,0-4,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.290,.338,.464,.802,5,.89,-0.027,-0.03,6.00,6.00,C
164,27,Apr 27,MIA,@,PHI,L,9-12,CG,5,5,2,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.297,.342,.500,.842,5,.89,-0.047,1.25,21.00,28.40,C
165,29 (1),Apr 30,MIA,,CLE,L,4-7,CG,4,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.286,.337,.481,.818,5,.66,-0.026,-0.28,2.00,3.00,C
166,30,May 1,MIA,,CLE,W,4-2,CG,4,3,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.288,.345,.475,.820,6,.41,0.007,0.01,9.00,12.40,C
167,31,May 3,MIA,,ATL,L,2-7,CG,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.301,.363,.482,.845,6,.78,0.104,0.84,8.00,9.00,C
