1,54 (53),Jun 3 (1),SFG,@,NYM,W,6-4,CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.250,.250,1.000,1.250,8,1.04,0.237,1.21,C
2,55,Jun 3 (2),SFG,@,NYM,L,2-3,11-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.250,1.000,1.250,4,,,,C
3,56,Jun 4,SFG,@,NYM,W,7-6,CG(12),6,5,0,1,0,0,0,1,1,1,0,0,0,0,0,2,0,0,.222,.300,.556,.856,8,1.62,-0.273,-2.52,C
4,58 (1),Jun 6,SFG,,FLA,W,2-1,CG,3,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,.182,.308,.455,.762,8,1.30,-0.039,-0.51,C
5,60 (1),Jun 8,SFG,,PIT,W,5-4,CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.267,.353,.533,.886,8,2.92,0.506,1.45,C
6,61,Jun 9,SFG,,PIT,L,2-3,CG,4,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,.263,.333,.579,.912,8,4.02,-0.199,0.30,C
7,63 (1),Jun 11,SFG,,PIT,L,5-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.261,.320,.522,.842,8,1.82,-0.287,-2.47,C
8,64,Jun 13,SFG,@,ARI,L,1-2,CG,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.269,.321,.615,.937,8,.73,0.045,0.63,C
9,66 (1),Jun 15,SFG,@,ARI,W,8-2,CG,5,5,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.290,.333,.677,1.011,8,.38,-0.006,0.39,C
10,68 (1),Jun 17,SFG,@,SEA,L,1-8,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.265,.306,.618,.923,9,.43,-0.034,-0.74,C
11,69,Jun 18,SFG,@,SEA,L,1-5,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.270,.308,.595,.902,9,.99,0.011,-0.03,C
12,70,Jun 19,SFG,,LAA,W,2-1,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.286,.550,.836,8,.89,-0.068,-0.80,C
13,71,Jun 20,SFG,,LAA,W,3-2,CG,3,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,.262,.311,.571,.883,8,.75,0.036,0.37,C
14,73 (1),Jun 23,SFG,,OAK,L,3-4,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.261,.306,.543,.850,8,1.17,-0.037,-0.37,C
15,75 (1),Jun 25,SFG,,OAK,L,4-10,CG,3,3,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.286,.327,.592,.919,8,.83,0.116,1.25,C
16,76,Jun 27,SFG,,TEX,W,5-3,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.302,.339,.585,.924,8,.46,0.035,0.04,C
17,78 (1),Jun 29,SFG,,TEX,W,2-1,CG,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.291,.328,.564,.891,8,1.30,-0.053,-0.51,C
18,79,Jun 30,SFG,@,SDP,L,5-6,CG,4,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.271,.306,.525,.832,8,.73,-0.041,-0.43,C
19,80,Jul 1 (1),SFG,@,SDP,L,4-7,CG,4,3,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,.290,.318,.532,.850,8,1.17,0.116,1.53,C
20,82 (1),Jul 2,SFG,@,SDP,W,6-2,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.288,.314,.515,.829,8,.99,-0.050,-0.70,C
21,83,Jul 3,SFG,@,COL,W,9-6,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.310,.507,.817,7,.19,-0.005,-0.27,C
22,84,Jul 4,SFG,@,COL,L,1-6,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.311,.500,.811,8,.70,-0.054,-0.47,C
23,85,Jul 5,SFG,@,COL,L,3-5,CG,4,4,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,.311,.333,.595,.928,8,.65,0.071,2.13,C
24,86,Jul 6,SFG,@,LAD,W,5-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.308,.329,.577,.906,8,.83,-0.040,-0.66,C
25,87,Jul 7,SFG,@,LAD,L,7-9,CG,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.296,.318,.556,.873,8,1.78,-0.156,-1.27,C
