1248,2 (1),Apr 3,KCR,,MIN,L,0-1,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,7,,,,1B
1249,4 (1),Apr 6,KCR,,CHW,L,0-14,8-GF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1.000,,,9,.01,0.000,0.40,PH 2B
1250,6 (1),Apr 9,KCR,@,BOS,L,4-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.500,.000,.500,7,.06,-0.002,-0.12,PH
1251,8 (1),Apr 11,KCR,@,BOS,W,8-5,GS-9,4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.250,.500,.250,.750,9,2.06,0.167,0.71,2B
1252,9,Apr 12,KCR,@,CLE,L,1-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.429,.200,.629,9,.99,-0.025,-0.17,PH
1253,11 (1),Apr 16,KCR,@,MIN,L,5-8,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.375,.167,.542,9,.58,-0.015,-0.18,PH 2B
1254,12,Apr 17,KCR,@,MIN,W,16-3,CG,5,4,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.300,.462,.300,.762,9,.50,-0.052,0.40,2B 3B
1255,13,Apr 18,KCR,@,MIN,L,1-4,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.231,.375,.231,.606,6,1.39,-0.160,-1.38,3B
1256,14,Apr 19,KCR,,BOS,L,0-4,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.188,.316,.188,.503,7,.78,-0.062,-0.67,3B
1257,16 (1),Apr 21 (2),KCR,,BOS,L,7-8,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.200,.304,.200,.504,7,1.14,0.007,0.31,3B
1258,21 (4),Apr 27,KCR,,BAL,L,4-9,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.190,.292,.190,.482,5,.45,-0.012,-0.20,PH
1259,22,Apr 28,KCR,,BAL,L,0-13,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.160,.250,.160,.410,5,.38,-0.040,-1.58,2B
1260,25 (2),May 1,KCR,@,DET,L,6-7,CG,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.167,.242,.167,.409,1,2.25,0.261,2.12,3B
1261,26,May 2,KCR,@,BAL,L,2-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.161,.235,.161,.397,8,.18,-0.005,-0.17,PH
1262,27,May 3,KCR,@,BAL,L,3-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.156,.229,.156,.385,8,2.89,-0.075,-0.24,PH
1263,28,May 4,KCR,@,BAL,L,0-10,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.152,.222,.152,.374,9,.01,0.000,-0.24,PH 2B
1264,29,May 5,KCR,@,BAL,L,2-3,GS-8,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.162,.225,.162,.387,5,1.16,-0.009,-0.53,3B
1265,31 (1),May 8,KCR,@,MIN,L,1-3,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.158,.220,.158,.377,8,1.20,-0.027,-0.22,PH
