3 (2),Apr 10,WSA,,NYY,W,9-6,GS,32,7.0,1,0,0,1,0,LF
5 (1),Apr 12,WSA,@,BAL,L,0-9,CG,42,8.0,4,1,0,5,0,LF
8 (2),Apr 15,WSA,@,NYY,L,2-8,CG,45,8.0,0,0,0,0,0,RF
12 (3),Apr 19,WSA,,BAL,W,7-5,GS,27,6.0,1,0,0,1,0,LF
13,Apr 20 (1),WSA,,BAL,L,1-2,GS,31,8.0,2,0,0,2,0,LF
17 (3),Apr 23,WSA,@,BOS,W,9-3,GF,10,3.0,1,0,0,1,0,PH LF
18,Apr 25,WSA,@,CLE,W,10-3,CG,40,9.0,2,0,0,2,0,LF
19,Apr 26,WSA,@,CLE,W,8-1,CG,34,9.0,1,1,0,2,0,LF
23 (3),Apr 30,WSA,,BOS,W,1-0,GF,5,1.0,1,0,0,1,0,PH 1B
37 (13),May 17,WSA,@,CHW,L,0-6,CG,37,8.0,0,0,1,1,0,LF
39 (1),May 18 (2),WSA,@,CHW,W,3-2,GS,25,6.0,0,0,0,0,0,LF
41 (1),May 21,WSA,,SEP,L,2-6,GF,9,2.0,1,0,0,1,0,PH RF
43 (1),May 23,WSA,,KCR,L,3-4,GS,29,7.0,0,1,0,1,0,LF
45 (1),May 25,WSA,,KCR,L,2-3,CG,47,12.0,3,1,0,4,0,RF
47 (1),May 27,WSA,,MIN,W,5-1,GS,28,7.0,3,0,0,3,0,RF
48,May 28,WSA,,MIN,W,4-3,CG,41,9.0,1,0,0,1,0,RF
49,May 30 (1),WSA,,CHW,W,5-4,GS,34,7.0,1,0,0,1,0,RF
51 (1),May 31,WSA,,CHW,W,7-5,GS,34,8.0,1,0,1,2,0,RF
52,Jun 1,WSA,,CHW,W,9-2,CG,33,9.0,1,0,0,1,0,RF
56 (3),Jun 6,WSA,@,MIN,W,1-0,GS,31,8.0,0,0,0,0,0,RF
57,Jun 7,WSA,@,MIN,L,1-10,GF,3,1.0,0,0,0,0,0,PH LF
63 (5),Jun 14,WSA,,CAL,L,2-3,GS,24,6.0,1,0,0,1,0,LF
64,Jun 17,WSA,,BAL,L,1-5,CG,40,9.0,0,0,0,0,0,LF
66 (1),Jun 19,WSA,,BAL,L,0-2,CG,38,9.0,4,0,0,4,0,RF
68 (1),Jun 21,WSA,@,DET,L,5-9,GS,39,8.0,2,0,1,3,0,RF LF
71 (2),Jun 23,WSA,@,BAL,L,3-5,CG,35,8.0,1,1,0,2,0,LF
73 (1),Jun 25,WSA,@,BAL,W,11-8,CG,43,9.0,1,0,0,1,0,RF
74,Jun 27,WSA,,BOS,L,2-4,CG,36,9.0,1,0,0,1,0,RF
75,Jun 28,WSA,,BOS,W,4-3,GF,7,2.0,2,0,0,2,0,PH LF
80 (4),Jul 2,WSA,@,CLE,W,5-1,CG,37,9.0,1,0,0,1,0,LF
83 (2),Jul 4 (2),WSA,@,BOS,L,4-7,CG,38,8.0,4,0,0,4,0,RF
84,Jul 5 (1),WSA,@,BOS,W,6-2,GF,13,4.0,0,0,0,0,0,PH RF LF
85,Jul 5 (2),WSA,@,BOS,L,4-11,CG,42,8.0,2,0,0,2,0,RF
86,Jul 6,WSA,@,BOS,W,5-0,CG,33,9.0,1,0,0,1,0,LF
88 (1),Jul 8,WSA,,CLE,L,5-6,,22,4.0,0,0,0,0,0,PH RF
92 (3),Jul 13 (1),WSA,,NYY,W,5-4,CG,35,9.0,2,1,0,3,0,LF
93,Jul 13 (2),WSA,,NYY,W,10-1,GS,38,9.0,3,0,0,3,0,LF 1B
95 (1),Jul 15,WSA,,DET,W,7-3,GS,28,6.0,1,0,0,1,0,LF
96,Jul 16,WSA,,DET,L,0-3,CG,36,9.0,1,0,0,1,0,LF
98 (1),Jul 18,WSA,@,NYY,L,0-5,CG,35,8.0,1,0,0,1,0,RF
109 (10),Aug 1,WSA,@,CAL,W,5-3,CG,33,9.0,1,0,0,1,0,LF
113 (3),Aug 6,WSA,@,CHW,W,4-3,GF,4,1.0,1,0,0,1,0,PH RF
114,Aug 8,WSA,,SEP,W,10-3,GS,24,6.0,2,0,0,2,0,LF
117 (2),Aug 11,WSA,,KCR,W,2-1,CG,33,9.0,0,0,0,0,0,LF
119 (1),Aug 13,WSA,,KCR,L,3-7,GF,4,1.0,0,0,0,0,0,LF
120,Aug 15,WSA,,MIN,L,0-2,GF,3,1.0,0,0,0,0,0,PH LF
121,Aug 16,WSA,,MIN,W,6-5,CG,37,9.0,4,0,1,5,0,LF
124 (2),Aug 20,WSA,,CHW,W,4-1,GS,25,7.0,1,0,0,1,0,RF
125,Aug 22,WSA,@,KCR,L,2-3,CG,33,8.0,1,0,0,1,0,RF
128 (2),Aug 25,WSA,@,MIN,W,7-3,GS,29,8.0,1,0,0,1,0,RF LF
129,Aug 26,WSA,@,MIN,L,4-6,GF,3,1.0,0,0,0,0,0,PH LF
131 (1),Aug 29,WSA,,OAK,L,0-5,GF,8,1.0,0,0,0,0,0,PH LF
132,Aug 30,WSA,,OAK,W,11-3,GF,28,7.0,3,0,0,3,0,PH LF 1B
139 (6),Sep 6,WSA,@,BOS,L,5-9,GF,4,1.0,0,0,0,0,0,PH LF
140,Sep 7,WSA,@,BOS,W,3-2,GS,38,9.0,1,0,0,1,0,RF
141,Sep 9 (1),WSA,@,BAL,L,1-6,CG,37,8.0,4,0,0,4,0,RF
142,Sep 9 (2),WSA,@,BAL,L,2-3,CG,35,8.0,0,0,0,0,0,RF
143,Sep 10,WSA,,NYY,W,6-1,CG,32,9.0,1,0,0,1,0,RF
144,Sep 11,WSA,,NYY,W,7-3,GS,27,7.0,1,0,0,1,0,RF
145,Sep 12,WSA,,DET,W,4-3,CG,35,9.0,2,0,0,2,0,LF
146,Sep 13,WSA,,DET,W,11-6,CG,37,9.0,2,0,0,2,0,RF
147,Sep 14,WSA,,DET,L,4-7,CG,56,12.0,2,0,0,2,0,RF
149 (1),Sep 16,WSA,,BAL,L,0-1,CG,41,9.0,1,0,0,1,0,RF
150,Sep 17,WSA,@,NYY,L,1-2,CG,22,5.0,2,0,0,2,0,LF
155 (4),Sep 24 (2),WSA,@,DET,W,7-4,CG,46,9.0,0,0,0,0,0,RF
156,Sep 25,WSA,@,DET,W,7-2,GS,20,6.0,0,0,0,0,0,RF
158 (1),Sep 27,WSA,,CLE,W,3-2,GS,25,6.0,3,0,0,3,0,RF
159,Sep 28,WSA,,CLE,W,7-6,GS,31,7.0,1,0,0,1,0,RF
161 (1),Sep 30,WSA,,BOS,W,7-2,GS,30,7.0,0,0,0,0,0,RF
162,Oct 1,WSA,,BOS,W,3-2,GS,28,8.0,2,0,2,4,0,RF
