11 (10),Apr 17,BAL,@,TOR,L,4-7,CG,35,8.0,3,0,0,3,0,CF
15 (3),Apr 22,BAL,@,TBD,L,0-1,CG,32,8.0,8,0,0,8,0,CF
21 (5),Apr 29,BAL,,KCR,L,5-15,GF,11,1.0,0,0,0,0,0,PR 1B
22,Apr 30,BAL,,MIN,W,7-1,CG,34,9.0,4,2,0,6,1,1B
24 (1),May 2,BAL,,MIN,W,6-0,CG,34,9.0,1,0,0,1,0,CF
26 (1),May 5,BAL,,CHW,W,8-0,GF,6,2.0,1,0,0,1,0,RF
28 (1),May 7,BAL,@,DET,W,9-4,CG,42,9.0,4,0,0,4,0,CF
36 (7),May 15,BAL,@,TEX,L,1-8,GF,5,1.0,0,0,0,0,0,LF
37,May 16,BAL,@,TEX,W,16-5,GF,11,2.0,0,0,0,0,0,RF LF
39 (1),May 19,BAL,,ANA,L,4-5,GF,6,1.0,0,0,0,0,0,RF
42 (2),May 22,BAL,,TEX,L,7-8,CG,44,9.0,4,0,0,4,0,RF
43,May 23,BAL,,TEX,W,15-6,GF,6,1.0,1,0,0,1,0,DH RF
49 (5),May 30,BAL,@,OAK,L,5-11,GF,7,2.0,0,0,0,0,0,3B
50,May 31,BAL,@,SEA,L,6-10,CG,42,8.0,2,0,0,2,0,CF
51,Jun 1,BAL,@,SEA,W,14-11,GF,8,1.0,1,0,0,1,0,RF
53 (1),Jun 4,BAL,,PHI,L,5-9,GF,8,1.0,0,0,0,0,0,2B
54,Jun 5,BAL,,PHI,W,7-6,GF,10,2.0,0,0,0,0,0,RF
57 (2),Jun 8 (2),BAL,@,FLA,L,3-5,GF,11,2.0,0,0,0,0,0,PH CF
58,Jun 9,BAL,@,FLA,W,4-2,GF,3,1.0,0,0,0,0,0,RF
61 (2),Jun 13,BAL,@,ATL,W,22-1,GF,16,4.0,2,0,0,2,0,LF
64 (2),Jun 16,BAL,,KCR,W,2-1,CG,37,9.0,3,0,0,3,0,CF
65,Jun 17,BAL,@,CHW,L,3-9,GF,4,1.0,0,0,0,0,0,2B
68 (2),Jun 20,BAL,@,CHW,W,8-4,GF,5,1.0,0,0,0,0,0,RF
73 (4),Jun 26,BAL,,NYY,L,4-7,GF,3,1.0,0,0,0,0,0,RF
76 (2),Jun 30,BAL,@,TOR,L,9-10,GS,38,9.0,3,0,0,3,0,CF
81 (4),Jul 5,BAL,@,NYY,W,9-1,CG,36,9.0,4,0,0,4,0,RF
82,Jul 6,BAL,,TOR,L,3-4,GS,27,7.0,2,0,0,2,0,CF
84 (1),Jul 8,BAL,,TOR,L,6-11,GF,13,3.0,0,0,0,0,0,CF
85,Jul 9,BAL,@,PHI,L,2-4,CG,39,8.0,2,0,0,2,0,CF
87 (1),Jul 11,BAL,@,PHI,W,6-2,GF,3,1.0,0,0,0,0,0,LF
88,Jul 15,BAL,,MON,W,8-2,GF,5,1.0,0,0,0,0,0,RF
89,Jul 16,BAL,,MON,W,9-4,GF,11,2.0,1,0,0,1,0,LF
93 (3),Jul 20,BAL,,NYM,W,4-1,CG,34,9.0,3,0,0,3,0,CF
94,Jul 21,BAL,@,BOS,W,6-1,GF,5,1.0,1,0,0,1,0,RF
97 (2),Jul 24,BAL,,ANA,W,8-4,GF,6,1.0,0,0,0,0,0,PH LF
98,Jul 25,BAL,,ANA,W,8-7,CG,45,11.0,3,0,0,3,0,CF
100 (1),Jul 28,BAL,,TEX,W,8-6,GF,9,2.0,1,0,0,1,0,PH CF
102 (1),Jul 30,BAL,@,SEA,L,4-7,CG,38,8.0,2,0,0,2,0,CF
103,Jul 31,BAL,@,SEA,L,2-5,CG,35,8.0,3,0,0,3,0,CF
104,Aug 1,BAL,@,SEA,L,1-3,CG,29,8.0,0,0,0,0,0,CF
107 (2),Aug 4,BAL,@,OAK,W,9-5,GF,5,1.0,0,0,0,0,0,RF
113 (5),Aug 10,BAL,@,TBD,W,17-1,GF,8,2.0,0,0,0,0,0,PH CF
118 (4),Aug 17,BAL,,MIN,W,8-3,GF,4,1.0,0,0,0,0,0,RF
120 (1),Aug 19,BAL,,MIN,W,9-3,GF,4,1.0,1,0,0,1,0,PH LF
122 (1),Aug 21 (2),BAL,,CHW,L,5-8,GS,43,9.0,3,0,0,3,0,RF
130 (7),Aug 29,BAL,@,DET,W,11-4,CG,34,9.0,1,0,0,1,0,LF
133 (2),Sep 2,BAL,,TBD,W,11-6,GF,15,3.0,1,0,0,1,0,PR LF
134,Sep 3,BAL,,CLE,L,6-7,CG,42,9.0,2,0,0,2,0,LF
136 (1),Sep 5,BAL,,CLE,L,7-15,GF,4,1.0,0,0,0,0,0,LF
140 (3),Sep 9,BAL,@,MIN,W,6-5,GF,14,3.0,0,0,0,0,0,PH LF
145 (4),Sep 14,BAL,,OAK,W,13-6,GF,9,2.0,0,0,0,0,0,RF
148 (2),Sep 19,BAL,@,ANA,W,5-4,GF,8,2.0,0,0,0,0,0,LF
152 (3),Sep 23 (2),BAL,,OAK,W,12-4,GF,6,2.0,1,0,0,1,0,LF
155 (2),Sep 26,BAL,@,BOS,W,8-5,GF,10,2.0,0,0,0,0,0,RF
157 (1),Sep 28,BAL,,NYY,L,5-9,CG,45,9.0,2,0,0,2,0,RF
