2 (1),Apr 9,CAL,,SEP,W,7-3,GF,6,2.0,2,0,0,2,0,1B
3,Apr 11,CAL,,MIN,W,5-3,GF,11,3.0,3,0,0,3,0,1B
5 (1),Apr 13,CAL,,MIN,L,4-5,GF,4,1.0,0,0,0,0,0,1B
6,Apr 14,CAL,,CHW,L,3-4,GF,4,1.0,0,0,0,0,0,1B
7,Apr 16,CAL,@,OAK,L,1-6,GF,6,1.0,1,0,0,1,0,2B
9 (1),Apr 19,CAL,@,MIN,L,5-6,GF,14,2.1,3,0,0,3,0,1B
11 (1),Apr 22,CAL,@,CHW,W,8-0,GF,5,1.0,1,0,0,1,0,1B
13 (1),Apr 25,CAL,@,KCR,W,6-3,GF,8,2.0,1,1,0,2,0,PH 2B
14,Apr 27,CAL,@,KCR,W,6-2,GF,7,2.0,1,0,0,1,1,1B
15,Apr 29,CAL,@,SEP,L,0-1,GF,4,1.0,0,0,0,0,0,2B
20 (4),May 3,CAL,,KCR,W,3-2,GF,4,1.0,1,0,0,1,1,1B
24 (3),May 9,CAL,,BOS,L,2-7,GF,8,1.0,1,0,0,1,0,1B
25,May 10,CAL,,BOS,L,3-6,GS,35,9.0,0,4,0,4,0,2B 1B
26,May 11,CAL,,BOS,L,3-7,GS,29,7.0,0,1,0,1,0,2B
27,May 12,CAL,,WSA,W,3-2,GS,34,9.0,5,4,0,9,0,2B 1B
29 (1),May 14,CAL,,WSA,W,1-0,CG,36,9.0,3,2,1,6,0,2B
30,May 16,CAL,@,NYY,L,1-2,GF,11,2.2,3,0,0,3,0,1B
35 (4),May 21 (2),CAL,@,BOS,L,3-8,GF,12,4.0,2,4,0,6,1,SS
40 (4),May 27,CAL,,CLE,W,2-1,GF,7,2.0,1,0,0,1,0,1B
41,May 28,CAL,,CLE,W,5-4,GF,3,1.0,0,0,0,0,0,1B
46 (4),Jun 3,CAL,,DET,W,4-2,GF,4,1.0,1,0,0,1,0,1B
53 (6),Jun 11,CAL,@,BAL,W,7-5,GF,15,4.0,3,0,0,3,0,1B
54,Jun 13,CAL,@,WSA,L,2-6,GF,3,1.0,0,1,0,1,0,SS
55,Jun 14,CAL,@,WSA,W,3-2,GF,3,1.0,1,0,0,1,0,1B
57 (1),Jun 17,CAL,@,MIN,W,13-1,GF,6,2.0,0,0,0,0,0,PR SS
63 (5),Jun 22,CAL,,CHW,L,0-1,GF,3,1.0,0,1,0,1,0,2B
77 (13),Jul 4 (2),CAL,@,CHW,L,1-3,CG,34,8.0,1,1,0,2,0,3B
82 (4),Jul 9 (1),CAL,@,SEP,L,0-8,GF,10,2.0,0,1,0,1,0,SS
108 (25),Aug 9,CAL,@,BOS,L,4-9,GF,24,4.0,1,0,0,1,0,SS
149 (40),Sep 17,CAL,@,MIN,W,6-4,GF,4,1.0,0,0,0,0,0,1B
160 (10),Sep 28,CAL,@,OAK,W,6-5,GF,17,3.0,1,0,0,1,0,3B
