3 (2),Apr 22,PHA,@,BOS,L,2-5,GF,7,2.0,1,1,0,2,1,SS
4,Apr 23,PHA,@,BOS,W,12-8,GF,7,2.0,0,0,0,0,0,2B
6 (1),Apr 25,PHA,@,NYY,L,4-8,GF,5,1.0,1,1,0,2,1,SS
9 (2),Apr 30,PHA,,BOS,L,1-3,GF,9,2.0,0,0,0,0,0,SS
11 (1),May 3,PHA,@,CHW,W,3-1,CG,32,9.0,2,1,0,3,0,SS
12,May 4,PHA,@,SLB,L,3-9,CG,40,8.0,3,1,0,4,1,SS
16 (3),May 8,PHA,@,DET,W,6-5,GF,9,3.0,2,3,0,5,1,SS
17,May 10,PHA,@,CLE,L,4-7,GF,5,1.0,1,0,1,2,0,SS
20 (2),May 15,PHA,,NYY,L,0-3,GF,10,2.0,1,1,0,2,0,SS
21,May 16,PHA,,CLE,L,3-8,GF,14,2.0,1,2,0,3,0,SS
22,May 18,PHA,,CLE,W,4-3,GS,34,9.0,5,4,0,9,2,SS
23,May 19,PHA,,DET,W,11-6,CG,41,9.0,3,1,0,4,1,SS
24,May 20,PHA,,DET,W,6-5,CG,38,9.0,0,1,0,1,1,SS
25,May 21,PHA,,SLB,W,12-4,CG,38,9.0,2,3,0,5,1,SS
26,May 22,PHA,,SLB,L,3-6,CG,40,9.0,4,1,0,5,0,SS
27,May 23,PHA,,SLB,W,7-3,CG,36,9.0,4,1,0,5,0,SS
28,May 24,PHA,,CHW,L,1-4,CG,38,9.0,1,4,0,5,0,SS
29,May 26,PHA,@,NYY,L,0-1,CG,28,8.0,4,4,0,8,1,SS
30,May 27 (1),PHA,@,NYY,L,2-8,GS,16,2.0,0,0,0,0,0,SS
31,May 27 (2),PHA,@,NYY,L,9-11,CG,41,8.0,2,3,0,5,0,SS
32,May 28,PHA,@,NYY,L,5-9,CG,38,8.0,3,3,0,6,1,SS
33,May 29,PHA,@,WSH,W,5-4,CG,41,9.0,2,4,0,6,0,SS
34,May 30 (1),PHA,@,WSH,W,3-1,CG,38,9.0,2,4,0,6,2,SS
35,May 30 (2),PHA,@,WSH,L,4-8,GS,31,6.0,2,4,1,7,1,SS
36,Jun 1,PHA,@,SLB,W,10-7,CG,45,9.0,1,2,1,4,0,SS
37,Jun 3 (1),PHA,@,SLB,W,5-3,CG,35,9.0,1,3,0,4,0,SS
38,Jun 3 (2),PHA,@,SLB,W,8-6,GS,40,8.0,2,3,1,6,1,SS
39,Jun 4 (1),PHA,@,CHW,L,9-14,GS,37,6.0,1,2,1,4,0,SS
40,Jun 4 (2),PHA,@,CHW,W,11-6,CG,41,9.0,1,4,0,5,1,SS
41,Jun 5,PHA,@,CHW,L,1-12,GS,30,5.0,0,0,0,0,0,SS
42,Jun 6,PHA,@,CHW,L,4-7,CG,35,8.0,1,0,0,1,1,SS
