460,2 (1),Apr 5,LAD,,SFG,W,5-0,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,1,,,,2B
461,3,Apr 7,LAD,@,ATL,W,5-2,9-GF,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,9,3.47,-0.020,-0.18,PH 3B
462,5 (1),Apr 9,LAD,@,ATL,W,11-3,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,1,,,,2B
463,9 (3),Apr 14,LAD,@,SDP,L,0-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,8,,,,PR
464,12 (2),Apr 17,LAD,,ATL,L,1-3,6-7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.58,0.067,0.36,PH
465,13,Apr 18,LAD,,SDP,W,6-0,5-GF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.333,.333,.667,1,.04,-0.002,-0.46,2B
466,14,Apr 23,LAD,@,SFG,W,10-3,7-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,9,.37,0.025,0.96,2B
467,16 (1),Apr 26,LAD,,CHC,L,3-7,6-7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.500,.600,.500,1.100,9,.19,0.006,0.36,PH
468,18 (1),Apr 28,LAD,,CHC,L,1-5,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.500,.400,.900,9,.15,-0.004,-0.13,PH
469,21 (2),May 1,LAD,,STL,L,0-9,6-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.429,.333,.762,9,.12,-0.003,-0.20,PH
470,23 (1),May 3,LAD,,PIT,W,14-6,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.375,.286,.661,8,.00,0.000,-0.13,SS
471,24,May 4,LAD,,PIT,W,8-5,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.286,.375,.286,.661,8,,,,SS
472,25,May 6,LAD,@,STL,W,10-2,4-GF,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.333,.400,.444,.844,1,.01,0.001,0.97,2B
473,26,May 7,LAD,@,STL,L,1-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.286,.308,.593,1,1.60,-0.160,-0.99,2B
474,27,May 8,LAD,@,STL,W,12-6,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.231,.286,.308,.593,8,,,,SS
475,28,May 10,LAD,@,CHC,W,6-5,13-13,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.231,.286,.308,.593,7,,,,PR
476,29,May 11,LAD,@,PIT,L,1-2,11-11,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.231,.286,.308,.593,7,,,,PR
477,31 (1),May 13,LAD,,PHI,L,1-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.231,.286,.308,.593,6,,,,PR
