8 (7),Apr 14,SDP,@,SFG,W,4-0,,2,0.2,0,0,0,0,0,P
9,Apr 15,SDP,@,SFG,W,5-3,,2,0.1,0,0,0,0,0,P
12 (2),Apr 18,SDP,@,HOU,L,2-4,,2,0.0,0,0,0,0,0,P
13,Apr 19,SDP,@,HOU,L,0-1,GF,1,0.0,0,0,0,0,0,P
17 (3),Apr 24,SDP,,CIN,L,6-7,,3,1.0,1,0,0,1,0,P
20 (2),Apr 27,SDP,,PHI,L,9-12,,4,0.1,0,0,0,0,0,P
59 (38),Jun 10,SDP,,HOU,W,5-1,GF,4,1.0,0,0,0,0,0,P
60,Jun 12,SDP,@,ATL,L,4-6,,1,0.0,0,0,0,0,0,P
61,Jun 13,SDP,@,ATL,L,2-4,GF,8,2.0,0,0,0,0,0,P
64 (2),Jun 16,SDP,@,HOU,L,0-11,,6,0.1,0,0,1,1,0,P
68 (3),Jun 20,SDP,@,SFG,L,1-3,,6,2.0,0,0,0,0,0,P
71 (2),Jun 23,SDP,,LAD,W,8-4,,3,0.2,0,0,0,0,0,P
73 (1),Jun 26,SDP,,SFG,W,6-2,GF,8,2.0,0,0,0,0,0,P
76 (2),Jun 29,SDP,@,LAD,L,5-6,,6,1.0,0,1,0,1,0,P
78 (1),Jul 1,SDP,@,LAD,W,6-2,,5,1.2,0,1,0,1,0,P
80 (1),Jul 3,SDP,,MON,W,6-4,GF,9,2.0,0,0,0,0,0,P
84 (3),Jul 7,SDP,,STL,L,3-6,GF,6,2.0,0,0,0,0,0,P
87 (2),Jul 10,SDP,,PHI,W,8-7,,7,1.2,0,0,0,0,0,P
96 (8),Jul 22,SDP,@,PHI,L,0-4,GF,4,1.0,0,0,0,0,0,P
98 (1),Jul 25,SDP,@,NYM,W,2-0,,4,1.0,0,0,0,0,0,P
103 (4),Jul 30,SDP,@,LAD,L,5-6,,1,0.1,0,0,0,0,0,P
104,Jul 31,SDP,@,LAD,W,4-3,,3,1.0,0,1,0,1,0,P
108 (3),Aug 4,SDP,,SFG,L,1-7,GF,6,2.0,0,0,0,0,0,P
112 (3),Aug 8,SDP,,HOU,W,7-5,GF,1,0.1,0,0,0,0,0,P
113,Aug 9,SDP,,HOU,W,4-3,,3,1.0,0,0,0,0,0,P
115 (1),Aug 13,SDP,@,ATL,L,3-4,GF,2,0.1,0,0,0,0,0,P
123 (7),Aug 23,SDP,,NYM,W,4-3,,5,1.0,0,1,0,1,0,P
137 (13),Sep 8,SDP,@,SFG,L,5-6,,6,2.0,0,0,0,0,0,P
140 (2),Sep 11,SDP,,CIN,L,1-4,GF,3,1.0,0,0,0,0,0,P
144 (3),Sep 15,SDP,,LAD,L,3-6,,3,1.0,0,0,0,0,0,P
149 (4),Sep 21,SDP,,SFG,L,1-7,,5,1.0,0,0,0,0,0,P
154 (4),Sep 26,SDP,,ATL,L,1-2,,5,1.1,0,0,0,0,0,P
159 (4),Oct 2 (1),SDP,@,ATL,L,1-4,GF,3,1.0,1,1,0,2,0,P
160,Oct 2 (2),SDP,@,ATL,L,2-7,GF,3,1.0,2,0,0,2,0,P
