7,3 (2),Apr 13,CIN,,CHC,L,0-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
8,5 (1),Apr 15,CIN,,PIT,L,2-3,9-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
9,8 (2),Apr 19,CIN,@,CHC,L,0-13,2-8,2,2,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.000,.000,.000,.000,9,.05,-0.002,-0.28,P
10,12 (3),Apr 24,CIN,,STL,L,2-7,8-9,1,1,1,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.333,.333,.333,.667,9,.10,0.004,0.39,P
11,14 (1),Apr 26,CIN,@,PIT,L,2-7,2-5,2,2,1,2,0,0,0,0,0,0,0,0,0,,0,,0,0,.600,.600,.600,1.200,9,.19,0.014,0.27,P
12,20 (5),May 4,CIN,,NYG,L,7-11,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.600,.600,.600,1.200,9,,,,P
13,23 (2),May 7,CIN,,NYG,L,1-5,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.600,.600,.600,1.200,9,,,,P
14,26 (2),May 10,CIN,,BSN,L,6-7,9-10,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.600,.600,.600,1.200,9,,,,P
15,33 (6),May 18,CIN,,BRO,W,7-6,8-GF,1,1,0,0,0,0,0,1,0,0,0,0,0,,0,,0,0,.500,.500,.500,1.000,9,3.71,-0.078,-0.09,P
16,45 (11),May 29,CIN,@,CHC,L,0-4,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.429,.429,.429,.857,9,.99,-0.023,-0.37,P
17,53 (7),Jun 8,CIN,@,BRO,W,5-3,1-GF(11),4,3,0,0,0,0,0,0,0,0,1,0,1,,0,,0,0,.300,.300,.300,.600,9,1.71,-0.152,-0.86,P
18,57 (3),Jun 12,CIN,@,NYG,L,1-10,2-5,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.273,.273,.273,.545,9,.14,-0.004,-0.11,P
19,60 (2),Jun 16 (1),CIN,@,PHI,L,7-10,6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.273,.273,.273,.545,9,,,,P
