303,2,Apr 16,CHW,@,CLE,L,0-6,6-GF(8),,99,3.0,1,1,0,1,1,0,0,0.00,11,1,7,0,0,1,,0,0,0,0,0,10,1,0,0,0,0,0,.03,0.006,0.52, 6b --- 0 out d5, 8b end d 6
304,14,May 1,CHW,,WSH,L,0-7,8-GF,,14,2.0,3,4,4,2,2,0,1,7.20,12,4,0,0,0,3,,0,0,0,0,0,9,2,1,0,0,0,0,.16,-0.042,-2.95, 8t --- 0 out d3, 9t end d 7
305,16,May 3,CHW,,NYY,L,5-6,12-GF(13),L(0-1),1,2.0,1,1,1,1,2,1,1,6.43,9,1,3,0,0,1,,0,0,0,0,0,7,0,0,0,0,0,0,1.82,-0.148,0.05,12t --- 0 out tie,13t end d 1
306,18,May 5,CHW,,PHA,L,4-5,9-GF(11),L(0-2),1,3.0,2,1,1,0,1,0,0,5.40,10,7,0,0,0,2,,0,0,0,0,0,9,0,0,0,0,0,0,1.59,-0.108,0.58, 9t --- 0 out d1,11t end d 1
307,23,May 14,CHW,@,BOS,L,7-10,7-7,BL(0-3),8,1.0,2,4,3,2,2,1,0,7.36,8,2,0,0,0,2,,2,2,1,0,0,6,1,0,0,0,0,1,2.04,-0.475,-3.96, 7b -23 0 out a2, 7b 3 out d4
308,37,May 28,CHW,,SLB,L,4-8,9-GF,,13,1.0,2,2,2,1,1,1,0,8.25,6,1,1,0,1,2,,0,0,0,0,0,5,0,0,0,0,0,0,.17,-0.058,-1.47, 9t --- 0 out d2, 9t end d 4
309,59,Jun 21,CHW,@,PHA,L,5-11,7-GF(8),,23,2.0,2,0,0,0,2,0,0,7.07,8,1,3,0,0,2,,0,0,0,0,0,8,0,0,0,0,0,0,.02,0.002,1.03, 7b --- 0 out d6, 8b end d 6
310,92,Jul 25,CHW,@,NYY,L,0-8,6-GF(8),,33,3.0,4,3,0,2,0,1,0,5.82,15,3,6,2,0,4,,0,0,0,0,0,13,0,0,0,0,0,1,.10,0.005,-1.42, 6b --- 0 out d5, 8b end d 8
311,109,Aug 11(1),CHW,,SLB,W,14-9,9-GF,S(1),16,0.1,0,0,0,0,0,0,0,5.71,1,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.44,0.013,0.79, 9t 123 2 out a5, 9t end a 5
312,111,Aug 12,CHW,,SLB,T,6-6,,,0,6.2,2,0,0,6,1,0,0,4.12,27,,,,,,,,,,,,20,,,,,0,,,,,,
313,133,Aug 31(2),CHW,@,SLB,L,4-5,8-9,H(1),18,1.1,4,3,3,1,0,0,0,4.97,9,4,1,0,1,3,,0,0,0,0,0,8,2,0,0,0,0,0,1.69,-0.187,-1.36, 8b --- 0 out a3, 9b -23 1 out a2
314,147,Sep 15,CHW,@,BOS,L,1-6,8-GF(8),,14,1.0,1,0,0,1,0,0,0,4.78,5,3,0,0,0,1,,0,0,0,0,0,3,1,0,0,0,0,0,.01,0.001,0.54, 8b --- 0 out d6, 8b end d 6
315,152,Sep 22,CHW,,DET,L,0-11,9-GF,,6,1.0,3,2,2,0,0,0,0,5.27,6,3,0,0,0,3,,0,0,1,0,0,6,0,1,0,0,0,0,.00,0.000,-1.47, 9t --- 0 out d9, 9t end d11
