3 (2),Apr 5,MON,@,CHC,L,1-2,GS,23,5.0,0,0,0,0,0,P
8 (4),Apr 10,MON,,CHC,L,2-4,GS,23,5.1,0,1,0,1,0,P
12 (3),Apr 15,MON,,FLA,L,3-6,GS,26,6.0,0,1,1,2,0,P
17 (4),Apr 20,MON,@,FLA,L,1-5,GS,22,5.0,0,1,0,1,0,P
22 (4),Apr 26,MON,@,STL,W,4-3,GS,24,5.0,0,0,0,0,0,P
27 (4),May 2,MON,,ARI,W,4-3,GS,19,6.0,0,2,0,2,0,P
32 (4),May 7,MON,@,SFG,L,2-6,GS,24,6.0,1,0,0,1,0,P
37 (4),May 12,MON,@,COL,W,8-4,GS,26,6.0,0,0,0,0,0,P
41 (3),May 17,MON,,LAD,W,3-1,GS,27,7.0,0,0,0,0,0,P
46 (4),May 22,MON,,NYM,W,3-0,GS,29,7.0,0,0,0,0,0,P
50 (3),May 27 (2),MON,@,PHI,W,7-3,GS,26,6.2,0,1,0,1,0,P
56 (5),Jun 2,MON,,PHI,W,12-5,GS,28,6.0,0,2,0,2,0,P
60 (3),Jun 7,MON,,ATL,L,3-4,GS,30,7.0,1,1,1,3,0,P
64 (3),Jun 12,MON,@,NYY,W,2-1,GS,29,7.0,1,0,0,1,0,P
69 (4),Jun 17,MON,,TOR,W,4-1,GS,28,6.0,0,2,0,2,0,P
74 (4),Jun 22,MON,@,PIT,W,11-5,GS,29,7.0,1,1,0,2,1,P
79 (4),Jun 27,MON,@,FLA,L,1-9,GS,18,2.2,0,0,0,0,0,P
83 (3),Jul 3,MON,,FLA,L,0-7,GS,25,6.0,1,0,0,1,0,P
88 (4),Jul 8,MON,@,TOR,L,3-9,GS,28,6.0,1,0,0,1,0,P
91 (2),Jul 14,MON,,TBD,W,10-2,GS,31,7.1,2,0,0,2,0,P
96 (4),Jul 19,MON,,PHI,W,5-2,GS,31,7.2,1,1,0,2,0,P
101 (4),Jul 24,MON,@,PHI,L,2-10,GS,17,3.0,0,0,0,0,0,P
106 (4),Jul 29,MON,,ATL,L,1-8,GS,26,6.0,1,0,0,1,0,P
110 (3),Aug 3,MON,@,HOU,L,2-6,GS,21,4.0,1,0,0,1,0,P
114 (3),Aug 8,MON,,STL,W,6-5,GS,26,6.0,1,0,0,1,0,P
119 (4),Aug 14,MON,@,LAD,W,4-1,GS,26,6.0,0,0,0,0,0,P
124 (4),Aug 19,MON,@,SDP,W,2-1,GS,29,8.2,0,1,0,1,0,P
128 (3),Aug 24,MON,,CIN,W,6-4,GS,27,6.0,1,0,0,1,0,P
132 (3),Aug 29,MON,@,ATL,L,3-5,GS,27,6.0,0,2,0,2,0,P
138 (5),Sep 4,MON,,ATL,L,2-3,GS,23,6.0,0,2,0,2,0,P
143 (4),Sep 9,MON,,PHI,L,4-12,GS,11,3.0,0,1,0,1,0,P
148 (4),Sep 21,MON,,COL,L,9-11,GS,24,5.0,0,0,0,0,0,P
152 (3),Sep 26,MON,,NYM,L,2-5,GS,29,6.0,1,1,0,2,0,P
157 (4),Oct 2,MON,@,FLA,L,3-4,GS,19,3.1,0,0,1,1,0,P
