1,Apr 26,STL,,PHI,W,7-6,GF,3,1.0,0,0,0,0,0,P
3 (1),Apr 28,STL,@,NYM,L,8-10,,9,1.0,0,1,0,1,0,P
4,Apr 29,STL,@,NYM,L,4-5,,3,1.0,0,0,0,0,0,P
7 (2),May 2,STL,,PIT,L,6-7,GF,6,2.0,0,0,0,0,0,P
8,May 3,STL,,PIT,W,8-6,,3,1.0,0,1,0,1,0,P
11 (2),May 6,STL,,HOU,W,7-5,,8,2.0,0,1,0,1,0,P
12,May 7,STL,,HOU,W,6-5,,2,0.1,0,1,0,1,0,P
14 (1),May 9,STL,,CHC,L,0-3,GF,3,1.0,0,0,0,0,0,P
17 (2),May 13,STL,@,LAD,W,3-2,,8,2.0,1,0,0,1,0,P
18,May 14,STL,@,LAD,W,6-5,,9,2.1,0,0,0,0,0,P
19,May 15,STL,@,SDP,L,5-7,GF,3,0.2,0,1,0,1,0,P
21 (1),May 17,STL,@,SDP,L,1-2,GF,4,1.0,0,0,0,0,0,P
22,May 18,STL,@,SFG,W,4-2,,6,1.1,0,1,0,1,0,P
24 (1),May 20,STL,@,SFG,L,7-10,GF,6,1.0,0,1,0,1,0,P
28 (3),May 25,STL,,ATL,W,4-1,,2,0.2,0,0,0,0,0,P
29,May 26,STL,,CIN,L,3-4,,10,1.1,0,0,0,0,0,P
32 (2),May 29,STL,,COL,W,6-5,,7,1.1,0,0,0,0,0,P
33,May 30,STL,,COL,W,8-5,,3,1.0,0,0,0,0,0,P
36 (2),Jun 2,STL,@,CIN,W,10-7,,4,1.0,0,1,0,1,0,P
39 (2),Jun 5,STL,@,COL,W,9-5,,7,2.0,1,0,0,1,0,P
40,Jun 6,STL,@,COL,L,4-5,GF,4,1.0,0,0,0,0,0,P
42 (1),Jun 9,STL,@,ATL,L,2-3,GF,7,1.0,0,1,0,1,0,P
43,Jun 10,STL,@,ATL,W,7-3,,2,0.1,0,0,0,0,0,P
45 (1),Jun 13,STL,,SDP,W,3-2,,3,0.2,0,0,0,0,0,P
46,Jun 14,STL,,SDP,L,0-3,GF,4,0.2,0,0,0,0,0,P
50 (3),Jun 18,STL,,SFG,L,1-6,GF,9,2.0,0,1,0,1,0,P
53 (2),Jun 21,STL,,LAD,L,1-10,,3,1.0,0,0,0,0,0,P
56 (2),Jun 25,STL,,PHI,L,3-5,,8,2.0,0,0,0,0,0,P
58 (1),Jun 27,STL,@,HOU,L,2-6,,11,2.0,0,0,0,0,0,P
62 (3),Jul 1,STL,@,CHC,L,7-8,GF,3,1.0,0,0,0,0,0,P
63,Jul 2,STL,@,CHC,L,6-7,GF,5,1.0,0,0,0,0,0,P
66 (2),Jul 5,STL,,MON,W,4-3,,2,0.2,0,0,0,0,0,P
67,Jul 6,STL,,FLA,W,3-2,,4,1.0,0,0,0,0,0,P
69 (1),Jul 8,STL,,FLA,W,3-2,,6,1.0,0,0,0,0,0,P
71 (1),Jul 12,STL,@,PHI,W,4-3,,6,2.0,0,0,0,0,0,P
74 (2),Jul 15,STL,@,PIT,L,2-9,GF,7,2.0,0,0,0,0,0,P
76 (1),Jul 17,STL,@,MON,W,8-5,,4,1.0,0,0,0,0,0,P
78 (1),Jul 19,STL,,NYM,L,4-5,,10,2.0,0,0,0,0,0,P
81 (2),Jul 22,STL,@,PHI,W,5-3,,5,1.0,0,0,0,0,0,P
83 (1),Jul 25,STL,,NYM,W,8-7,,2,0.2,0,0,0,0,0,P
88 (4),Jul 30,STL,@,FLA,L,1-3,,5,0.2,0,0,0,0,0,P
