1,Apr 6,LAA,,OAK,W,3-0,,1,0.1,0,0,0,0,0,P
3 (1),Apr 8,LAA,,OAK,L,4-6,,6,1.0,0,0,0,0,0,P
4,Apr 10,LAA,,BOS,W,6-3,,1,0.1,0,0,0,0,0,P
6 (1),Apr 12,LAA,,BOS,W,5-4,,5,1.1,0,0,0,0,0,P
9 (2),Apr 16,LAA,@,SEA,W,5-1,,3,1.0,0,0,0,0,0,P
10,Apr 17,LAA,@,MIN,L,9-11,,5,1.0,0,0,0,0,0,P
13 (2),Apr 21,LAA,,DET,W,4-3,,3,1.0,0,0,0,0,0,P
14,Apr 22,LAA,,DET,L,10-12,,6,1.0,0,0,0,0,0,P
17 (2),Apr 25,LAA,,SEA,L,8-9,GF,3,1.0,1,0,0,1,0,P
19 (1),Apr 28,LAA,@,BAL,W,7-5,,4,1.0,0,0,0,0,0,P
20,Apr 29,LAA,@,BAL,W,3-2,,4,1.0,0,0,0,0,0,P
22 (1),May 1,LAA,@,NYY,L,9-10,,5,0.2,0,0,0,0,0,P
23,May 2,LAA,@,NYY,W,8-4,,3,0.2,0,1,0,1,0,P
24,May 4,LAA,@,OAK,W,5-2,,4,1.1,0,0,0,0,0,P
28 (3),May 8,LAA,,KCR,W,4-1,,3,1.0,0,0,0,0,0,P
31 (2),May 12,LAA,,BOS,L,3-4,,4,0.1,0,0,0,0,0,P
33 (1),May 14,LAA,,BOS,W,5-4,,9,2.1,0,0,0,0,0,P
37 (3),May 18,LAA,@,SEA,W,10-6,,5,1.0,0,0,0,0,0,P
39 (1),May 20,LAA,@,SEA,L,0-1,GF,6,1.1,1,0,0,1,0,P
41 (1),May 22,LAA,@,LAD,W,3-1,,3,1.0,0,0,0,0,0,P
42,May 23,LAA,@,LAD,L,4-5,GF,5,0.1,0,0,0,0,0,P
44 (1),May 25,LAA,,CHW,L,3-17,GF,6,1.0,0,0,0,0,0,P
48 (3),May 30,LAA,,SEA,L,3-4,GF,6,1.0,0,1,0,1,0,P
51 (2),Jun 3,LAA,@,TOR,W,8-1,GF,4,1.0,0,0,0,0,0,P
55 (3),Jun 7,LAA,@,DET,L,6-9,,6,1.1,0,0,0,0,0,P
109 (53),Aug 9,LAA,,TEX,L,0-7,GF,7,1.2,1,0,0,1,0,P
112 (2),Aug 12,LAA,,TBR,W,10-5,,4,1.0,0,0,0,0,0,P
113,Aug 14,LAA,@,BAL,L,6-16,GF,4,1.1,0,0,0,0,0,P
115 (1),Aug 16,LAA,@,BAL,W,17-8,,8,2.0,0,0,0,0,0,P
116,Aug 17,LAA,@,BAL,W,8-5,,5,0.2,0,0,0,0,0,P
120 (3),Aug 21,LAA,@,TOR,L,4-5,GF,12,3.0,0,0,0,0,0,P
123 (2),Aug 24,LAA,,DET,L,7-10,,6,0.2,0,0,0,0,0,P
125 (1),Aug 26,LAA,,DET,W,4-2,,3,0.2,0,0,0,0,0,P
127 (1),Aug 28,LAA,,OAK,W,11-7,,8,2.0,0,0,0,0,0,P
128,Aug 29,LAA,,OAK,L,3-4,,4,0.1,0,0,0,0,0,P
135 (6),Sep 6,LAA,@,KCR,W,7-2,GF,3,1.0,0,1,0,1,0,P
136,Sep 7,LAA,@,KCR,L,3-6,GF,4,1.0,1,0,0,1,0,P
140 (3),Sep 11,LAA,,CHW,W,7-1,GF,3,1.0,0,0,0,0,0,P
144 (3),Sep 15,LAA,@,BOS,L,1-4,GF,2,0.1,0,0,0,0,0,P
153 (8),Sep 25,LAA,,OAK,L,0-3,GF,5,1.0,1,0,0,1,0,P
157 (3),Sep 29,LAA,,TEX,W,5-2,,3,1.0,0,0,0,0,0,P
158,Sep 30,LAA,,TEX,W,5-0,,4,1.0,0,0,0,0,0,P
159,Oct 1,LAA,,TEX,L,3-11,GF,7,1.0,0,0,0,0,0,P
