966,1,Apr 9,HOU,,LAD,W,2-1,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.250,.250,.250,.500,7,.86,0.010,0.11,C
967,2,Apr 10,HOU,,LAD,L,4-5,CG,4,3,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.429,.500,.571,1.071,7,.78,0.164,2.16,C
968,4 (1),Apr 12,HOU,,PHI,W,8-3,CG,5,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.333,.385,.417,.801,7,1.15,-0.029,-1.08,C
969,5,Apr 13,HOU,,PHI,L,2-4,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.375,.400,.775,7,2.38,-0.114,-0.69,C
970,9 (3),Apr 17,HOU,@,LAD,L,0-1,CG(11),4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.333,.400,.389,.789,7,1.60,0.000,0.33,C
971,10,Apr 19,HOU,@,ATL,L,5-9,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.318,.375,.500,.875,7,.69,0.039,1.06,C
972,11,Apr 20,HOU,@,ATL,W,8-1,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.308,.357,.500,.857,7,.43,-0.044,-0.38,C
973,12,Apr 21,HOU,@,ATL,W,4-2,GS-8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.267,.313,.433,.746,7,.35,0.002,0.50,C
974,13,Apr 22,HOU,,CIN,W,4-1,CG,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.250,.314,.406,.721,7,1.24,0.000,-0.07,C
975,15 (1),Apr 24,HOU,,CIN,L,3-8,CG,4,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.257,.333,.429,.762,7,.90,0.149,0.94,C
976,16,Apr 25,HOU,,ATL,L,2-3,GS-8,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.237,.310,.395,.704,7,.52,-0.039,-0.39,C
977,18 (1),Apr 27,HOU,,ATL,L,2-8,GS-5,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.318,.425,.743,7,.74,0.026,0.19,C
