2 (1),Apr 5,HOU,,ATL,L,4-8,CG,47,9.0,5,0,0,5,0,C
3,Apr 6,HOU,,ATL,L,2-3,CG,34,9.0,7,1,0,8,0,C
5 (1),Apr 8,HOU,,SDP,W,6-2,CG,37,9.0,9,0,0,9,0,C
6,Apr 9,HOU,,SDP,L,4-5,GS,26,6.0,6,0,0,6,0,C
8 (1),Apr 11,HOU,,CIN,W,5-3,GS,31,8.0,4,0,0,4,0,C
10 (1),Apr 13,HOU,@,LAD,W,4-2,CG,57,15.0,9,0,0,9,0,C
11,Apr 14,HOU,@,LAD,W,3-2,CG,35,9.0,9,0,0,9,0,C
13 (1),Apr 16,HOU,@,LAD,L,1-2,CG,33,8.0,2,1,0,3,0,C
14,Apr 18,HOU,@,ATL,L,4-5,GF,7,1.1,2,0,0,2,0,PH C
17 (2),Apr 21,HOU,@,CIN,W,7-0,CG,31,9.0,9,0,0,9,0,C
18,Apr 22,HOU,@,CIN,L,4-5,GS,30,7.0,4,1,0,5,0,C
20 (1),Apr 24,HOU,,PHI,L,4-8,CG,43,9.0,3,1,0,4,0,C
21,Apr 25,HOU,,PHI,W,4-1,CG,33,9.0,4,0,0,4,0,C
22,Apr 26,HOU,,PHI,W,6-5,GS,18,4.0,3,0,0,3,0,C
24 (1),Apr 29,HOU,,NYM,L,1-5,CG,39,9.0,6,0,0,6,0,C
25,Apr 30,HOU,,NYM,W,7-6,CG,40,9.0,8,0,0,8,0,C
26,May 2,HOU,@,PHI,W,12-4,CG,39,9.0,4,0,0,4,0,C
27,May 3,HOU,@,MON,L,5-6,CG,44,10.1,7,0,0,7,0,C
31 (3),May 8,HOU,,MON,L,1-4,GF,3,1.0,0,0,0,0,0,C
