114,1,Apr 5,ATL,,CHC,L,9-10,7-8,H(1),99,1.2,1,0,0,1,3,0,0,0.00,7,33,22,6,7,1,2,0,0,0,,2,0,1,0,0,6,0,0,0,0,0,0,3.29,0.283,1.30, 7t 12- 1 out a1, 8t 3 out a1
115,3,Apr 7,ATL,,LAD,L,2-5,8-9,L(0-1),1,1.2,1,3,3,3,1,0,1,8.10,10,32,15,4,1,3,2,1,0,0,,0,0,0,0,0,5,1,0,2,0,0,0,3.25,0.062,0.16, 8t --- 0 out tie, 9t 123 2 out tie
116,6,Apr 10,ATL,,LAD,L,1-3,8-8,,2,0.1,0,0,0,0,0,0,0,7.36,1,1,1,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.39,0.010,0.34, 8t --3 2 out d3, 8t 3 out d3
117,8,Apr 13,ATL,,HOU,L,0-4,8-8,,2,1.0,0,0,0,0,0,0,0,5.79,3,12,7,1,1,0,3,1,1,0,,1,0,1,0,0,3,0,0,0,0,0,0,.14,0.010,0.82, 8t 1-- 0 out d4, 8t 3 out d4
118,10,Apr 16,ATL,@,LAD,L,4-7,6-GF(8),,2,3.0,3,1,1,0,1,0,0,4.70,12,46,29,6,4,5,6,3,0,0,,0,0,0,0,0,12,2,0,0,0,0,0,.16,-0.015,0.26, 6b --- 0 out d3, 8b end d 3
119,12,Apr 19,ATL,@,HOU,W,5-4,8-GF,S(1),2,1.2,1,0,0,0,3,0,0,3.86,5,23,17,6,5,1,1,1,0,0,,2,0,0,0,0,5,0,0,0,1,0,0,3.77,0.497,1.52, 8b 1-3 1 out a1, 9b end a 1
120,16,Apr 24,ATL,,CIN,W,4-1,9-GF,S(2),4,1.0,1,0,0,1,1,0,0,3.48,5,16,8,3,1,1,2,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,.53,0.028,0.45, 9t --- 0 out a3, 9t end a 3
121,17,Apr 26,ATL,,NYM,L,4-13,7-7,,1,0.2,0,0,0,0,0,0,0,3.27,2,6,4,1,1,1,1,1,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,1.31,-0.021,0.13, 7t 1-3 1 out d1, 7t 3 out d2
122,18,Apr 27,ATL,,NYM,L,2-5,9-9,BL(0-2),0,0.2,3,3,3,1,0,1,0,5.40,5,16,9,4,0,1,3,3,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.21,-0.423,-1.89, 9t --- 0 out a2, 9t --3 2 out tie
123,19,Apr 30,ATL,@,PHI,L,5-7,8-GF(8),,2,0.1,0,0,0,0,0,0,0,5.25,0,,,,,0,0,0,0,0,,2,0,0,1,0,0,0,0,0,0,0,0,.15,0.005,0.46, 8b 1-3 2 out d3, 8b end d 3
124,23,May 4,ATL,@,MON,W,7-5,7-7,H(2),3,0.2,0,0,0,1,1,0,0,4.97,3,18,10,1,3,0,1,1,0,0,,1,0,1,0,0,2,0,0,0,0,0,0,3.60,0.110,0.48, 7b 1-- 1 out a1, 7b 3 out a1
125,26,May 7,ATL,,PHI,W,6-5,9-GF,W(1-2),2,1.0,0,0,0,0,3,0,0,4.61,3,15,9,4,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.72,0.127,0.45, 9t --- 0 out tie, 9t end tie
126,27,May 8,ATL,,PHI,L,1-5,7-8,,0,1.2,2,1,1,2,1,0,0,4.70,9,34,17,5,4,5,1,0,0,0,,2,0,0,0,0,7,2,0,1,0,0,0,.81,0.002,0.30, 7t 12- 1 out d2, 8t 3 out d3
127,28,May 9,ATL,,MON,W,9-8,8-8,,0,0.0,0,1,1,1,0,0,0,5.28,1,,,,,0,0,0,0,0,,3,2,0,0,0,0,0,0,0,0,0,0,1.69,-0.107,-1.52, 8t 123 0 out a5, 8t 1-3 0 out a3
128,30,May 11,ATL,,MON,W,3-2,7-8,H(3),1,1.1,1,0,0,1,2,0,0,4.86,6,19,12,2,6,2,1,1,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,3.13,0.197,0.85, 7t 12- 2 out a1, 8t 3 out a1
129,32,May 14,ATL,@,STL,W,7-5,7-8,,2,2.0,2,0,0,0,1,0,0,4.34,8,27,20,6,1,5,2,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,2.32,0.180,0.87, 7b --- 0 out tie, 8b 3 out tie
130,33,May 15,ATL,@,STL,L,6-7,8-8,,0,1.0,1,0,0,0,0,0,0,4.12,4,8,6,0,0,2,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.66,0.025,0.43, 8b --- 0 out d1, 8b 3 out d1
131,36,May 18,ATL,@,CIN,L,4-8,7-7,BL(1-3),2,1.0,2,1,1,1,0,0,0,4.35,5,23,10,1,5,3,1,1,0,0,,1,1,0,1,0,3,0,0,1,0,0,0,2.07,-0.286,-0.95, 7b -2- 0 out a1, 7b 3 out d1
132,38,May 21,ATL,@,PIT,L,3-7,6-7,,2,1.2,1,0,0,0,3,0,0,4.03,6,20,15,6,2,0,3,2,1,0,,1,1,0,0,0,6,0,0,0,0,0,0,.17,-0.017,0.04, 6b -2- 1 out d3, 7b 3 out d4
133,40,May 24(1),ATL,@,CHC,W,3-0,8-9,,2,1.1,0,0,0,1,0,0,0,3.80,5,16,9,3,0,2,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.91,0.038,0.26, 8b --- 0 out tie, 9b -2- 1 out tie
134,41,May 24(2),ATL,@,CHC,L,1-2,7-GF(8),,-1,1.2,1,0,0,0,0,0,0,3.55,4,10,9,1,0,4,0,0,0,0,,2,0,0,0,0,4,0,0,0,2,0,0,.78,0.122,1.59, 7b 1-3 1 out d1, 8b end d 1
135,42,May 25,ATL,@,CHC,W,2-1,7-7,H(4),0,0.1,0,0,0,0,0,0,0,3.51,1,8,5,1,1,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,4.25,0.094,0.45, 7b 12- 1 out a1, 7b 12- 2 out a1
136,43,May 27,ATL,,STL,L,2-5,8-8,,1,0.1,1,0,0,0,1,0,0,3.46,2,5,4,1,2,1,0,0,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,1.29,-0.098,-0.59, 8t 12- 2 out d1, 8t 3 out d2
137,47,May 31,ATL,,PIT,W,11-1,9-GF,,3,1.0,0,0,0,0,2,0,0,3.33,3,11,7,0,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.45, 9t --- 0 out a10, 9t end a10
138,52,Jun 7,ATL,@,SFG,L,0-5,7-GF(8),,6,1.2,1,0,0,1,1,0,0,3.14,5,16,8,2,1,2,1,1,0,0,,2,0,0,0,0,4,0,0,0,2,0,0,.07,0.004,1.23, 7b 12- 1 out d5, 8b end d 5
139,54,Jun 9,ATL,@,SFG,L,4-6,8-GF(8),,1,1.0,1,0,0,0,1,0,0,3.03,3,12,9,4,2,1,1,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.22,0.010,0.41, 8b --- 0 out d2, 8b end d 2
140,55,Jun 10,ATL,@,HOU,W,10-3,7-9,,0,2.2,1,0,0,1,1,0,0,2.78,9,29,18,3,3,4,3,1,0,0,,1,0,0,0,0,7,0,0,1,0,0,0,2.32,0.336,1.44, 7b -2- 1 out tie, 9b 3 out tie
141,56,Jun 11,ATL,@,HOU,L,4-5,8-9,BS(3),0,1.2,1,0,0,1,1,0,0,2.65,6,23,15,4,2,3,1,1,0,0,,1,1,0,0,0,5,1,0,0,1,0,0,2.80,-0.104,-0.14, 8b 1-- 1 out a1, 9b 3 out tie
142,61,Jun 16,ATL,,LAD,W,9-2,9-GF,,4,1.0,0,0,0,0,0,0,0,2.57,3,7,5,2,0,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.45, 9t --- 0 out a7, 9t end a 7
143,62,Jun 17(1),ATL,,HOU,W,4-3,8-8,W(2-3),0,1.0,0,0,0,0,0,0,0,2.50,3,7,6,2,0,0,3,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.37,0.100,0.45, 8t --- 0 out tie, 8t 3 out tie
144,64,Jun 18,ATL,,HOU,L,7-14,7-7,BL(2-4),0,0.1,6,7,6,0,1,1,0,3.96,8,31,20,6,3,3,4,2,0,0,,0,0,0,0,0,8,2,0,0,0,0,1,1.49,-0.769,-5.68, 7t --- 0 out a2, 7t 1-3 1 out d3
145,65,Jun 19,ATL,,HOU,L,4-6,8-GF,,0,2.0,2,1,1,1,2,0,0,3.99,9,33,19,4,6,2,4,1,1,0,,2,0,0,0,0,6,0,1,1,0,1,0,1.08,0.053,0.86, 8t 12- 0 out d1, 9t end d 2
146,67,Jun 21,ATL,@,LAD,L,1-2,8-GF(8),,1,0.2,0,0,0,0,0,0,0,3.92,1,1,1,0,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,1,0,0,1.29,0.071,1.47, 8b 123 1 out d1, 8b end d 1
147,69,Jun 24,ATL,,SDP,W,4-3,7-7,H(5),2,0.2,1,0,0,1,0,0,0,3.86,4,16,8,2,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.73,-0.004,-0.02, 7t --- 0 out a1, 7t 1-3 2 out a1
148,71,Jun 26,ATL,,SDP,L,1-2,8-GF,,1,2.0,0,0,0,2,3,0,0,3.67,8,36,19,7,5,1,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.56,0.077,0.89, 8t --- 0 out d1, 9t end d 1
149,72,Jun 27,ATL,,SFG,L,9-10,9-GF,,0,0.2,1,0,0,0,0,0,0,3.61,3,,,,,1,2,2,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,.63,-0.069,-0.52, 9t 1-- 1 out d1, 9t end d 2
150,73,Jun 28,ATL,,SFG,L,7-13,7-7,,0,0.2,5,3,3,0,0,0,0,4.19,6,17,11,2,1,4,2,2,0,0,,0,0,0,0,0,6,1,0,0,1,0,0,.20,-0.042,-2.76, 7t --- 0 out d4, 7t 1-- 2 out d7
151,77,Jul 2,ATL,@,MON,W,5-4,12-14,W(3-4),3,3.0,0,0,0,0,2,0,0,3.91,9,33,22,9,3,0,7,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.73,0.380,1.34,12b --- 0 out tie,14b 3 out tie
152,80,Jul 5,ATL,,PHI,W,10-5,8-GF,,2,2.0,3,0,0,0,1,0,0,3.75,8,30,18,6,1,3,4,1,2,0,,0,0,0,0,0,8,0,0,0,1,0,0,.24,0.014,0.89, 8t --- 0 out a5, 9t end a 5
153,83,Jul 9,ATL,,MON,L,4-9,9-GF,,3,1.0,0,0,0,0,0,0,0,3.67,3,9,6,1,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.45, 9t --- 0 out d5, 9t end d 5
154,84,Jul 10,ATL,,MON,L,2-4,8-8,,0,0.1,1,1,1,1,0,0,0,3.83,3,13,8,1,2,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.45,-0.265,-1.03, 8t --- 0 out tie, 8t 1-- 1 out d1
155,86,Jul 15,ATL,,NYM,W,4-3,10-GF(10),W(4-4),4,1.0,0,0,0,0,2,0,0,3.75,5,19,12,4,2,3,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,2,2.70,0.127,0.45,10t --- 0 out tie,10t end tie
156,87,Jul 16,ATL,,NYM,L,2-3,8-8,L(4-5),0,1.0,2,1,1,0,1,0,0,3.86,5,16,11,5,1,1,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.71,-0.218,-0.55, 8t --- 0 out tie, 8t 3 out d1
157,89,Jul 18(1),ATL,@,PHI,W,9-8,8-8,H(6),1,1.0,0,0,0,0,1,0,0,3.78,3,14,10,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.06,0.077,0.43, 8b --- 0 out a2, 8b 3 out a2
158,91,Jul 19,ATL,@,PHI,L,4-6,7-GF(8),,0,2.0,0,0,0,0,3,0,0,3.64,6,26,17,8,1,1,2,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.13,0.021,0.87, 7b --- 0 out d3, 8b end d 2
159,93,Jul 22(1),ATL,@,NYM,L,1-6,8-GF(8),,2,0.2,1,0,0,0,1,0,0,3.60,3,9,6,1,3,2,0,0,0,0,,3,3,0,0,0,3,0,0,0,0,0,0,.16,-0.026,-1.54, 8b 123 1 out d2, 8b end d 5
160,94,Jul 22(2),ATL,@,NYM,L,1-5,7-GF(8),,-1,1.2,2,0,0,1,3,0,0,3.49,8,26,16,3,6,1,3,2,0,0,,2,1,0,0,0,7,1,0,1,0,0,0,.14,-0.004,0.51, 7b 1-3 1 out d3, 8b end d 4
161,96,Jul 24,ATL,@,NYM,W,4-2,9-GF,S(3),1,0.2,0,0,0,0,2,0,0,3.45,2,9,8,2,2,0,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.82,0.087,0.45, 9b 1-- 1 out a2, 9b end a 2
162,98,Jul 26(2),ATL,,CIN,W,2-1,9-GF(10),W(5-5),1,2.0,1,0,0,2,4,0,0,3.34,9,41,24,8,5,2,1,0,0,0,,0,0,1,0,0,7,0,0,0,0,0,0,2.60,0.253,0.89, 9t --- 0 out tie,10t end tie
163,100,Jul 28,ATL,,CIN,L,2-5,9-GF,,1,0.2,0,0,0,0,0,0,0,3.30,1,2,2,0,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,.25,0.006,0.48, 9t 1-- 1 out d3, 9t end d 3
164,102,Jul 30,ATL,@,SFG,L,1-2,8-8,,1,0.1,2,1,1,1,0,0,0,3.43,4,14,6,2,1,2,1,1,0,0,,0,0,0,0,0,2,1,0,1,0,0,0,.53,-0.075,-1.40, 8b --- 0 out d1, 8b 12- 1 out d2
165,104,Jul 31(2),ATL,@,SFG,L,2-3,8-GF(10),L(5-6),0,2.0,4,1,1,1,1,0,0,3.47,10,44,23,4,5,4,4,3,0,0,,1,0,1,0,0,9,0,0,1,0,0,0,2.92,-0.217,-0.69, 8b 1-- 2 out tie,10b end d 1
166,106,Aug 2,ATL,@,SDP,L,1-4,7-GF(8),,1,2.0,1,1,1,1,1,1,0,3.50,8,31,18,6,3,2,3,1,0,1,,0,0,0,0,0,7,0,0,0,0,0,0,.15,-0.036,-0.15, 7b --- 0 out d2, 8b end d 3
167,108,Aug 5,ATL,,SFG,W,8-5,8-9,H(7),2,0.2,0,0,0,2,0,0,0,3.46,4,18,4,2,0,1,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.96,-0.069,-0.49, 8t 1-- 1 out a3, 9t 12- 0 out a3
168,127,Aug 25,ATL,,CHC,L,1-6,7-GF,,19,2.1,1,0,0,2,2,0,0,3.34,10,38,22,4,5,4,2,0,1,0,,2,0,0,0,0,8,0,0,1,0,0,0,.07,0.010,1.46, 7t -23 2 out d5, 9t end d 5
169,130,Aug 28,ATL,,CHC,W,4-2,9-GF,S(4),2,1.0,0,0,0,0,1,0,0,3.29,3,10,6,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.88,0.065,0.45, 9t --- 0 out a2, 9t end a 2
170,134,Sep 2,ATL,,PIT,W,2-1,8-GF,W(6-6),4,2.0,1,0,0,0,2,0,0,3.20,7,22,16,3,2,3,2,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.82,0.172,0.89, 8t --- 0 out d1, 9t end tie
171,136,Sep 6,ATL,,LAD,W,2-1,8-8,BW(7-6),3,0.1,1,0,0,0,0,0,0,3.18,2,4,3,1,0,1,1,1,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,3.99,-0.158,-0.54, 8t 1-3 2 out a1, 8t 3 out tie
172,142,Sep 12,ATL,@,LAD,L,4-5,6-GF(8),,5,3.0,2,0,0,0,7,0,0,3.05,10,39,28,8,10,1,2,1,0,0,,0,0,0,1,0,10,0,0,0,0,0,0,.58,0.100,1.26, 6b --- 0 out d1, 8b end d 1
173,146,Sep 17(2),ATL,,SDP,W,6-3,9-GF,S(5),4,0.1,1,0,0,0,0,0,0,3.04,2,6,4,1,1,0,2,1,1,0,,2,1,1,0,0,2,0,0,0,0,0,0,.92,0.010,-0.54, 9t 1-3 2 out a4, 9t end a 3
174,147,Sep 18,ATL,,SDP,W,6-5,8-GF(10),BW(8-6),0,2.2,4,1,1,0,1,1,0,3.05,12,37,27,6,5,3,8,4,1,0,,2,2,0,0,0,12,0,0,0,0,0,0,2.48,-0.075,-0.77, 8t -23 1 out a3,10t end tie
175,152,Sep 23,ATL,,CIN,L,4-5,8-GF,,4,2.0,2,0,0,0,3,0,0,2.97,8,33,20,7,5,3,2,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.49,0.038,0.89, 8t --- 0 out d2, 9t end d 2
176,154,Sep 25,ATL,,CIN,L,1-2,8-8,L(8-7),1,0.1,3,1,1,1,0,0,0,3.08,5,22,10,3,0,1,3,3,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,2.18,-0.349,-2.06, 8t --- 0 out tie, 8t 123 1 out d1
177,156,Sep 28,ATL,,HOU,W,4-3,15-15,,2,0.1,0,0,0,0,0,0,0,3.06,1,1,1,0,0,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,4.37,0.108,0.41,15t 12- 2 out tie,15t 3 out tie
