17 (16),Apr 23,WSN,,LAD,W,5-1,GS,26,6.0,2,0,1,3,0,P
22 (4),Apr 28,WSN,@,CHC,W,3-2,GS,28,6.0,3,1,0,4,0,P
27 (4),May 5,WSN,,ATL,L,6-7,GS,27,5.1,0,0,0,0,0,P
32 (4),May 10,WSN,@,NYM,W,3-2,GS,23,5.1,0,1,0,1,0,P
37 (4),May 15 (2),WSN,@,COL,L,3-4,GS,22,5.0,0,2,0,2,0,P
42 (4),May 20,WSN,,NYM,L,7-10,GS,25,4.1,1,2,0,3,1,P
47 (4),May 26,WSN,@,SFG,W,7-3,GS,20,5.1,1,0,0,1,0,P
52 (4),May 31,WSN,@,HOU,W,14-4,GS,29,6.2,0,0,0,0,0,P
57 (4),Jun 5,WSN,,CIN,L,1-5,GS,27,7.0,0,1,0,1,0,P
62 (4),Jun 11,WSN,@,CLE,L,2-7,GS,25,5.0,1,2,0,3,0,P
67 (4),Jun 17,WSN,@,DET,L,3-8,GS,23,4.1,0,1,1,2,0,P
72 (4),Jun 22,WSN,,KCR,W,4-3,GS,22,5.1,1,2,0,3,0,P
76 (3),Jun 27,WSN,@,BAL,L,3-4,GS,25,7.0,0,0,0,0,0,P
81 (4),Jul 2,WSN,,NYM,L,3-5,GS,18,3.2,0,0,0,0,0,P
86 (4),Jul 8,WSN,,SDP,L,1-7,GS,25,5.1,0,1,0,1,1,P
94 (7),Jul 20,WSN,@,CIN,L,7-8,GS,20,4.0,1,1,0,2,0,P
