72,2 (1),Apr 19 (2),PHI,@,BSN,W,1-0,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,,1,0,0,1,.333,.500,.333,.833,5,.84,0.031,0.38,C
73,3,Apr 23,PHI,,BRO,L,3-4,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,.333,.429,.333,.762,5,1.42,-0.003,-0.21,C
74,4,Apr 24,PHI,,BRO,W,7-3,CG,4,4,1,2,1,0,0,2,0,0,0,0,0,,1,0,0,0,.400,.455,.500,.955,5,.81,0.021,0.58,C
75,5,Apr 25,PHI,,BRO,L,6-10,CG(11),5,5,1,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,.333,.375,.400,.775,5,.95,0.015,0.34,C
76,6,Apr 28,PHI,,BSN,W,7-4,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,.333,.400,.389,.789,5,.18,0.000,-0.52,C
77,7,Apr 29,PHI,,BSN,L,4-6,CG(11),6,5,1,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,.304,.360,.348,.708,5,2.28,-0.285,-2.52,C
78,8,Apr 30,PHI,,BSN,L,2-10,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,.296,.345,.333,.678,5,.47,0.044,0.33,C
79,9,May 1,PHI,@,BRO,W,4-2,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,.267,.333,.300,.633,5,1.14,0.001,-0.43,C
80,10,May 2,PHI,@,BRO,L,1-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0,.235,.297,.265,.562,5,.93,-0.092,-1.07,C
81,11,May 3,PHI,@,BRO,W,14-8,CG,6,5,0,1,1,0,0,3,1,0,0,0,0,,0,1,0,0,.231,.302,.282,.584,5,1.09,0.060,0.79,C
82,12,May 4,PHI,,CHC,L,7-14,GS-8,4,3,1,2,0,0,0,1,1,0,0,0,0,,0,0,0,0,.262,.340,.310,.650,5,.73,0.102,1.48,C
83,13,May 5,PHI,,CHC,L,4-17,GS-9,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.239,.314,.283,.596,5,.60,-0.065,-1.08,C
84,15 (1),May 7,PHI,,PIT,L,3-8,CG,4,4,0,2,0,0,0,1,0,0,0,0,0,,0,0,0,0,.260,.327,.300,.627,5,.42,-0.013,0.55,C
85,17 (1),May 10,PHI,,CIN,W,10-3,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,.245,.322,.283,.605,5,.44,-0.072,-1.15,C
86,18,May 11,PHI,,CIN,L,3-12,CG,4,2,1,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,.236,.333,.273,.606,5,.51,-0.028,0.13,C
87,19,May 12,PHI,,STL,L,3-15,GS-5,2,2,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.228,.323,.263,.586,5,.21,-0.011,-0.43,C
88,20,May 13,PHI,,STL,L,4-5,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,,0,0,0,1,.246,.333,.279,.612,5,1.64,0.001,0.19,C
89,21,May 15 (1),PHI,@,NYG,W,6-2,0-0,1,0,1,0,0,0,0,1,1,,0,0,0,,,0,0,0,.246,.343,.279,.622,5,,,,PH
90,22,May 15 (2),PHI,@,NYG,L,1-2,CG,3,3,0,0,0,0,0,0,0,,1,0,0,,,0,0,0,.234,.329,.266,.594,6,,,,C
91,25 (2),May 19,PHI,@,PIT,W,5-4,CG,5,5,0,2,0,0,0,1,0,0,2,0,0,,0,0,1,0,.246,.333,.275,.609,6,1.14,0.022,0.51,C
92,26,May 20,PHI,@,PIT,L,2-5,GS-4,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.243,.329,.271,.601,6,.68,-0.017,-0.16,C
93,28 (1),May 22,PHI,@,CIN,W,19-9,GS-6,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.233,.317,.260,.577,6,1.25,-0.097,-1.17,C
94,38 (9),Jun 2,PHI,,CIN,L,4-8,GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.233,.317,.260,.577,6,,,,C
95,41 (2),Jun 6 (1),PHI,,STL,L,2-7,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,.230,.313,.257,.570,9,,,,PH
96,43 (1),Jun 8,PHI,,PIT,L,1-8,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.227,.310,.253,.563,9,.21,-0.006,-0.34,PH
97,46 (2),Jun 12,PHI,,CHC,L,5-10,7-8,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.224,.306,.250,.556,9,.09,-0.002,-0.18,PH
98,47,Jun 13 (1),PHI,,CHC,L,8-16,CG,5,4,1,1,0,0,1,3,1,0,1,0,0,,0,0,0,0,.225,.311,.288,.599,7,.53,-0.062,2.15,C
99,51 (3),Jun 17,PHI,@,STL,W,13-7,CG,5,5,0,1,0,0,0,1,0,,0,0,0,,,0,0,0,.224,.305,.282,.588,7,,,,C
100,52,Jun 18,PHI,@,CHC,L,7-8,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,.225,.303,.281,.584,7,.58,-0.019,-0.07,C
101,53,Jun 19,PHI,@,CHC,L,1-2,CG,3,3,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,.228,.304,.293,.597,7,1.21,-0.055,-0.27,C
102,54,Jun 20,PHI,@,CHC,W,6-5,GS-8,4,4,1,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,.229,.302,.292,.594,7,1.05,-0.042,-0.71,C
103,55,Jun 22,PHI,@,CIN,L,0-6,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,.222,.300,.283,.583,7,.55,-0.053,-0.48,C
104,56,Jun 23,PHI,@,CIN,W,3-0,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,.223,.298,.282,.580,6,.88,-0.143,-0.98,C
105,57,Jun 24,PHI,@,CIN,L,4-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,.221,.296,.279,.574,9,2.85,0.212,1.10,PH
106,58,Jun 25,PHI,@,PIT,W,10-5,CG,4,3,1,1,1,0,0,1,1,,1,0,0,,,0,0,0,.224,.303,.290,.592,7,,,,C
107,59,Jun 26,PHI,@,PIT,W,7-6,CG(13),6,6,1,2,0,0,0,1,0,,0,0,0,,,0,1,0,.230,.304,.292,.596,7,,,,C
108,60,Jun 27,PHI,@,PIT,L,3-4,CG,4,3,1,2,1,0,0,0,0,0,0,0,1,,0,0,0,0,.241,.313,.310,.623,7,1.32,0.067,0.24,C
