1,43 (42),May 17,CLE,@,CIN,L,2-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.53,-0.013,-0.17,1B
2,44,May 18,CLE,@,CIN,L,4-6,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,.200,.200,.800,1.000,6,1.58,-0.130,-0.70,1B
3,46 (1),May 21,CLE,@,CHW,L,2-7,GS-9,3,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.250,.250,1.000,1.250,7,.50,0.075,0.70,1B
4,48 (1),May 23,CLE,,TEX,L,9-13,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.889,1.111,8,.22,-0.006,-0.17,PH
5,49,May 24,CLE,,TEX,W,5-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.231,.231,.692,.923,5,.60,0.080,0.72,1B
6,50,May 25,CLE,,TEX,L,1-2,GS-8,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.294,.625,.919,5,1.11,0.052,0.22,1B
7,51,May 26,CLE,,CHW,L,3-6,GS-10,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.200,.273,.500,.773,5,1.22,-0.074,-1.16,1B
8,53 (1),May 28,CLE,,CHW,L,5-6,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.208,.269,.458,.728,7,.92,-0.028,-0.80,DH
9,55 (1),May 31,CLE,@,KCR,L,2-4,GS-8,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.185,.267,.407,.674,8,1.26,-0.030,-0.56,1B
10,142 (86),Sep 8,CLE,@,BAL,L,3-14,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.214,.290,.429,.719,1,.00,0.000,0.27,PH
11,143,Sep 9,CLE,@,BAL,W,6-1,CG,5,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.242,.306,.424,.730,7,1.16,0.021,-0.34,1B
12,145 (1),Sep 11,CLE,@,BAL,L,3-6,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.222,.300,.389,.689,6,1.39,-0.106,-1.00,1B
13,147 (1),Sep 13 (1),CLE,,KCR,L,3-8,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.273,.350,.623,6,.77,-0.076,-0.69,1B
14,150 (2),Sep 15,CLE,,MIN,W,3-1,CG,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.214,.298,.357,.655,7,.60,0.018,0.14,1B
15,153 (2),Sep 19,CLE,,DET,W,6-5,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.280,.333,.613,7,.88,-0.067,-0.58,1B
