8 (7),Apr 12,LAD,@,HOU,L,3-5,GF,5,1.0,0,0,0,0,0,PR SS
11 (2),Apr 16,LAD,@,CIN,W,5-3,GF,10,3.0,0,1,0,1,0,PR 3B
12,Apr 17,LAD,@,CIN,W,14-1,GF,5,1.0,0,0,0,0,0,SS
26 (13),May 4,LAD,@,PHI,L,3-7,GF,7,2.0,0,1,0,1,0,PH 2B
36 (9),May 15 (2),LAD,,HOU,W,10-2,GF,3,1.0,0,0,0,0,0,SS
38 (1),May 18,LAD,,ATL,W,1-0,GF,11,3.0,0,0,0,0,0,PR 3B
44 (5),May 24,LAD,@,SFG,L,7-9,GF,10,3.0,2,1,0,3,0,PR 2B
45,May 25,LAD,@,SFG,W,9-5,CG,36,9.0,1,3,0,4,0,2B
48 (2),May 28,LAD,@,STL,W,11-5,GF,7,2.0,0,0,0,0,0,PR 2B
49,May 29,LAD,@,STL,W,5-2,CG,40,9.0,1,3,0,4,0,2B
50,May 31,LAD,@,CHC,W,8-3,GS,32,7.0,1,0,2,3,0,2B
51,Jun 1,LAD,@,CHC,W,10-0,CG,32,9.0,2,4,0,6,1,2B
52,Jun 2,LAD,@,CHC,L,6-7,GS,22,5.0,2,1,0,3,0,2B
61 (8),Jun 12,LAD,,STL,L,3-6,GF,3,1.0,0,0,0,0,0,SS
65 (3),Jun 17,LAD,@,PIT,L,3-7,CG,38,8.0,0,4,0,4,0,2B
66,Jun 18,LAD,@,PIT,L,0-2,GS,26,7.0,3,3,0,6,1,2B
67,Jun 19,LAD,@,PIT,L,3-7,GS,31,6.0,1,0,0,1,0,SS
68,Jun 21,LAD,,SFG,W,4-3,CG,41,10.0,3,5,1,9,0,2B
69,Jun 22,LAD,,SFG,W,3-2,GS,29,8.0,2,1,0,3,0,2B
70,Jun 23,LAD,,SFG,W,4-3,GS,32,7.0,4,2,1,7,0,2B
73 (2),Jun 26,LAD,,ATL,W,5-4,CG,38,9.0,2,5,1,8,2,SS
79 (5),Jul 3 (2),LAD,@,CIN,L,0-6,GF,20,4.0,0,3,0,3,0,SS
83 (3),Jul 6,LAD,@,MON,L,1-6,GS,28,6.0,0,1,0,1,0,SS
84,Jul 7 (1),LAD,@,MON,W,4-1,GS,34,8.0,0,3,1,4,0,SS
85,Jul 7 (2),LAD,@,MON,W,5-3,GS,20,5.0,1,1,0,2,1,SS
92 (6),Jul 16,LAD,,MON,L,7-8,,6,1.0,1,2,1,4,0,PR 2B
105 (12),Jul 31,LAD,@,SDP,W,15-4,GF,7,2.0,1,1,0,2,1,SS
110 (4),Aug 5,LAD,,CIN,W,6-3,GF,10,2.0,0,1,0,1,0,PR 3B
121 (10),Aug 18,LAD,@,PIT,L,3-10,GF,4,1.0,0,0,0,0,0,SS
122,Aug 19,LAD,@,CHC,W,8-7,GF,30,8.0,0,2,0,2,0,SS
123,Aug 20,LAD,@,CHC,W,18-8,GF,22,4.0,1,1,0,2,0,PH SS
143 (19),Sep 12,LAD,@,SFG,W,11-0,GF,3,1.0,0,1,0,1,0,PR SS
155 (11),Sep 24,LAD,,ATL,W,2-1,GS,32,8.0,2,4,0,6,0,SS
156,Sep 25,LAD,,ATL,L,2-5,GS,28,6.1,1,1,0,2,0,SS
161 (4),Oct 1,LAD,@,HOU,W,8-5,GF,25,4.0,1,2,0,3,0,PH SS 2B
162,Oct 2,LAD,@,HOU,W,5-4,GS,32,7.0,0,4,1,5,0,SS
