1,Apr 11,CHC,,LAD,W,6-1,CG,31,9.0,0,0,0,0,0,3B
2,Apr 12,CHC,,LAD,L,3-5,CG,40,9.0,0,5,0,5,0,3B
3,Apr 14,CHC,@,SFG,W,5-2,CG,35,9.0,1,3,1,5,1,3B
4,Apr 15,CHC,@,SFG,L,1-7,CG,39,8.0,2,0,1,3,0,3B
8 (3),Apr 19,CHC,@,LAD,L,3-8,CG,41,8.0,2,4,0,6,0,3B
12 (3),Apr 24,CHC,,SFG,L,3-4,CG,43,11.0,9,1,1,11,0,C
23 (10),May 6,CHC,@,PIT,W,3-0,GF,7,2.0,0,0,0,0,0,PH C
27 (3),May 10 (1),CHC,@,STL,W,10-9,CG,53,11.0,5,1,0,6,0,C
28,May 10 (2),CHC,@,STL,L,7-8,CG,39,8.1,3,0,0,3,0,C
29,May 11,CHC,,MLN,L,1-8,CG,45,9.0,7,1,1,9,0,C
32 (2),May 14,CHC,,CIN,L,0-2,CG,33,9.0,7,1,0,8,0,C
33,May 16,CHC,,PIT,W,3-2,CG,38,9.0,6,0,0,6,0,C
40 (6),May 23,CHC,,STL,L,1-5,CG,35,9.0,5,0,0,5,0,C
44 (3),May 28,CHC,@,LAD,W,7-5,CG,38,9.0,14,0,0,14,0,C
45,May 29,CHC,@,LAD,W,9-4,CG,39,9.0,9,1,0,10,0,C
46,May 30,CHC,@,SFG,L,2-5,CG,37,8.0,3,0,1,4,0,C
47,May 31,CHC,@,SFG,L,3-6,CG,34,8.0,5,0,0,5,0,C
72 (24),Jun 28,CHC,@,MLN,L,1-2,GS,31,8.0,5,0,0,5,0,LF C
76 (3),Jul 3,CHC,,SFG,L,0-4,CG,36,9.0,1,0,0,1,0,LF
79 (2),Jul 5 (1),CHC,,LAD,L,3-4,GF,10,3.0,2,0,0,2,0,PH C
80,Jul 5 (2),CHC,,LAD,L,3-5,CG,41,9.0,9,1,0,10,1,C
83 (2),Jul 11,CHC,@,PIT,W,5-1,CG,36,9.0,4,0,0,4,0,C
84,Jul 12 (1),CHC,@,PHI,W,7-6,CG,36,9.0,8,0,0,8,0,C
86 (1),Jul 14,CHC,,MLN,W,10-5,GS,35,7.0,5,0,0,5,0,C
93 (6),Jul 22,CHC,@,LAD,W,7-2,CG,33,9.0,10,0,0,10,0,C
95 (1),Jul 24,CHC,@,SFG,L,5-6,CG,47,9.2,10,1,2,13,0,C
97 (1),Jul 26,CHC,@,SFG,W,7-3,CG,34,9.0,7,1,0,8,0,C
98,Jul 28,CHC,@,MLN,W,5-4,GS,22,5.0,2,1,1,4,0,C
100 (1),Jul 30,CHC,@,MLN,L,2-6,CG,36,8.0,7,0,0,7,0,C
106 (5),Aug 6,CHC,,PHI,W,4-2,GS,33,8.0,0,1,0,1,0,3B
107,Aug 7,CHC,,PIT,W,4-0,CG,32,9.0,2,1,0,3,0,3B
108,Aug 8,CHC,,PIT,L,3-4,GS,61,14.0,2,3,1,6,0,3B C
109,Aug 9,CHC,,PIT,L,3-5,GS,25,7.0,1,1,0,2,0,3B
110,Aug 11,CHC,,LAD,W,5-4,CG,44,10.0,5,0,0,5,0,C
112 (1),Aug 13,CHC,,SFG,W,20-9,GF,8,2.0,0,1,0,1,0,PH C
113,Aug 14,CHC,,SFG,W,7-5,GF,27,6.0,8,0,1,9,0,C
114,Aug 15,CHC,,SFG,L,4-6,GF,8,2.0,0,2,0,2,0,2B
115,Aug 16,CHC,,SFG,W,5-4,GS,30,7.0,1,0,0,1,0,LF
116,Aug 17,CHC,@,PIT,L,6-7,GF,11,3.0,0,0,1,1,0,PH LF
118 (1),Aug 19 (2),CHC,@,PHI,T,7-7,GS,49,11.0,3,2,1,6,0,3B
119,Aug 20 (1),CHC,@,PHI,L,5-8,CG,37,8.0,1,2,0,3,0,3B
120,Aug 20 (2),CHC,@,PHI,W,6-4,GS,26,6.0,2,4,0,6,1,3B
121,Aug 22 (1),CHC,@,MLN,L,0-7,CG,40,8.0,5,0,0,5,0,C
123 (1),Aug 23,CHC,@,MLN,L,0-2,CG,28,8.0,0,4,1,5,0,3B
129 (5),Aug 29,CHC,,MLN,L,4-11,GF,14,2.0,0,1,0,1,0,PH C
134 (4),Sep 6 (1),CHC,@,LAD,W,3-0,GS,31,8.0,1,0,0,1,0,LF
140 (5),Sep 10 (2),CHC,,CIN,W,6-3,CG,40,9.0,8,0,0,8,0,C
149 (8),Sep 20,CHC,@,STL,L,4-11,CG,39,8.0,4,0,0,4,0,C
152 (2),Sep 23,CHC,,SFG,W,9-8,GS,14,3.0,2,0,0,2,0,C
155 (2),Sep 27,CHC,,LAD,L,1-7,CG,38,9.0,3,4,0,7,1,2B
