1,Mar 29,CHW,@,KCR,W,14-7,,5,1.0,0,0,0,0,0,P
3 (1),Apr 2,CHW,@,TOR,L,2-4,,2,0.1,0,0,0,0,0,P
6 (2),Apr 5,CHW,,DET,L,7-9,,2,0.2,0,0,0,0,0,P
8 (1),Apr 8,CHW,,DET,L,0-1,,2,0.2,0,0,0,0,0,P
9,Apr 9,CHW,,TBR,L,4-5,,5,1.0,0,1,0,1,0,P
11 (1),Apr 11,CHW,,TBR,W,2-1,,2,0.2,0,0,0,0,0,P
13 (1),Apr 16,CHW,@,OAK,L,1-8,,4,0.0,0,0,0,0,0,P
15 (1),Apr 18,CHW,@,OAK,L,11-12,,3,0.1,0,0,0,0,0,P
17 (1),Apr 21,CHW,,HOU,L,1-10,,5,1.0,0,0,0,0,0,P
18,Apr 22,CHW,,HOU,L,1-7,,4,1.0,0,0,0,0,0,P
22 (3),Apr 26,CHW,@,KCR,W,6-3,,2,0.1,0,0,0,0,0,P
23,Apr 27,CHW,@,KCR,W,7-4,,3,1.0,1,0,0,1,0,P
26 (2),Apr 29,CHW,@,KCR,L,4-5,,2,0.2,0,1,0,1,0,P
29 (2),May 3,CHW,,MIN,W,6-5,,4,1.0,0,0,0,0,0,P
32 (2),May 6,CHW,,MIN,L,3-5,,2,0.1,0,0,0,0,0,P
33,May 8,CHW,,PIT,L,6-10,,4,0.1,0,0,0,0,0,P
35 (1),May 11,CHW,@,CHC,L,2-11,,5,1.0,0,0,0,0,0,P
40 (4),May 17,CHW,,TEX,W,4-2,,4,0.2,0,0,0,0,0,P
44 (3),May 21,CHW,,BAL,L,2-3,,3,1.0,0,0,0,0,0,P
47 (2),May 24,CHW,,BAL,L,3-9,GF,3,1.0,0,0,0,0,0,P
49 (1),May 26,CHW,@,DET,W,8-4,,4,0.2,0,0,0,0,0,P
51 (1),May 28,CHW,@,CLE,L,6-9,,1,0.1,0,0,0,0,0,P
53 (1),May 30,CHW,@,CLE,L,1-9,,2,1.0,0,0,0,0,0,P
54,Jun 1,CHW,,MIL,W,8-3,,1,0.1,0,0,0,0,0,P
56 (1),Jun 3,CHW,,MIL,W,6-1,,2,0.2,0,0,0,0,0,P
57,Jun 5 (1),CHW,@,MIN,L,2-4,GF,1,0.1,0,1,0,1,0,P
58,Jun 5 (2),CHW,@,MIN,W,6-3,,1,0.1,0,0,0,0,0,P
62 (3),Jun 9,CHW,@,BOS,L,2-4,GF,3,0.2,0,0,0,0,0,P
64 (1),Jun 11,CHW,,CLE,L,0-4,,5,1.0,0,0,0,0,0,P
68 (3),Jun 15,CHW,,DET,L,3-4,,1,0.1,0,0,0,0,0,P
70 (1),Jun 17,CHW,,DET,L,1-3,,2,0.2,0,1,0,1,0,P
73 (2),Jun 20,CHW,@,CLE,L,0-12,,3,0.2,0,1,0,1,0,P
74,Jun 22 (1),CHW,,OAK,L,2-11,,6,1.0,0,0,0,0,0,P
