20 (19),Apr 27,CHW,,BOS,L,3-10,GF,11,2.1,0,0,0,0,0,P
25 (4),May 3,CHW,,CLE,L,5-7,GF,3,1.0,0,1,0,1,0,P
28 (2),May 6,CHW,@,DET,L,1-3,GS,23,4.1,0,0,0,0,0,P
71 (42),Jun 23,CHW,,MIL,W,8-6,GS,24,5.1,1,1,0,2,0,P
76 (4),Jun 28,CHW,@,NYY,W,4-3,GS,29,7.0,0,0,0,0,0,P
81 (4),Jul 4,CHW,,TEX,W,5-4,GS,24,5.2,0,0,0,0,0,P
85 (3),Jul 8,CHW,,TOR,L,9-11,GS,17,3.0,0,2,0,2,0,P
86,Jul 13,CHW,@,KCR,W,9-8,GF,7,2.0,1,1,0,2,0,P
89 (2),Jul 16,CHW,@,BOS,L,1-5,GS,27,6.2,0,1,0,1,0,P
94 (4),Jul 21,CHW,@,DET,L,1-7,GF,7,1.0,0,0,0,0,0,P
129 (34),Aug 29,CHW,@,BAL,W,8-1,GS,29,7.1,0,0,0,0,0,P
135 (5),Sep 4,CHW,,MIN,L,9-18,,13,2.2,0,0,0,0,0,P
142 (6),Sep 12,CHW,,DET,L,6-8,,6,1.0,0,0,0,0,0,P
158 (15),Sep 29,CHW,,TBR,L,4-10,,11,1.2,0,0,0,0,0,P
