18 (17),Apr 26,FLA,,PHI,L,2-13,,8,2.1,0,0,0,0,0,P
20 (1),Apr 28,FLA,@,NYM,W,7-4,,4,1.0,0,0,0,0,0,P
23 (2),May 1,FLA,@,CHC,L,6-8,,7,0.2,0,0,0,0,0,P
26 (2),May 4,FLA,,CIN,W,3-2,GF,11,3.0,0,1,0,1,0,P
29 (2),May 7,FLA,,ATL,L,2-4,,7,2.0,0,1,0,1,1,P
32 (2),May 10,FLA,@,COL,L,2-3,,2,0.1,0,0,0,0,0,P
33,May 12,FLA,@,MIL,L,3-6,,4,1.1,0,0,0,0,0,P
35 (1),May 14,FLA,@,MIL,L,3-5,,11,2.0,0,0,0,0,0,P
38 (2),May 17,FLA,,LAD,L,5-12,,13,2.1,0,2,0,2,0,P
41 (2),May 20 (2),FLA,,ARI,L,9-11,,14,3.2,0,0,0,0,0,P
44 (2),May 23,FLA,,TBR,L,3-10,,9,1.2,0,1,0,1,0,P
48 (3),May 27,FLA,@,PHI,W,6-2,GS,19,5.0,0,1,0,1,0,P
53 (4),Jun 2,FLA,,MIL,W,10-3,,16,5.0,0,0,0,0,0,P
57 (3),Jun 6,FLA,,SFG,W,5-4,,8,2.1,0,0,0,0,0,P
61 (3),Jun 10,FLA,,STL,L,4-13,GF,7,1.0,0,0,0,0,0,P
66 (4),Jun 16,FLA,@,BOS,L,2-8,GF,19,4.1,1,0,0,1,0,P
72 (5),Jun 23,FLA,,BAL,W,7-6,GF,8,2.0,0,0,0,0,0,P
75 (2),Jun 26,FLA,@,TBR,L,3-7,,4,0.2,0,0,0,0,0,P
76,Jun 27,FLA,@,TBR,L,2-3,GF,3,0.2,0,0,0,0,0,P
80 (3),Jul 1,FLA,,WSN,W,5-3,,9,2.2,0,0,0,0,0,P
87 (6),Jul 9,FLA,@,ARI,W,14-7,,7,1.2,0,0,0,0,0,P
89 (1),Jul 11,FLA,@,ARI,L,1-5,,6,1.1,0,0,0,0,0,P
92 (2),Jul 17,FLA,,PHI,L,5-6,GF,10,2.0,1,1,0,2,0,P
93,Jul 19,FLA,,PHI,L,0-5,,6,2.0,0,0,0,0,0,P
99 (5),Jul 26,FLA,@,LAD,W,8-6,,5,1.0,0,0,0,0,0,P
104 (4),Aug 1,FLA,,CHC,L,8-9,GS,14,1.2,0,1,0,1,0,P
132 (27),Sep 1,FLA,,ATL,L,3-4,,8,2.0,0,1,0,1,0,P
135 (2),Sep 4,FLA,@,WSN,W,9-6,,12,3.0,1,1,0,2,0,P
138 (2),Sep 8,FLA,@,NYM,W,4-2,,4,1.0,0,0,0,0,0,P
140 (1),Sep 10,FLA,@,NYM,W,13-4,,8,2.0,0,0,0,0,0,P
143 (2),Sep 13,FLA,,WSN,L,2-7,GF,8,2.0,0,0,0,0,0,P
147 (3),Sep 17,FLA,@,CIN,L,2-3,,6,1.2,0,1,0,1,0,P
151 (3),Sep 22 (1),FLA,,PHI,L,3-9,,13,2.2,1,0,0,1,0,P
155 (3),Sep 26,FLA,,NYM,W,9-6,,7,2.0,0,0,0,0,0,P
162 (6),Oct 4,FLA,@,PHI,L,6-7,,6,2.0,0,0,0,0,0,P
