1,Apr 2,CLE,,NYY,L,1-7,CG,41,9.0,0,5,0,5,0,2B
2,Apr 3,CLE,,NYY,L,1-5,CG,41,9.0,3,4,1,8,2,2B
3,Apr 5,CLE,,TOR,L,1-7,CG,41,9.0,2,0,0,2,0,2B
4,Apr 6,CLE,,TOR,W,5-3,CG,40,9.0,1,1,1,3,0,2B
5,Apr 7,CLE,,TOR,W,8-3,CG,35,9.0,2,5,0,7,2,2B
6,Apr 10,CLE,@,BAL,L,2-3,CG,39,9.1,2,2,0,4,0,2B
7,Apr 11,CLE,@,BAL,L,4-14,CG,42,8.0,3,1,1,5,1,2B
8,Apr 12,CLE,@,BOS,W,3-1,CG,32,9.0,4,3,0,7,1,2B
9,Apr 13,CLE,@,BOS,W,14-2,GS,33,8.0,4,5,0,9,2,2B
10,Apr 14,CLE,@,BOS,W,7-6,CG,51,11.0,2,5,0,7,1,2B
11,Apr 15,CLE,@,BOS,W,8-0,CG,37,9.0,3,2,0,5,0,2B
12,Apr 16,CLE,@,MIN,W,7-2,CG,35,9.0,2,5,0,7,1,2B
13,Apr 17,CLE,@,MIN,L,8-9,CG,37,8.0,2,7,0,9,3,2B
14,Apr 19,CLE,,BOS,W,9-4,CG,38,9.0,1,6,0,7,1,2B
15,Apr 20,CLE,,BOS,W,2-1,CG,37,9.0,3,0,0,3,0,2B
16,Apr 21,CLE,,BOS,W,11-7,CG,43,9.0,3,4,0,7,2,2B
17,Apr 22,CLE,,BAL,W,6-3,CG,36,9.0,2,5,1,8,2,2B
18,Apr 23,CLE,,BAL,W,9-8,CG,42,9.0,1,3,1,5,0,2B
19,Apr 24,CLE,@,NYY,L,8-10,CG,41,8.0,3,2,0,5,0,2B
20,Apr 25,CLE,@,NYY,W,4-3,CG,40,9.0,3,2,1,6,0,2B
21,Apr 26,CLE,@,TOR,W,6-3,CG,34,9.0,4,3,0,7,1,2B
22,Apr 27,CLE,@,TOR,L,6-11,GS,41,7.0,3,2,0,5,1,2B
23,Apr 28,CLE,@,TOR,W,17-3,GS,25,5.0,1,1,0,2,0,2B
24,Apr 30,CLE,,CHW,W,5-3,CG,33,9.0,3,6,0,9,1,2B
25,May 1,CLE,,CHW,W,9-5,CG,39,9.0,6,4,0,10,2,2B
26,May 2 susp,CLE,@,SEA,W,6-4,CG,34,9.0,3,3,0,6,0,2B
27,May 3,CLE,@,SEA,W,5-2,CG,35,9.0,1,5,0,6,0,2B
28,May 4,CLE,@,SEA,L,1-5,CG,32,8.0,3,2,0,5,0,2B
29,May 5,CLE,@,SEA,W,2-0,CG,34,9.0,0,1,0,1,0,2B
30,May 6,CLE,@,OAK,L,3-5,CG,35,8.0,3,0,0,3,0,2B
31,May 7,CLE,@,OAK,L,4-8,CG,43,8.0,2,3,0,5,0,2B
32,May 8,CLE,@,OAK,W,7-3,CG,37,9.0,2,1,0,3,1,2B
33,May 10,CLE,@,CAL,L,8-13,CG,43,8.0,3,4,0,7,0,2B
36 (2),May 14,CLE,,DET,W,5-1,CG,35,9.0,3,6,0,9,1,2B
37,May 15,CLE,,DET,W,5-2,CG,33,9.0,1,2,0,3,0,2B
38,May 16,CLE,,DET,W,8-3,CG,36,9.0,2,0,0,2,1,2B
39,May 17,CLE,,TEX,W,12-10,CG,46,9.0,1,0,0,1,0,2B
40,May 18,CLE,,TEX,L,3-6,CG,37,9.0,3,4,2,9,2,2B
41,May 19,CLE,,TEX,W,8-5,CG,36,9.0,1,8,0,9,1,2B
42,May 21,CLE,,MIL,W,6-5,CG,41,9.0,3,3,0,6,1,2B
43,May 22,CLE,,MIL,L,8-10,CG,44,9.0,2,4,1,7,2,2B
44,May 23,CLE,,MIL,W,5-1,GS,35,8.0,1,2,0,3,0,2B
45,May 24,CLE,@,DET,W,6-3,CG,35,9.0,3,2,0,5,1,2B
46,May 25,CLE,@,DET,W,7-6,CG,40,9.0,1,3,0,4,0,2B
47,May 26,CLE,@,DET,W,5-0,CG,33,9.0,1,4,0,5,1,2B
48,May 27,CLE,@,TEX,L,2-3,CG,37,8.2,4,5,0,9,1,2B
49,May 28,CLE,@,TEX,L,3-11,CG,42,8.0,2,2,0,4,1,2B
50,May 29,CLE,@,TEX,L,4-5,CG,36,8.0,3,3,0,6,1,2B
51,May 30,CLE,@,MIL,W,2-0,GS,15,4.0,1,1,0,2,0,2B
52,May 31,CLE,@,MIL,W,10-4,GS,29,7.0,0,2,0,2,0,2B
53,Jun 1,CLE,@,MIL,L,1-2,CG,30,8.0,1,4,0,5,0,2B
54,Jun 2,CLE,@,MIL,W,11-6,CG,43,9.0,3,6,0,9,3,2B
55,Jun 4,CLE,,SEA,L,7-10,CG,45,9.0,2,3,0,5,1,2B
56,Jun 5,CLE,,SEA,W,13-5,CG,44,9.0,4,1,0,5,1,2B
57,Jun 6,CLE,,SEA,L,2-5,CG,39,9.0,1,2,0,3,1,2B
58,Jun 7,CLE,,CAL,W,4-3,CG,32,9.0,1,3,0,4,1,2B
59,Jun 8,CLE,,CAL,W,5-0,CG,33,9.0,1,4,0,5,1,2B
60,Jun 9,CLE,,CAL,L,6-8,CG,54,13.0,0,2,0,2,0,2B
61,Jun 10,CLE,,OAK,W,5-4,CG,39,9.0,2,0,0,2,0,2B
62,Jun 11,CLE,,OAK,W,6-5,CG,56,13.0,2,3,0,5,1,2B
63,Jun 12,CLE,,OAK,L,6-9,CG,42,9.0,2,1,0,3,0,2B
64,Jun 13,CLE,@,NYY,W,6-2,CG,33,9.0,0,6,0,6,0,2B
65,Jun 14,CLE,@,NYY,L,3-4,CG,33,8.0,0,1,0,1,0,2B
66,Jun 15,CLE,@,NYY,W,10-3,CG,35,9.0,1,2,0,3,0,2B
67,Jun 16,CLE,@,NYY,L,4-5,CG,38,8.0,0,3,0,3,1,2B
68,Jun 18,CLE,,BOS,W,9-7,CG,44,9.0,0,4,0,4,1,2B
69,Jun 19,CLE,,BOS,W,11-4,CG,43,9.0,2,4,0,6,1,2B
70,Jun 20,CLE,,BOS,W,5-4,CG,36,9.0,3,5,0,8,1,2B
71,Jun 21 (1),CLE,,NYY,L,7-8,CG,48,10.0,2,7,0,9,1,2B
72,Jun 21 (2),CLE,,NYY,L,3-9,CG,46,9.0,2,3,0,5,0,2B
73,Jun 22,CLE,,NYY,L,9-11,CG,48,9.0,5,2,0,7,0,2B
74,Jun 23,CLE,,NYY,L,5-6,CG,37,9.0,2,1,1,4,1,2B
75,Jun 25,CLE,@,BOS,W,4-0,CG,34,9.0,3,6,0,9,1,2B
76,Jun 26,CLE,@,BOS,L,4-6,CG,61,14.1,3,1,0,4,0,2B
77,Jun 27,CLE,@,CHW,L,10-15,GS,32,5.0,3,3,0,6,1,2B
78,Jun 28,CLE,@,CHW,L,2-4,CG,36,8.0,0,4,0,4,0,2B
79,Jun 29,CLE,@,CHW,W,3-2,CG,41,10.0,0,6,0,6,0,2B
80,Jun 30,CLE,@,CHW,W,4-2,CG,35,9.0,0,5,0,5,1,2B
81,Jul 1,CLE,,KCR,L,2-4,CG,38,9.0,3,2,0,5,0,2B
82,Jul 2,CLE,,KCR,W,3-2,CG,40,9.0,3,4,0,7,0,2B
83,Jul 3,CLE,,KCR,W,6-4,CG,35,9.0,1,4,0,5,2,2B
84,Jul 4,CLE,,CHW,L,5-6,CG,47,10.0,0,3,1,4,0,2B
85,Jul 5,CLE,,CHW,L,0-7,CG,44,9.0,3,4,0,7,1,2B
86,Jul 6,CLE,,CHW,L,2-3,CG,34,9.0,0,2,0,2,1,2B
87,Jul 7,CLE,,CHW,W,6-1,CG,33,9.0,4,1,0,5,0,2B
88,Jul 11,CLE,@,MIN,W,11-7,CG,42,9.0,1,2,0,3,0,2B
89,Jul 12,CLE,@,MIN,W,7-5,CG,41,9.0,2,5,1,8,1,2B
90,Jul 13,CLE,@,MIN,W,19-11,CG,47,9.0,2,2,1,5,0,2B
91,Jul 14,CLE,@,MIN,L,4-5,CG,39,8.1,1,3,1,5,1,2B
92,Jul 15,CLE,@,KCR,L,3-6,CG,37,8.0,2,2,0,4,0,2B
93,Jul 16,CLE,@,KCR,W,10-4,CG,36,9.0,0,4,0,4,0,2B
94,Jul 17,CLE,@,KCR,L,2-3,CG,33,8.0,2,5,0,7,0,2B
95,Jul 18,CLE,,MIN,W,5-4,CG,35,9.0,0,2,0,2,0,2B
96,Jul 19,CLE,,MIN,L,2-3,CG,36,9.0,1,5,0,6,1,2B
97,Jul 20,CLE,,MIN,W,6-5,CG,48,11.0,1,2,0,3,0,2B
98,Jul 21,CLE,,MIN,W,7-5,CG,39,9.0,2,0,0,2,0,2B
99,Jul 22,CLE,@,TOR,W,4-2,CG,34,9.0,2,4,1,7,1,2B
100,Jul 23,CLE,@,TOR,L,1-3,CG,31,8.0,0,2,0,2,0,2B
101,Jul 24,CLE,@,TOR,W,10-0,CG,32,9.0,1,4,0,5,0,2B
102,Jul 25,CLE,@,BAL,W,10-7,GF,21,4.2,0,1,0,1,0,2B
106,Jul 30 (1),NYM,,PIT,W,5-4,GF,3,1.0,0,0,0,0,0,PH 3B
107,Jul 30 (2),NYM,,PIT,W,4-3,CG,50,12.0,0,2,0,2,0,3B
108,Jul 31,NYM,,PIT,W,3-2,CG,37,10.0,1,0,0,1,0,3B
109,Aug 1,NYM,,PIT,L,9-13,GS,43,8.0,0,2,2,4,0,3B
116 (6),Aug 8,NYM,@,FLA,W,3-0,GS,25,7.0,6,1,0,7,1,1B
117,Aug 9,NYM,@,FLA,L,1-2,CG,37,9.2,13,0,0,13,1,1B
118,Aug 10,NYM,@,FLA,L,6-9,GS,35,7.0,8,0,0,8,0,1B
119,Aug 11,NYM,@,FLA,W,5-3,GS,24,7.0,9,0,0,9,1,1B
