11 (10),Apr 14,LAD,,ARI,W,7-1,GF,3,0.2,0,0,0,0,0,P
13 (1),Apr 16,LAD,,ARI,L,1-3,,4,1.1,0,0,0,0,0,P
15 (1),Apr 18,LAD,,COL,L,3-4,,7,2.0,0,0,0,0,0,P
17 (1),Apr 21,LAD,@,ARI,L,5-13,,6,1.1,0,0,0,0,0,P
19 (1),Apr 23,LAD,@,ARI,W,6-2,,4,1.0,0,0,0,0,0,P
21 (1),Apr 25,LAD,@,SFG,W,2-1,,2,0.2,0,0,0,0,0,P
22,Apr 26,LAD,@,SFG,L,3-4,,6,1.1,0,0,0,0,0,P
26 (3),Apr 30,LAD,,PHI,W,5-3,,5,1.0,0,0,0,0,0,P
29 (2),May 3,LAD,,SFG,L,1-4,,5,1.0,0,0,0,0,0,P
30,May 5,LAD,@,SDP,W,8-2,,5,1.1,0,0,0,0,0,P
31,May 6,LAD,@,SDP,W,10-2,,2,0.1,0,0,0,0,0,P
33 (1),May 9,LAD,,PIT,W,4-3,,4,1.0,0,0,0,0,0,P
36 (2),May 12,LAD,@,COL,W,6-2,,2,0.2,0,0,0,0,0,P
37,May 13,LAD,@,COL,W,4-0,,4,1.0,0,0,0,0,0,P
40 (2),May 16,LAD,@,SFG,L,1-2,,3,0.2,0,0,0,0,0,P
41,May 17,LAD,@,SFG,W,6-1,,3,1.0,0,1,0,1,0,P
44 (2),May 20,LAD,,MIA,L,6-10,,4,1.0,0,0,0,0,0,P
45,May 21,LAD,,MIA,W,6-3,,6,1.0,0,0,0,0,0,P
46,May 23,LAD,,STL,W,2-1,,3,1.0,0,0,0,0,0,P
49 (2),May 26,LAD,,CHC,W,4-0,,7,2.0,0,0,0,0,0,P
52 (2),May 29,LAD,@,STL,W,5-1,,4,1.0,0,0,0,0,0,P
53,May 30,LAD,@,STL,W,9-4,,1,0.1,0,0,0,0,0,P
56 (2),Jun 2,LAD,@,MIL,W,2-1,,9,2.0,0,0,0,0,0,P
60 (3),Jun 6,LAD,,WSN,L,1-2,,3,1.0,0,0,0,0,0,P
61,Jun 7,LAD,,WSN,W,2-1,,3,0.2,1,1,0,2,0,P
63 (1),Jun 10,LAD,,CIN,W,5-4,,5,1.0,0,0,0,0,0,P
65 (1),Jun 13,LAD,@,CLE,W,7-5,,3,1.0,0,0,0,0,0,P
66,Jun 14,LAD,@,CLE,W,6-4,,3,0.1,0,0,0,0,0,P
69 (2),Jun 17,LAD,@,CIN,W,10-2,,4,1.0,0,0,0,0,0,P
70,Jun 18,LAD,@,CIN,W,8-7,,7,1.0,0,0,0,0,0,P
74 (3),Jun 22,LAD,,NYM,W,6-3,,4,1.0,0,0,0,0,0,P
76 (1),Jun 24,LAD,,COL,W,4-0,,4,1.0,0,0,0,0,0,P
77,Jun 25,LAD,,COL,W,12-6,,5,1.0,0,0,0,0,0,P
80 (2),Jun 28,LAD,@,LAA,L,2-3,GF,3,0.1,0,0,0,0,0,P
84 (3),Jul 2,LAD,@,SDP,L,3-5,,6,1.1,0,1,0,1,0,P
85,Jul 4,LAD,,ARI,W,4-3,,2,0.1,1,0,0,1,0,P
86,Jul 5,LAD,,ARI,W,1-0,,4,1.0,0,0,0,0,0,P
89 (2),Jul 8,LAD,,KCR,W,5-4,,5,1.0,0,0,0,0,0,P
92 (2),Jul 15,LAD,@,MIA,W,7-1,,5,0.2,0,0,0,0,0,P
94 (1),Jul 18,LAD,@,CHW,W,1-0,,3,1.0,0,0,0,0,0,P
98 (3),Jul 22,LAD,,ATL,W,6-2,,5,1.2,0,1,0,1,0,P
99,Jul 23,LAD,,ATL,W,5-4,,2,0.2,0,0,0,0,0,P
102 (2),Jul 26,LAD,,MIN,W,6-5,,3,1.0,0,0,0,0,0,P
104 (1),Jul 29,LAD,,SFG,W,2-1,,4,1.1,0,0,0,0,0,P
105,Jul 30,LAD,,SFG,W,3-2,GF,2,0.2,0,0,0,0,0,P
107 (1),Aug 2,LAD,@,ATL,L,3-5,GF,6,1.0,0,0,0,0,0,P
110 (2),Aug 5,LAD,@,NYM,W,7-4,,4,1.0,0,0,0,0,0,P
112 (1),Aug 8,LAD,@,ARI,L,3-6,,4,1.0,0,0,0,0,0,P
116 (3),Aug 12,LAD,,SDP,W,6-3,,4,1.0,0,0,0,0,0,P
117,Aug 13,LAD,,SDP,W,6-4,,3,1.0,0,0,0,0,0,P
120 (2),Aug 18,LAD,@,DET,W,8-5,,9,2.0,0,0,0,0,0,P
123 (2),Aug 21,LAD,@,PIT,W,6-5,,5,0.1,0,0,0,0,0,P
126 (2),Aug 24,LAD,@,PIT,W,5-2,,6,1.1,0,0,0,0,0,P
129 (2),Aug 27,LAD,,MIL,L,2-3,,3,1.0,0,0,0,0,0,P
132 (2),Aug 31,LAD,@,ARI,L,1-8,,3,1.0,0,0,0,0,0,P
134 (1),Sep 2 (1),LAD,@,SDP,L,5-6,GF,2,0.1,0,0,0,0,0,P
137 (2),Sep 4,LAD,,ARI,L,0-13,,4,0.0,0,0,0,0,0,P
138,Sep 5,LAD,,ARI,L,1-3,,4,0.1,0,0,0,0,0,P
141 (2),Sep 8,LAD,,COL,L,4-5,,4,1.0,0,0,0,0,0,P
144 (2),Sep 11,LAD,@,SFG,L,6-8,,6,1.0,0,0,0,0,0,P
147 (2),Sep 15,LAD,@,WSN,W,7-0,,5,1.0,0,0,0,0,0,P
151 (3),Sep 19,LAD,@,PHI,L,2-6,,7,0.2,0,0,0,0,0,P
155 (3),Sep 23,LAD,,SFG,L,1-2,,4,1.0,0,0,0,0,0,P
