4 (3),Apr 5,CIN,,WSN,W,15-0,GS,23,6.0,3,0,0,3,0,P
9 (4),Apr 10,CIN,@,STL,L,0-10,GS,26,5.0,0,2,0,2,0,P
14 (4),Apr 16 susp,CIN,,PHI,W,1-0,GS,25,8.0,0,3,0,3,0,P
19 (4),Apr 21,CIN,,MIA,W,10-6,GS,28,6.0,0,1,0,1,0,P
24 (4),Apr 26,CIN,@,WSN,L,0-1,GS,24,7.0,2,2,0,4,0,P
29 (4),May 1,CIN,@,STL,L,2-4,GS,26,5.1,1,0,0,1,0,P
34 (4),May 7,CIN,,ATL,W,5-4,GS,24,5.0,0,0,0,0,0,P
39 (4),May 14,CIN,@,MIA,W,6-2,CG,33,9.0,1,0,0,1,0,P
44 (4),May 19,CIN,@,PHI,L,2-3,GS,26,7.0,2,1,0,3,0,P
49 (4),May 25,CIN,,CHC,W,5-2,GS,25,6.0,1,0,0,1,0,P
54 (4),May 30,CIN,@,CLE,L,1-7,GS,20,3.2,0,0,0,0,0,P
59 (4),Jun 4,CIN,,COL,L,4-5,GS,27,7.0,0,1,0,1,0,P
64 (4),Jun 10,CIN,@,CHC,W,6-2,GS,30,8.0,3,0,0,3,0,P
69 (4),Jun 15,CIN,,MIL,L,0-6,GS,28,7.0,1,2,0,3,1,P
74 (4),Jun 20,CIN,,PIT,L,3-5,GS,26,6.0,1,1,0,2,0,P
79 (4),Jun 26,CIN,@,OAK,L,0-5,GS,25,6.0,0,1,0,1,0,P
84 (4),Jul 2,CIN,,SFG,W,3-0,CG,28,9.0,0,1,0,1,0,P
89 (4),Jul 8,CIN,@,MIL,L,3-4,GS,29,5.2,0,1,0,1,0,P
94 (4),Jul 13,CIN,@,ATL,L,2-5,GS,29,6.0,1,2,0,3,0,P
98 (3),Jul 21,CIN,,PIT,L,2-3,GS,27,6.1,0,0,0,0,0,P
104 (5),Jul 26,CIN,@,LAD,L,1-2,GS,28,7.0,1,1,0,2,0,P
109 (4),Jul 31,CIN,@,SDP,W,4-1,GS,30,8.1,0,3,0,3,1,P
114 (4),Aug 7,CIN,,OAK,W,6-5,GS,25,5.1,0,0,0,0,0,P
119 (4),Aug 13,CIN,@,CHC,W,6-4,GS,28,6.1,0,1,0,1,0,P
124 (4),Aug 18,CIN,@,MIL,W,9-1,GS,28,8.0,0,0,0,0,0,P
129 (4),Aug 23,CIN,,MIL,L,4-6,GS,27,6.0,0,0,0,0,0,P
134 (4),Aug 28,CIN,@,STL,W,10-0,GS,27,7.1,1,1,0,2,0,P
139 (4),Sep 3,CIN,,STL,W,1-0,GS,24,7.0,2,0,0,2,0,P
144 (4),Sep 8,CIN,,LAD,W,3-2,GS,27,7.0,0,0,0,0,0,P
149 (4),Sep 14,CIN,@,MIL,W,7-3,GS,29,7.0,0,2,0,2,0,P
155 (5),Sep 21,CIN,@,PIT,L,2-4,GS,23,5.2,0,0,1,1,0,P
160 (4),Sep 27,CIN,,PIT,L,1-4,GS,24,5.0,0,0,0,0,0,P
