158,1,Apr 15,CHW,@,CLE,W,2-0,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,.500,.500,.500,1.000,1,.51,-0.011,-0.07,3B
159,2,Apr 18,CHW,,SLB,W,1-0,CG,4,3,1,1,1,0,0,0,1,0,0,0,0,,0,0,0,0,.429,.500,.571,1.071,1,.90,0.010,0.05,3B
160,3,Apr 21,CHW,@,DET,W,6-4,CG,5,2,1,0,0,0,0,0,2,0,1,0,1,,0,0,0,0,.333,.500,.444,.944,1,.51,0.042,0.25,3B
161,4,Apr 23,CHW,@,DET,L,4-7,CG,4,2,1,1,0,0,0,0,2,0,0,0,0,,0,0,0,1,.364,.563,.455,1.017,1,.76,0.008,0.04,3B
162,5,Apr 24,CHW,,CLE,L,0-1,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,.286,.500,.357,.857,1,1.80,0.007,-0.16,3B
163,6,Apr 25,CHW,,CLE,W,3-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.222,.417,.278,.694,1,.57,-0.055,-0.77,3B
164,7,Apr 26,CHW,@,SLB,W,2-0,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.174,.345,.217,.562,1,.97,-0.125,-1.50,3B
165,8,Apr 27 (1),CHW,@,SLB,L,2-4,GS-9,4,3,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,.154,.333,.192,.526,1,1.15,-0.015,-0.35,3B
166,9,Apr 27 (2),CHW,@,SLB,L,3-4,CG,5,4,1,2,0,0,0,0,1,,0,0,0,,,0,0,0,.200,.368,.233,.602,1,,,,3B
167,10,Apr 30,CHW,,WSH,W,5-2,CG,5,5,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,1,.229,.372,.257,.629,1,.41,-0.002,-0.44,3B
168,11,May 2,CHW,,NYY,L,2-5,CG,4,4,1,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,.231,.362,.256,.618,1,.52,-0.030,-0.25,3B
169,12,May 3 (1),CHW,,NYY,W,2-1,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,.238,.373,.262,.634,1,1.40,0.060,0.33,3B
170,13,May 3 (2),CHW,,NYY,W,10-3,CG,5,4,3,3,1,0,0,0,1,0,0,0,0,,0,0,0,0,.283,.411,.326,.737,1,.48,0.114,1.50,3B
171,14,May 4 (1),CHW,,PHA,W,8-7,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.255,.377,.294,.671,1,.83,-0.102,-1.04,3B
