51,5,Apr 4,MIN,,KCR,W,4-3,GS-7,W(1-0),99,6.2,7,3,3,0,2,0,0,4.05,25,84,64,9,5,9,14,5,0,0,50,,,1,0,0,25,1,0,0,0,0,0,1.11,0.097,0.35, 1t start tie, 7t 1-- 2 out a1
52,9,Apr 9,MIN,@,CHW,W,12-5,GS-5,W(2-0),4,5.0,5,3,3,1,7,3,0,4.63,22,88,62,11,15,4,10,4,2,0,51,,,0,0,0,21,0,0,0,0,0,1,.68,0.093,-0.23, 1b start a 2, 5b 3 out a4
53,14,Apr 15,MIN,@,DET,L,5-6,GS-7,,5,7.0,5,3,3,2,3,3,0,4.34,27,91,65,17,4,9,13,4,2,0,56,,,1,0,0,25,0,0,0,1,0,0,1.27,0.159,0.81, 1b start a 1, 7b 3 out a1
54,19,Apr 20,MIN,,CLE,W,2-1,GS-7,,4,7.0,5,1,1,1,8,0,0,3.51,26,100,69,22,11,7,10,4,1,0,70,,,0,0,0,25,1,0,0,1,0,0,1.16,0.332,2.59, 1t start tie, 7t 3 out tie
55,24,Apr 26,MIN,@,TEX,W,12-6,GS-5,,5,4.1,8,5,5,1,7,0,0,4.50,22,79,54,12,11,5,9,4,1,0,33,,,0,0,0,21,1,0,0,0,0,0,1.10,-0.309,-2.92, 1b start tie, 5b 123 1 out d2
56,29,May 3,MIN,,DET,W,4-1,GS-3,,6,3.0,1,0,0,0,2,0,0,4.09,10,43,30,7,3,4,4,0,1,0,59,,,0,0,0,10,0,0,0,0,0,0,.87,0.155,1.54, 1t start tie, 3t 3 out tie
57,60,Jun 5,MIN,,BAL,L,2-3,GS-5,,32,5.0,5,2,2,1,3,1,0,4.03,21,99,72,13,12,7,10,4,1,0,51,,,0,0,0,20,2,0,0,0,0,0,.88,0.030,0.56, 1t start tie, 5t 3 out d1
58,65,Jun 10,MIN,@,CLE,L,0-1,GS-7,L(2-1),4,7.0,8,1,1,1,1,0,1,3.60,28,95,59,14,8,7,18,7,2,0,57,,,0,1,0,26,1,0,0,2,0,0,.83,0.229,2.66, 1b start tie, 7b 3 out d1
59,70,Jun 15,MIN,@,MIL,L,2-4,GS-6,L(2-2),4,6.0,7,3,3,2,9,1,0,3.71,27,101,75,17,11,4,12,4,0,0,53,,,0,0,0,25,1,0,0,0,0,0,1.08,-0.159,0.00, 1b start tie, 6b 3 out d1
60,74,Jun 20,MIN,,ARI,W,7-2,GS-6,W(3-2),4,6.0,7,1,1,1,7,1,0,3.47,26,112,74,17,15,4,14,4,3,0,60,,,0,0,0,25,2,0,0,0,0,0,.60,0.184,2.07, 1t start tie, 6t 3 out a6
61,79,Jun 26,MIN,@,SDP,W,4-3,GS-6,W(4-2),5,6.0,6,3,3,2,3,1,0,3.57,26,101,68,19,9,6,15,2,4,0,49,,,0,0,0,23,2,0,0,0,1,0,1.07,0.004,-0.34, 1b start tie, 6b 3 out a1
62,84,Jul 1,MIN,,DET,W,6-4,GS-6,W(5-2),4,6.0,7,3,3,0,5,1,0,3.65,25,100,77,13,12,6,14,2,3,0,51,,,0,0,0,25,0,0,0,0,0,0,.86,0.103,0.07, 1t start tie, 6t 3 out a3
63,89,Jul 7,MIN,@,BOS,L,0-1,GS-7,,5,7.0,5,0,0,2,7,0,0,3.32,28,94,61,16,10,4,15,4,2,0,72,,,0,0,0,26,1,0,0,0,0,0,1.20,0.469,4.00, 1b start tie, 7b 3 out tie
64,94,Jul 12,MIN,@,DET,W,6-5,GS-8,W(6-2),4,7.0,6,4,4,0,4,2,1,3.47,28,102,66,15,6,8,15,3,4,0,53,,,0,0,0,26,0,0,0,0,0,0,1.10,0.065,-0.19, 1b start tie, 8b --- 0 out a2
65,98,Jul 20,MIN,,TEX,L,0-1,GS-8,L(6-3),7,8.0,2,1,1,1,8,1,0,3.26,27,106,71,14,15,5,13,1,2,0,81,,,1,0,0,26,0,0,0,0,0,0,.82,0.289,3.10, 1t start tie, 8t 3 out d1
66,103,Jul 26,MIN,@,CLE,W,11-4,GS-6,W(7-3),5,5.0,5,3,3,3,5,1,0,3.38,22,97,60,16,12,6,8,2,2,0,47,,,0,0,0,19,1,0,0,1,0,0,.20,0.024,-0.78, 1b start a 6, 6b 1-- 0 out a6
67,108,Jul 31,MIN,,CHW,W,10-6,GS-6,,4,6.0,5,4,4,3,8,1,0,3.53,25,102,69,15,8,2,12,4,2,0,51,,,2,0,0,22,0,0,0,0,0,0,.80,-0.102,-0.93, 1t start tie, 6t 3 out d1
68,113,Aug 5,MIN,@,SEA,L,7-8,GS-6,,4,5.1,9,6,6,2,4,1,0,3.86,28,100,67,14,7,8,14,4,2,0,28,,,0,0,0,25,2,0,1,0,1,0,1.07,-0.318,-2.51, 1b start tie, 6b 123 1 out d1
69,117,Aug 10,MIN,@,KCR,L,4-5,GS-7,,4,7.0,7,2,2,1,7,0,0,3.78,29,112,84,16,13,9,12,5,2,0,61,,,1,0,0,28,2,0,0,0,0,0,1.32,0.136,1.66, 1b start tie, 7b 3 out a2
70,122,Aug 16,MIN,,SEA,W,7-6,GS-6,,5,5.1,8,4,4,2,1,0,1,3.91,24,84,57,12,8,6,14,3,3,0,35,,,1,0,0,21,2,0,0,3,0,0,.87,-0.004,-0.46, 1t start tie, 6t 1-- 1 out a2
71,127,Aug 21,MIN,@,LAA,W,2-1,GS-8,,4,8.0,4,1,1,2,6,1,0,3.74,29,103,69,21,6,4,17,2,4,0,74,,,0,1,0,27,0,0,0,0,0,0,1.06,0.443,3.36, 1b start tie, 8b 3 out tie
72,132,Aug 26,MIN,@,SEA,L,2-3,GS-7,L(7-4),4,6.2,10,3,3,3,3,0,0,3.75,30,105,74,15,7,11,13,7,2,0,42,,,0,2,0,26,2,0,1,2,0,1,1.03,-0.141,-0.19, 1b start tie, 7b 123 2 out d1
73,137,Aug 31,MIN,@,OAK,W,12-4,GS-6,W(8-4),4,6.0,6,1,1,1,4,0,0,3.66,24,96,69,22,8,7,12,3,4,0,59,,,1,0,0,23,2,0,0,0,0,0,1.01,0.187,2.01, 1b start a 1, 6b 3 out a7
74,142,Sep 6,MIN,,DET,L,4-6,GS-8,,5,7.1,4,3,3,4,5,0,0,3.66,27,101,70,17,10,6,12,4,3,0,59,,,0,1,0,22,2,1,0,1,1,0,1.24,0.251,1.56, 1t start tie, 8t 1-- 1 out a2
75,147,Sep 13(1),MIN,@,BAL,W,12-2,GS-6,W(9-4),6,6.0,4,1,1,3,4,0,0,3.57,25,94,56,19,7,6,12,3,1,0,61,,,0,0,0,22,0,0,0,0,0,0,.99,0.225,2.24, 1b start a 1, 6b 3 out a3
76,152,Sep 17,MIN,@,CLE,L,4-6,GS-5,,3,4.2,6,4,4,1,5,2,0,3.69,21,103,64,14,9,3,12,2,3,0,40,,,0,0,0,20,1,0,0,0,0,0,1.07,-0.254,-1.72, 1b start a 1, 5b -2- 2 out d2
77,157,Sep 23,MIN,,CHW,W,9-3,GS-7,W(10-4),5,7.0,5,1,1,1,4,0,0,3.59,26,102,73,16,11,7,14,4,5,0,66,,,0,0,0,25,0,0,0,1,0,0,.87,0.168,2.59, 1t start tie, 7t 3 out a6
78,162,Sep 28,MIN,,KCR,W,6-0,GS-7,W(11-4),4,7.0,4,0,0,1,9,0,0,3.45,25,99,70,14,16,6,9,2,2,0,77,,,0,0,0,24,0,0,0,0,0,0,1.14,0.413,3.59, 1t start tie, 7t 3 out a2
