531,4 (3),Apr 8,KCR,,CHW,W,4-3,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.89,-0.069,-0.70,C
532,7 (2),Apr 12,KCR,@,NYY,L,5-12,GS-9,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.167,.167,.333,9,.75,-0.013,-0.04,C
533,11 (3),Apr 16,KCR,@,TBD,L,5-9,GS-8,3,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.250,.333,.250,.583,9,1.00,0.114,0.96,C
534,14 (2),Apr 19,KCR,@,CHW,L,0-4,GS-9,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.200,.273,.200,.473,9,.47,-0.025,-0.31,C
535,15,Apr 21,KCR,,CLE,L,5-6,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.200,.273,.200,.473,1,,,,C
536,16,Apr 22,KCR,,CLE,W,11-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.143,.200,.143,.343,8,.21,-0.024,-0.98,C
537,18 (1),Apr 25,KCR,,MIN,L,1-2,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.143,.200,.143,.343,9,,,,C
538,19,Apr 26,KCR,,MIN,W,3-1,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.118,.167,.118,.284,9,.85,-0.072,-0.65,C
539,22 (2),Apr 30,KCR,,OAK,L,6-13,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.095,.136,.095,.232,8,.62,-0.065,-0.90,C
540,25 (2),May 3,KCR,@,MIN,L,1-6,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.083,.120,.083,.203,9,.42,-0.033,-0.54,C
541,26,May 4,KCR,@,MIN,W,1-0,CG,4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.143,.172,.143,.315,8,1.11,0.082,0.76,C
