5 (4),Apr 9,BOS,,KCR,W,8-4,GF,6,2.0,0,0,0,0,0,P
7 (1),Apr 11,BOS,,KCR,L,5-8,GF,3,0.2,0,0,0,0,0,P
10 (2),Apr 14,BOS,,NYY,L,2-6,,5,0.0,0,0,0,0,0,P
19 (8),Apr 25,BOS,@,BAL,W,7-0,GF,4,1.0,0,0,0,0,0,P
55 (35),Jun 4,BOS,@,DET,W,10-5,GF,4,1.0,0,1,0,1,0,P
60 (4),Jun 9,BOS,,ARI,L,3-7,GF,8,2.0,0,1,0,1,0,P
67 (6),Jun 18,BOS,@,SDP,W,4-2,,4,1.0,0,0,0,0,0,P
70 (2),Jun 21,BOS,@,LAD,L,2-3,,4,0.2,0,0,0,0,0,P
76 (5),Jun 29,BOS,,ATL,L,1-2,GF,3,1.0,0,0,0,0,0,P
77,Jun 30,BOS,,ATL,L,3-7,GF,4,0.1,0,1,1,2,0,P
79 (1),Jul 2 (1),BOS,,TOR,W,2-1,,8,1.2,0,0,0,0,0,P
84 (4),Jul 6,BOS,,DET,W,8-0,GF,3,1.0,0,0,0,0,0,P
86 (1),Jul 11,BOS,@,TOR,W,10-3,,4,1.0,0,0,0,0,0,P
91 (4),Jul 16,BOS,@,DET,W,9-4,GF,7,1.2,0,0,0,0,0,P
97 (5),Jul 23 (1),BOS,,TBD,W,22-4,GF,13,4.0,0,1,0,1,0,P
99 (1),Jul 24,BOS,,TBD,L,5-9,,1,0.1,0,0,0,0,0,P
101 (1),Jul 26,BOS,,BAL,L,2-9,GF,6,1.0,0,0,0,0,0,P
104 (2),Jul 29,BOS,@,ANA,L,4-5,GF,4,0.2,0,1,0,1,0,P
117 (12),Aug 13,BOS,@,SEA,L,3-10,,16,3.2,0,2,0,2,0,P
123 (5),Aug 20,BOS,,TEX,L,2-3,GF,5,1.0,0,0,0,0,0,P
129 (5),Aug 26,BOS,,ANA,W,10-9,,4,1.0,0,0,0,0,0,P
132 (2),Aug 30,BOS,@,CLE,W,15-5,GF,11,2.0,0,0,0,0,0,P
133,Aug 31,BOS,@,CLE,L,7-8,,3,1.0,0,0,0,0,0,P
139 (5),Sep 6,BOS,,TOR,W,7-2,GF,6,1.0,0,0,0,0,0,P
141 (1),Sep 8,BOS,,TOR,L,4-9,,4,1.0,0,0,0,0,0,P
148 (6),Sep 15,BOS,,BAL,L,3-8,,9,3.1,0,1,0,1,0,P
149,Sep 16 (1),BOS,,CLE,W,6-1,GF,4,1.0,0,0,0,0,0,P
155 (5),Sep 22,BOS,@,BAL,W,13-2,GF,3,1.0,0,0,0,0,0,P
159 (3),Sep 26,BOS,@,CHW,L,2-3,GF,6,2.0,0,0,0,0,0,P
