3 (2),Apr 18,BSN,@,PHI,L,0-4,GF,0,2.0,0,1,0,1,0,
5 (1),Apr 20,BSN,,BRO,W,8-0,CG,0,9.0,0,2,0,2,0,
9 (3),Apr 29,BSN,,PHI,L,2-5,GF,0,5.0,0,1,0,1,1,
12 (2),May 3,BSN,,PHI,L,0-3,GS,0,8.0,0,1,0,1,0,
24 (11),May 20,BSN,@,CIN,L,1-6,GF,0,2.0,0,0,0,0,0,
35 (10),May 31,BSN,@,BRO,L,2-3,CG,0,8.1,0,3,0,3,0,
51 (15),Jun 23,BSN,@,PHI,L,1-2,CG,0,10.1,1,3,0,4,0,
54 (2),Jun 26 (2),BSN,@,PHI,W,9-5,GF,0,1.0,0,1,0,1,0,
55,Jun 27,BSN,@,PHI,W,3-0,CG,0,9.0,1,4,0,5,0,
58 (2),Jun 30,BSN,,BRO,W,6-2,CG,0,9.0,2,7,0,9,0,
62 (3),Jul 5,BSN,,PHI,L,1-2,GS,0,8.0,0,3,0,3,0,
67 (4),Jul 11,BSN,@,PIT,L,2-3,GF,0,1.2,0,2,0,2,0,
68,Jul 12,BSN,@,PIT,W,6-5,,0,2.0,0,3,0,3,0,
71 (2),Jul 16,BSN,@,CIN,W,4-1,CG,0,9.0,0,2,0,2,0,
75 (3),Jul 20,BSN,@,STL,L,2-5,GS,0,1.2,0,0,0,0,0,
77 (1),Jul 22,BSN,@,STL,L,4-6,,0,4.2,0,2,0,2,0,
79 (1),Jul 25,BSN,,CHC,L,2-3,CG,0,11.0,1,2,0,3,0,
81 (1),Jul 27,BSN,,CHC,T,2-2,GF,0,2.0,0,0,0,0,0,
85 (3),Jul 31 (1),BSN,,STL,L,3-4,GS,0,7.0,1,1,0,2,0,
89 (3),Aug 3 (1),BSN,,CIN,L,1-3,CG,0,9.0,1,8,1,10,0,
94 (4),Aug 7 (1),BSN,,CIN,W,2-0,CG,0,9.0,1,3,0,4,0,
96 (1),Aug 11 (1),BSN,,PIT,L,1-2,GS,0,7.1,1,2,0,3,1,
102 (5),Aug 18,BSN,@,STL,L,3-4,GF,0,0.0,0,0,0,0,0,
103,Aug 19,BSN,@,STL,L,4-7,GF,0,3.0,0,1,0,1,0,
109 (5),Aug 26,BSN,@,CHC,W,8-3,GS,0,1.1,0,0,0,0,0,
110,Aug 27,BSN,@,CHC,L,1-5,GS,0,4.0,0,2,0,2,0,
116 (5),Aug 30 (2),BSN,@,PIT,L,6-7,GF,0,0.2,0,1,0,1,0,
123 (6),Sep 5 (1),BSN,,PHI,L,2-4,GS,0,8.0,1,1,0,2,0,
126 (2),Sep 7 (2),BSN,,PHI,L,0-2,GF,0,4.0,1,1,0,2,0,
129 (2),Sep 9,BSN,,BRO,L,0-5,GF,0,1.0,0,0,0,0,0,
134 (4),Sep 13 (2),BSN,,CHC,W,11-6,GS,0,0.2,0,1,1,2,0,
139 (4),Sep 20,BSN,,CIN,L,4-12,GF,0,1.0,0,1,0,1,0,
157 (17),Oct 4,BSN,@,PHI,L,5-7,GF,0,3.0,0,1,0,1,0,
