330,34 (33),May 15,DET,@,CLE,L,6-11,6-GF,2,2,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,4,.04,0.007,1.79,1B
331,35,May 16,DET,@,TOR,L,2-7,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,8,.11,0.005,0.28,PH
332,36,May 17,DET,@,TOR,W,13-6,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,1.000,1.000,2.000,3.000,1,,,,LF
333,38 (1),May 20,DET,,MIL,W,10-4,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,1.000,1.000,2.000,3.000,4,,,,PR 1B
334,39,May 21,DET,,MIL,W,7-6,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,1.000,1.000,2.000,3.000,4,,,,PR 1B
335,40,May 22,DET,,MIL,W,9-6,4-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.750,.750,1.500,2.250,4,.44,-0.012,-0.19,PR 1B
336,41,May 24,DET,,CAL,L,5-8,6-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.600,.600,1.200,1.800,9,1.85,-0.082,-0.61,PH
337,43 (1),May 26,DET,,CAL,L,5-7,6-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.600,.600,1.200,1.800,4,,,,1B
338,44,May 27,DET,@,MIN,L,2-5,8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.600,.600,1.200,1.800,8,,,,PR
339,47 (2),May 30,DET,@,BAL,W,5-3,11-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.600,.600,1.200,1.800,4,,,,PR 1B
340,49 (1),Jun 1,DET,@,BAL,W,11-3,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,1.000,1.500,4,.00,0.000,-0.27,1B
341,51 (1),Jun 3,DET,,MIN,W,9-8,GS-6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.875,1.375,9,1.19,0.006,0.01,DH
342,52,Jun 4,DET,,MIN,L,7-21,4-GF,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.417,.417,.667,1.083,1,.01,0.000,-1.04,LF
343,53,Jun 5,DET,,MIN,W,5-3,8-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.417,.417,.667,1.083,4,,0.000,0.00,PR 1B
344,54,Jun 6,DET,,BOS,W,11-5,7-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.385,.385,.615,1.000,4,.02,0.000,-0.39,PR 1B
345,56 (1),Jun 8,DET,,BOS,W,14-5,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.357,.357,.571,.929,4,.00,0.000,-0.55,1B
346,57,Jun 9,DET,@,CAL,W,7-4,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.533,.867,9,1.42,-0.042,-0.39,PH
347,58,Jun 10,DET,@,CAL,W,8-4,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.533,.867,4,.07,0.001,0.24,PR 1B
348,59,Jun 11,DET,@,CAL,W,11-5,9-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.533,.867,4,,0.000,0.00,PR 1B
349,60,Jun 12,DET,@,CAL,L,6-8,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.333,.333,.533,.867,6,,,,PR 1B
350,62 (1),Jun 15,DET,@,MIL,L,7-11,7-GF,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.294,.294,.471,.765,1,.87,-0.054,-1.06,PH LF
351,63,Jun 16,DET,@,MIL,L,4-5,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.300,.300,.450,.750,9,1.27,-0.123,-1.26,LF 1B
352,64,Jun 17,DET,,TOR,L,4-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.429,.714,9,1.07,-0.029,-0.27,PH
353,67 (2),Jun 20,DET,,CLE,L,1-7,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.286,.286,.429,.714,4,,,,1B
