709,1,Apr 14,BOS,@,WSH,W,4-3,7-GF,2,1,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,.000,.000,.000,.000,1,2.69,-0.092,-0.22,PH RF
710,2,Apr 15,BOS,,WSH,L,1-6,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.000,.000,.000,.000,4,,,,PH
711,4 (1),Apr 19 (1),BOS,,NYY,W,4-3,8-GF(15),3,3,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.000,.000,.000,.000,1,3.25,-0.236,-1.13,RF
712,5,Apr 19 (2),BOS,,NYY,W,7-2,CG,5,5,1,1,1,0,0,0,0,0,1,0,0,,0,,0,0,.100,.100,.200,.300,1,.40,-0.037,-0.18,RF
713,6,Apr 20,BOS,,PHA,L,3-5,CG,5,4,2,2,0,0,0,1,1,,1,0,0,,,,0,0,.214,.267,.286,.552,1,,,,RF
714,7,Apr 22,BOS,@,WSH,L,3-4,CG(12),5,4,0,0,0,0,0,0,0,,1,0,1,,,,0,0,.167,.211,.222,.433,1,,,,RF
715,12,Apr 29,WSH,,NYY,W,11-8,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.158,.200,.211,.411,9,,,,PH
716,19 (6),May 7,WSH,,DET,L,1-3,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,0,.150,.190,.200,.390,8,,,,PH
717,30 (10),May 18,WSH,,PHA,L,0-1,8-9,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.143,.182,.190,.372,9,2.53,-0.069,-0.28,PH
718,34 (3),May 22 (2),WSH,,BOS,W,13-1,0-GF,1,0,0,0,0,0,0,0,1,,0,0,0,,,,0,0,.143,.217,.190,.408,2,,,,RF
719,41 (6),May 31,WSH,@,PHA,L,3-7,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,.136,.208,.182,.390,9,.51,-0.015,-0.36,PH
