3 (2),Apr 20,BSN,@,NYG,L,8-10,GS,28,4.2,0,0,0,0,0,P
4,Apr 22,BSN,,PHI,L,2-3,,6,2.0,0,1,0,1,0,P
7 (2),Apr 25,BSN,,BRO,L,3-11,GS,39,8.1,0,2,1,3,0,P
10 (2),Apr 29,BSN,@,PHI,L,3-6,GS,30,5.2,0,3,0,3,1,P
14 (3),May 3,BSN,@,BRO,L,3-4,GF,3,0.1,0,0,0,0,0,P
15,May 4,BSN,,NYG,W,8-4,GF,13,3.2,0,0,0,0,0,P
17 (1),May 6,BSN,,NYG,W,4-1,CG,32,9.0,2,3,0,5,1,P
20 (2),May 10,BSN,@,PIT,L,2-4,GF,6,1.0,0,0,0,0,0,P
23 (2),May 13,BSN,@,PIT,W,16-2,CG,0,9.0,0,1,0,1,0,
28 (4),May 17,BSN,@,STL,W,5-1,CG,36,9.0,1,1,1,3,0,P
32 (3),May 21 (1),BSN,@,CHC,L,1-15,GS,0,0.1,0,0,0,0,0,
37 (4),May 27,BSN,,CHC,L,2-3,CG,38,9.0,0,2,0,2,0,P
42 (4),May 31,BSN,,STL,W,5-1,CG,34,9.0,0,3,0,3,0,P
47 (4),Jun 4 (2),BSN,,CIN,L,3-7,GS,23,4.2,0,1,1,2,0,P
52 (4),Jun 11 (2),BSN,@,BRO,W,8-5,GS,7,1.0,0,1,0,1,0,P
55 (2),Jun 15,BSN,@,PHI,L,4-5,GS,0,7.0,0,0,0,0,0,
63 (7),Jun 25 (1),BSN,@,NYG,W,5-1,CG,36,9.0,1,2,0,3,0,P
67 (3),Jun 30,BSN,@,CIN,L,2-3,CG,30,8.0,0,2,0,2,1,P
70 (2),Jul 2 (2),BSN,@,PIT,L,6-7,GF,0,3.0,0,0,0,0,0,
71,Jul 4 (1),BSN,@,CHC,L,1-7,GS,32,6.0,0,1,0,1,0,P
76 (4),Jul 8,BSN,@,STL,L,0-4,GS,25,6.0,0,3,0,3,0,P
81 (4),Jul 16 (2),BSN,,BRO,L,5-8,,0,1.1,0,0,0,0,0,
86 (4),Jul 22,BSN,,STL,W,6-5,GS,34,7.2,0,0,0,0,0,P
91 (4),Jul 26 (1),BSN,,CIN,W,9-2,CG,34,9.0,1,2,0,3,0,P
95 (3),Jul 30 (1),BSN,,PIT,W,6-4,GS,21,6.0,0,0,0,0,0,P
98 (2),Aug 1 susp,BSN,,PIT,L,8-13,,21,4.1,0,1,0,1,0,P
100 (1),Aug 5,BSN,@,BRO,L,7-8,GS,27,5.1,2,1,0,3,1,P
102 (1),Aug 6 (2),BSN,@,BRO,W,8-7,GF,7,1.2,0,0,0,0,0,P
104 (1),Aug 10,BSN,@,CIN,W,2-0,CG,29,9.0,2,2,0,4,0,P
106 (1),Aug 12,BSN,@,CIN,L,4-5,GF,8,1.1,0,0,0,0,0,P
109 (2),Aug 14,BSN,@,PIT,L,0-5,GS,0,5.2,1,0,0,1,0,
113 (3),Aug 18,BSN,@,CHC,L,3-5,GS,0,6.1,0,1,0,1,0,
119 (5),Aug 25 (1),BSN,,PHI,L,7-9,GS,29,6.0,1,4,0,5,1,P
123 (3),Aug 27 (1),BSN,,PHI,L,5-8,GF,0,1.2,0,2,0,2,0,
125 (1),Aug 29,BSN,,NYG,L,2-4,GF,9,2.0,0,2,0,2,0,P
127 (1),Sep 1 (1),BSN,@,PHI,W,3-2,GS,27,7.0,1,1,0,2,1,P
133 (5),Sep 4 (2),BSN,,BRO,L,4-6,GS,23,4.2,1,1,0,2,0,P
137 (3),Sep 14,BSN,@,BRO,L,4-5,GF,1,0.0,0,0,0,0,0,P
139 (1),Sep 16 (2),BSN,,BRO,W,4-2,CG,34,9.0,1,0,0,1,0,P
143 (3),Sep 21 (1),BSN,,STL,L,4-5,GS,31,7.0,0,3,0,3,1,P
149 (5),Sep 25,BSN,,PIT,W,5-4,CG,0,13.0,1,2,0,3,0,
154 (4),Oct 1 (1),BSN,,CHC,L,3-4,GS,0,7.0,0,2,0,2,0,
