3 (2),Apr 7,SFG,,HOU,W,8-4,GF,15,4.0,0,1,0,1,0,P
7 (3),Apr 12,SFG,@,SDP,L,2-3,,2,0.2,0,0,0,0,0,P
8,Apr 13,SFG,@,SDP,W,3-2,,7,2.0,0,0,0,0,0,P
9,Apr 14,SFG,@,SDP,L,5-6,GF,7,1.0,0,1,0,1,0,P
11 (1),Apr 16,SFG,@,HOU,L,0-4,GF,11,2.2,0,0,0,0,0,P
14 (2),Apr 19,SFG,@,LAD,W,5-4,,7,2.0,0,0,0,0,0,P
16 (1),Apr 21,SFG,@,LAD,W,6-4,,5,0.2,0,0,0,0,0,P
17,Apr 23,SFG,,MON,L,4-8,,5,1.1,0,0,0,0,0,P
19 (1),Apr 26,SFG,,NYM,L,0-6,,13,3.2,0,0,0,0,0,P
21 (1),Apr 28 (1),SFG,,NYM,L,0-6,GF,12,3.0,0,1,0,1,0,P
23 (1),Apr 30,SFG,,PHI,L,5-6,,9,2.2,0,1,1,2,0,P
25 (1),May 4,SFG,@,MON,L,2-4,,1,0.1,0,0,0,0,0,P
29 (3),May 7 (2),SFG,@,NYM,W,3-0,GS,30,8.1,0,5,0,5,1,P
34 (4),May 12 (2),SFG,@,ATL,W,6-2,GS,29,6.2,0,1,0,1,0,P
39 (4),May 18,SFG,,SDP,W,4-2,GS,28,7.0,1,1,0,2,0,P
44 (4),May 22,SFG,,ATL,L,2-6,GS,26,6.0,1,0,0,1,0,P
48 (3),May 26,SFG,,LAD,L,5-9,GS,18,2.2,0,0,0,0,0,P
53 (4),Jun 1,SFG,@,PHI,L,2-6,,6,1.0,0,0,0,0,0,P
56 (2),Jun 5,SFG,,STL,L,1-4,,7,2.0,0,0,0,0,0,P
57,Jun 6,SFG,,STL,W,9-5,,13,3.2,0,0,0,0,0,P
60 (2),Jun 9,SFG,,PIT,L,1-14,,14,3.2,0,1,0,1,0,P
63 (2),Jun 13,SFG,,CHC,W,1-0,CG,34,9.0,0,0,0,0,0,P
67 (3),Jun 17,SFG,@,STL,W,3-0,CG,38,9.0,2,4,0,6,0,P
71 (3),Jun 22,SFG,@,LAD,L,2-3,GS,31,8.1,1,2,0,3,0,P
75 (3),Jun 26,SFG,@,SDP,L,0-4,GS,30,7.0,1,0,0,1,0,P
79 (3),Jun 30,SFG,,LAD,L,3-5,GS,26,7.0,0,1,0,1,0,P
83 (3),Jul 5,SFG,@,NYM,L,2-3,GS,27,6.0,0,0,0,0,0,P
88 (4),Jul 10,SFG,@,MON,W,4-2,CG,36,9.0,0,2,0,2,0,P
93 (4),Jul 16,SFG,,NYM,W,9-4,CG,38,9.0,1,1,0,2,0,P
97 (3),Jul 21 (1),SFG,,MON,W,4-0,CG,31,9.0,2,5,0,7,2,P
101 (3),Jul 26,SFG,@,CIN,W,5-4,GS,25,5.0,0,1,0,1,0,P
105 (3),Jul 30,SFG,@,ATL,W,6-3,GS,29,7.2,0,1,1,2,0,P
109 (3),Aug 3,SFG,,ATL,W,3-1,CG,29,9.0,0,2,0,2,0,P
114 (4),Aug 9,SFG,@,CHC,W,3-0,CG,33,9.0,0,2,0,2,1,P
118 (3),Aug 13,SFG,@,PHI,L,5-6,GS,22,5.0,0,0,0,0,0,P
126 (7),Aug 23,SFG,,CHC,L,0-1,GS,26,7.0,1,3,0,4,0,P
130 (3),Aug 28,SFG,,PIT,L,1-3,CG,44,11.0,1,4,0,5,0,P
135 (4),Sep 2,SFG,@,LAD,W,5-3,CG,34,9.0,1,1,0,2,0,P
139 (3),Sep 7,SFG,@,ATL,W,6-0,CG,33,9.0,1,1,1,3,0,P
144 (4),Sep 12,SFG,,LAD,L,0-11,GS,18,3.0,0,0,0,0,0,P
149 (4),Sep 16,SFG,,ATL,W,4-2,CG,35,9.0,2,0,0,2,0,P
154 (4),Sep 21,SFG,,CIN,W,8-6,GS,36,8.1,0,1,0,1,0,P
158 (3),Sep 27,SFG,@,CIN,L,3-4,GS,27,6.1,0,2,0,2,0,P
161 (2),Oct 1,SFG,,SDP,W,7-2,GF,12,3.0,0,0,0,0,0,P
