1,Apr 6,TBR,,BAL,W,4-3,CG,40,9.0,1,1,0,2,0,SS
2,Apr 7,TBR,,BAL,W,4-3,CG,37,9.0,1,2,0,3,0,SS
3,Apr 8,TBR,,BAL,L,4-5,CG,40,9.0,0,1,0,1,0,SS
4,Apr 9,TBR,,NYY,W,9-3,CG,38,9.0,1,1,0,2,0,SS
5,Apr 10,TBR,,NYY,L,0-10,CG,45,9.0,2,3,0,5,1,SS
6,Apr 11,TBR,,NYY,L,3-7,CG,40,9.0,1,0,0,1,0,SS
7,Apr 12,TBR,@,BAL,W,5-1,CG,34,9.0,2,2,0,4,1,SS
8,Apr 13,TBR,@,BAL,W,8-6,CG,45,10.0,3,2,1,6,1,SS
10 (1),Apr 16 susp,TBR,@,BOS,W,3-1,CG,46,12.0,1,2,0,3,0,SS
11,Apr 17,TBR,@,BOS,W,6-5,CG,40,9.0,0,3,0,3,0,SS
12,Apr 18,TBR,@,BOS,W,7-1,CG,30,9.0,1,2,0,3,1,SS
13,Apr 19,TBR,@,BOS,W,8-2,CG,34,9.0,0,3,0,3,0,SS
14,Apr 20,TBR,@,CHW,L,1-4,CG,34,8.0,1,3,1,5,0,SS
15,Apr 21,TBR,@,CHW,W,12-0,CG,34,9.0,1,4,1,6,1,SS
16,Apr 22,TBR,@,CHW,W,10-2,GS,30,7.0,1,2,0,3,0,SS
17,Apr 23,TBR,,TOR,L,5-6,CG,44,9.0,0,3,0,3,0,SS
18,Apr 24,TBR,,TOR,W,9-3,CG,36,9.0,2,2,0,4,0,SS
20 (1),Apr 27,TBR,,OAK,W,8-6,CG,41,9.0,2,2,0,4,0,SS
21,Apr 28,TBR,,OAK,W,10-3,GS,29,7.0,0,2,1,3,0,SS
22,Apr 29,TBR,,KCR,W,11-1,CG,35,9.0,0,2,0,2,1,SS
23,Apr 30,TBR,,KCR,L,2-3,CG,35,9.0,2,4,0,6,2,SS
24,May 1,TBR,,KCR,L,2-4,CG,43,11.0,4,2,0,6,1,SS
25,May 2,TBR,,KCR,W,1-0,CG,33,9.0,1,4,0,5,1,SS
27 (1),May 5,TBR,@,SEA,W,8-3,CG,36,9.0,0,5,0,5,0,SS
28,May 6,TBR,@,SEA,W,8-0,CG,32,9.0,0,4,0,4,1,SS
29,May 7,TBR,@,OAK,W,4-1,CG,33,9.0,2,1,1,4,0,SS
30,May 8,TBR,@,OAK,L,2-4,CG,34,8.0,3,0,0,3,1,SS
31,May 9,TBR,@,OAK,L,0-4,CG,38,8.0,0,1,0,1,0,SS
32,May 10,TBR,@,LAA,L,4-5,CG,42,10.2,2,2,0,4,1,SS
33,May 11,TBR,@,LAA,W,7-2,CG,37,9.0,2,2,0,4,0,SS
