203,1,Apr 12,HOU,,PHI,L,0-2,CG,3,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.500,.500,.500,1.000,8,1.82,-0.017,-0.04,C
204,3 (1),Apr 15,HOU,@,NYM,L,4-5,GS-10,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,.500,.500,.667,1.167,8,2.11,0.043,0.29,C
205,5 (1),Apr 18 (1),HOU,@,PIT,W,3-1,CG,4,4,2,2,0,0,2,3,0,0,1,0,0,0,0,1,0,0,.500,.500,1.200,1.700,7,.93,0.213,1.89,C
206,6,Apr 18 (2),HOU,@,PIT,L,4-5,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.455,.455,1.091,1.545,9,2.00,-0.048,-0.14,PH
207,7,Apr 19,HOU,@,PHI,L,0-8,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.400,.867,1.267,7,.74,-0.020,-0.16,C
208,9 (1),Apr 21,HOU,@,PHI,W,11-4,CG,5,4,1,2,0,0,1,3,0,0,1,0,0,1,0,0,0,0,.421,.400,.947,1.347,7,1.06,0.144,1.40,C
209,10,Apr 23,HOU,,PIT,W,4-3,CG(12),6,5,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.375,.385,.792,1.176,7,1.52,-0.073,-0.31,C
210,11,Apr 24,HOU,,PIT,W,5-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.321,.333,.679,1.012,7,.73,-0.069,-1.02,C
211,12,Apr 25,HOU,,PIT,W,5-4,GS-10,4,3,1,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,.355,.382,.774,1.157,7,1.25,0.148,1.24,C
212,13,Apr 26,HOU,,PIT,W,2-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.324,.351,.706,1.057,7,1.00,0.018,0.44,C
213,14,Apr 27,HOU,,NYM,W,3-2,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.324,.350,.676,1.026,7,1.21,0.049,0.21,C
214,15,Apr 28,HOU,,NYM,W,12-9,CG,5,5,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,.357,.378,.690,1.068,7,1.20,0.164,1.20,C
