1,Apr 5,ARI,@,LAD,L,6-8,CG,49,10.2,1,2,0,3,1,SS
2,Apr 6,ARI,@,LAD,L,2-3,CG,39,9.1,2,4,0,6,1,SS
3,Apr 7,ARI,@,LAD,L,4-6,CG,36,8.0,3,4,0,7,1,SS
4,Apr 9,ARI,@,ATL,L,2-3,CG,42,9.1,1,1,1,3,1,SS
5,Apr 10,ARI,@,ATL,W,8-3,CG,34,9.0,1,3,0,4,1,SS
6,Apr 11,ARI,@,ATL,L,2-3,CG,33,8.1,0,5,0,5,0,SS
7,Apr 12,ARI,,LAD,W,12-6,CG,43,9.0,1,2,0,3,0,SS
8,Apr 13,ARI,,LAD,W,7-6,GF,34,8.1,0,4,0,4,0,SS
9,Apr 14,ARI,,LAD,W,6-2,CG,36,9.0,2,1,0,3,0,SS
11 (1),Apr 16,ARI,,SFG,W,10-4,CG,39,9.0,4,4,0,8,1,SS
12,Apr 17,ARI,,SFG,L,5-8,CG,45,9.0,2,5,0,7,1,SS
13,Apr 18,ARI,,SFG,W,12-3,CG,37,9.0,2,2,0,4,1,SS
14,Apr 19,ARI,,PHI,W,3-2,CG,31,9.0,2,2,0,4,0,SS
15,Apr 20,ARI,,PHI,W,8-1,CG,36,9.0,0,3,0,3,0,SS
17 (1),Apr 23,ARI,@,SDP,W,10-6,CG,40,9.0,4,5,0,9,1,SS
18,Apr 24,ARI,@,SDP,L,2-7,CG,40,8.0,0,4,0,4,0,SS
19,Apr 25,ARI,@,SDP,W,5-3,CG,43,11.0,2,3,0,5,0,SS
20,Apr 26,ARI,@,HOU,L,2-5,CG,36,8.0,2,4,1,7,0,SS
22 (1),Apr 28,ARI,@,HOU,W,10-6,CG,40,9.0,0,3,0,3,0,SS
23,Apr 29,ARI,@,HOU,L,2-5,CG,35,8.0,2,2,0,4,0,SS
24,Apr 30,ARI,@,MIL,W,3-2,CG,35,9.0,2,7,0,9,1,SS
25,May 1,ARI,@,MIL,W,5-3,CG,38,9.0,1,3,0,4,0,SS
26,May 2,ARI,@,MIL,L,5-6,CG,41,8.0,1,1,0,2,0,SS
27,May 3,ARI,@,CIN,L,3-4,CG,38,8.1,1,5,0,6,1,SS
28,May 4,ARI,@,CIN,L,4-6,GF,3,1.0,0,0,0,0,0,PH SS
29,May 5,ARI,@,CIN,W,5-1,CG,31,9.0,1,4,0,5,0,SS
30,May 7,ARI,,NYM,W,14-7,CG,43,9.0,0,1,0,1,0,SS
31,May 8,ARI,,NYM,L,2-4,CG,39,9.0,2,2,0,4,1,SS
32,May 9,ARI,,NYM,W,11-6,GS,28,5.2,2,3,1,6,3,SS
33,May 10,ARI,,MON,W,7-6,CG,41,9.0,0,3,0,3,0,SS
34,May 11,ARI,,MON,W,4-3,GF,11,3.0,1,0,0,1,0,PH SS
36 (1),May 14,ARI,,COL,L,1-4,CG,39,9.0,1,3,0,4,0,SS
38 (1),May 16,ARI,,COL,L,1-5,CG,40,9.0,1,5,0,6,1,SS
39,May 17,ARI,@,SFG,W,12-1,CG,34,9.0,1,4,0,5,1,SS
41 (1),May 19,ARI,@,SFG,L,3-8,CG,38,8.0,3,5,0,8,4,SS
43 (1),May 21,ARI,@,COL,L,7-8,GS,35,7.0,1,5,0,6,1,SS
44,May 22,ARI,@,COL,W,8-3,CG,36,9.0,3,4,1,8,2,SS
47 (2),May 25,ARI,,SDP,W,4-0,CG,31,9.0,2,3,0,5,1,SS
50 (2),May 29,ARI,@,NYM,W,8-7,CG,40,9.0,2,3,0,5,1,SS
53 (2),Jun 1,ARI,@,MON,L,8-10,CG,39,8.0,0,2,0,2,0,SS
54,Jun 2,ARI,@,MON,W,15-2,GF,5,1.0,0,1,0,1,0,PH SS
60 (5),Jun 9,ARI,,CHC,W,8-7,CG,42,9.0,4,2,0,6,1,SS
61,Jun 11,ARI,@,ANA,W,12-2,GF,6,1.0,0,1,0,1,0,SS
65,Jun 15,TOR,,ANA,W,13-2,CG,34,9.0,3,5,0,8,2,SS
66,Jun 16,TOR,,ANA,W,3-2,CG,34,9.0,1,3,0,4,2,SS
