1,Apr 15,PHA,@,WSH,L,0-4,GF,0,1.0,0,1,0,1,0,
3 (1),Apr 17,PHA,@,WSH,W,4-3,,0,3.1,0,0,0,0,0,
11 (7),Apr 28,PHA,,NYY,L,6-11,GF,0,3.0,0,0,0,0,0,
12,May 1,PHA,,BOS,L,1-5,,0,2.0,0,1,0,1,0,
16 (3),May 5,PHA,@,NYY,L,5-10,,0,6.0,0,3,0,3,0,
22 (5),May 14,PHA,,DET,W,5-4,GF,0,6.0,1,2,1,4,0,
25 (2),May 17,PHA,,DET,L,6-9,GF,0,0.2,0,1,0,1,0,
34 (8),May 30 (2),PHA,@,NYY,W,5-4,GF,0,3.0,1,1,0,2,0,
37 (2),Jun 2,PHA,,WSH,L,3-8,,0,2.2,0,1,0,1,0,
40 (2),Jun 6,PHA,@,CLE,W,11-7,GF,0,3.0,0,0,0,0,0,
41,Jun 7,PHA,@,DET,L,10-11,GF,0,2.1,0,0,0,0,0,
44 (2),Jun 10,PHA,@,DET,W,4-3,GF,0,1.0,0,0,0,0,0,
47 (2),Jun 13,PHA,@,CHW,W,7-6,GF,0,0.1,0,0,0,0,0,
49 (1),Jun 15,PHA,@,SLB,L,8-9,,0,1.2,0,0,0,0,0,
53 (3),Jun 21,PHA,,WSH,L,3-11,GF,0,1.0,0,0,0,0,0,
59 (5),Jun 26 (1),PHA,@,WSH,L,0-5,CG,0,8.0,0,3,0,3,0,
63 (3),Jun 30 (1),PHA,,NYY,L,4-10,GF,0,6.0,1,1,0,2,0,
69 (5),Jul 4 (1),PHA,,BOS,W,8-3,CG,0,9.0,1,2,0,3,0,
76 (6),Jul 9 (1),PHA,,CLE,L,1-3,CG,0,9.0,0,2,1,3,0,
81 (4),Jul 14,PHA,,DET,W,5-4,,0,6.2,0,1,0,1,0,
86 (4),Jul 18,PHA,,CHW,W,4-3,CG,0,9.0,1,3,0,4,0,
92 (5),Jul 24,PHA,,SLB,W,5-0,CG,0,9.0,0,1,0,1,0,
96 (3),Jul 29,PHA,@,DET,L,3-4,CG,0,10.2,0,3,0,3,0,
101 (4),Aug 2,PHA,@,CLE,W,12-4,CG,0,9.0,1,0,0,1,0,
106 (4),Aug 7 (2),PHA,@,SLB,W,2-1,CG,0,9.0,1,2,0,3,1,
109 (2),Aug 10,PHA,@,SLB,L,8-10,,0,0.0,0,0,0,0,0,
111 (1),Aug 13 (2),PHA,,DET,W,8-7,GS,0,5.2,0,0,0,0,0,
117 (5),Aug 19,PHA,,CLE,W,5-3,CG,0,9.0,0,1,0,1,0,
121 (3),Aug 23,PHA,,SLB,W,4-2,CG,0,9.0,0,0,0,0,0,
124 (2),Aug 27 (2),PHA,,CHW,W,9-1,CG,0,9.0,0,1,0,1,0,
130 (5),Sep 1 (1),PHA,@,WSH,L,3-5,GS,0,7.0,1,0,1,2,0,
135 (4),Sep 8,PHA,,WSH,L,4-8,GS,0,2.0,0,0,0,0,0,
139 (3),Sep 13,PHA,@,CLE,W,5-3,GS,0,4.0,1,1,0,2,0,
142 (2),Sep 17,PHA,@,DET,W,9-8,GF,0,1.0,0,2,0,2,0,
146 (3),Sep 21 (1),PHA,@,CHW,W,4-1,CG,0,9.0,1,0,0,1,0,
150 (3),Sep 24,PHA,@,SLB,W,4-2,,0,3.0,0,1,0,1,0,
