29,4,Apr 9,ATL,@,HOU,L,3-8,GS-5,L(0-1),99,5.0,4,4,1,3,3,0,0,1.80,23,98,60,16,5,13,4,0,0,0,49,,,0,0,0,20,2,0,0,1,0,2,.97,-0.222,-1.62, 1b start tie, 5b 3 out d1
30,9,Apr 15,ATL,,MIL,W,7-4,GS-7,W(1-1),5,7.0,3,1,0,2,6,0,0,0.75,26,103,68,16,10,8,10,1,1,0,73,,,0,0,0,24,0,0,0,1,0,1,.94,0.180,2.40, 1t start tie, 7t 3 out a4
31,14,Apr 20,ATL,@,ARI,W,9-1,GS-8,W(2-1),4,7.1,4,0,0,1,5,0,0,0.47,25,111,75,19,8,7,12,3,3,0,74,,,0,1,0,24,0,0,0,1,0,0,.58,0.284,3.02, 1b start tie, 8b 12- 1 out a7
32,19,Apr 25,ATL,@,LAD,W,4-2,GS-7,,4,6.1,7,2,2,1,6,1,0,1.05,28,109,74,23,10,9,12,4,1,0,56,,,2,0,0,26,1,0,0,0,0,0,1.25,-0.025,0.71, 1b start tie, 7b 1-- 1 out d1
33,24,May 1,ATL,,PHI,L,2-4,GS-7,,5,7.0,5,2,2,0,2,0,0,1.38,25,104,66,19,4,8,15,5,1,0,61,,,0,1,0,25,2,0,0,0,0,0,.97,0.145,1.40, 1t start tie, 7t 3 out tie
34,29,May 6,ATL,@,COL,W,7-2,GS-7,W(3-1),4,6.1,4,2,2,3,5,0,0,1.62,26,109,70,26,9,7,11,3,0,0,59,,,1,0,0,23,0,0,0,0,0,0,.73,0.174,1.26, 1b start tie, 7b 123 1 out a5
35,34,May 12,ATL,@,STL,W,7-2,GS-6,W(4-1),5,6.0,2,1,1,4,6,0,0,1.60,23,98,56,18,8,5,8,1,2,0,66,,,0,0,0,18,0,0,0,1,1,0,.87,0.213,1.79, 1b start a 2, 6b 3 out a4
36,39,May 17,ATL,,MIA,W,7-0,SHO,W(5-1),4,9.0,5,0,0,0,6,0,0,1.33,32,122,80,24,7,12,14,6,1,0,83,,,0,0,0,32,1,0,0,0,0,0,.56,0.248,4.37, 1t start tie, 9t 3 out a7
37,44,May 22,ATL,@,CIN,L,3-4,GS-7,L(5-2),4,7.0,6,4,4,1,5,3,0,1.77,27,92,61,19,11,9,12,1,3,0,53,,,2,1,0,26,0,0,0,0,0,0,.61,-0.167,-0.54, 1b start a 1, 7b 3 out d2
38,49,May 27,ATL,,WSN,L,2-7,GS-6,L(5-3),4,5.0,3,3,1,4,7,0,1,1.77,24,105,57,14,11,4,8,4,0,0,56,,,0,0,0,18,1,0,0,0,1,1,1.37,-0.010,0.05, 1t start tie, 6t 1-- 0 out tie
39,53,Jun 2,ATL,@,WSN,L,0-2,GS-7,L(5-4),5,6.1,3,2,2,4,6,1,0,1.87,25,115,73,15,12,6,9,4,0,0,61,,,0,0,0,21,0,0,0,0,0,0,.79,0.152,1.85, 1b start tie, 7b 1-- 1 out d1
40,58,Jun 8,ATL,,TOR,W,4-3,GS-6,,5,5.0,3,2,2,5,6,1,0,1.98,23,108,62,14,8,4,8,3,0,0,54,,,1,0,0,18,0,0,1,0,0,0,1.08,-0.015,0.44, 1t start tie, 6t 12- 0 out tie
41,65,Jun 16,ATL,,BAL,L,0-5,GS-4,L(5-5),7,3.2,0,1,1,1,5,0,0,2.00,12,57,40,12,9,2,4,0,1,0,61,,,0,0,0,11,0,0,0,0,0,0,.70,0.183,1.72, 1t start tie, 4t 1-- 2 out tie
