1,6 (5),Apr 17,CLE,@,CHW,L,1-2,0-0,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.000,.000,.000,.000,9,PH
2,25 (18),May 12,CLE,,NYY,L,3-4,0-GF,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,,.000,.000,.000,.000,9,PH
3,26,May 13,CLE,,NYY,L,5-8,0-GF,1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,,.000,.000,.000,.000,9,PH
4,29 (2),May 16,CLE,,PHA,L,5-8,0-GF,1,1,0,1,0,0,0,0,0,,0,0,0,,,,0,,.250,.250,.250,.500,9,PH
5,31 (1),May 18,CLE,,PHA,L,2-4,0-GF,1,1,0,0,0,0,0,0,0,,1,0,0,,,,0,,.200,.200,.200,.400,9,PH
6,33 (1),May 20,CLE,,WSH,W,10-9,0-0,1,1,0,0,0,0,0,1,0,,0,0,0,,,,0,,.167,.167,.167,.333,9,PH
7,65,Jun 24,CHW,,SLB,L,0-8,0-GF,3,3,0,1,0,0,0,0,0,,0,0,0,,,,0,,.222,.222,.222,.444,6,CF
8,66,Jun 25,CHW,,SLB,W,4-1,CG,4,4,1,2,0,0,0,0,0,,0,0,0,,,,0,,.308,.308,.308,.615,1,CF
9,68 (1),Jun 27,CHW,,CLE,W,3-2,GS-0,4,3,1,2,0,0,0,0,1,,0,0,0,,,,0,,.375,.412,.375,.787,1,CF
10,70 (1),Jun 29,CHW,,CLE,W,2-1,CG,4,4,0,1,0,0,0,0,0,,1,0,0,,,,0,,.350,.381,.350,.731,1,CF
11,71,Jun 30,CHW,@,DET,W,6-4,CG,5,3,1,1,0,0,1,2,2,,1,0,0,,,,0,,.348,.423,.478,.901,1,CF
12,72,Jul 1,CHW,@,DET,W,3-2,CG,4,3,0,1,0,0,0,0,0,,0,1,0,,,,0,,.346,.433,.462,.895,1,CF
13,73,Jul 2,CHW,@,DET,L,5-7,CG,4,4,1,0,0,0,0,0,0,,0,0,0,,,,0,,.300,.382,.400,.782,1,CF
14,74,Jul 3,CHW,@,SLB,W,4-3,CG(10),5,4,2,2,0,1,0,0,1,,0,0,0,,,,0,,.324,.410,.471,.881,1,CF
15,75,Jul 4 (1),CHW,@,SLB,L,1-6,CG,4,4,0,2,0,0,0,0,0,,0,0,0,,,,0,,.342,.419,.474,.892,1,CF
16,76,Jul 4 (2),CHW,@,SLB,W,2-1,GS-0,4,3,0,1,0,0,0,0,1,,0,0,0,,,,0,,.341,.426,.463,.889,1,CF
17,78 (1),Jul 6 (1),CHW,@,CLE,L,2-6,CG,5,5,0,0,0,0,0,0,0,,1,0,0,,,,0,,.304,.385,.413,.798,1,CF
18,80 (1),Jul 9,CHW,,NYY,W,2-0,CG,4,4,0,0,0,0,0,0,0,,1,0,0,,,,0,,.280,.357,.380,.737,1,CF
19,81,Jul 10,CHW,,NYY,L,1-2,CG,4,3,0,0,0,0,0,0,1,,0,0,0,,,,0,,.264,.350,.358,.708,1,CF
20,82,Jul 11,CHW,,NYY,L,1-11,CG,4,4,0,1,0,0,0,0,0,,0,0,0,,,,0,,.263,.344,.351,.695,1,CF
21,83,Jul 12 (1),CHW,,BOS,W,7-2,CG,4,3,3,2,0,0,1,1,1,,0,0,0,,,,0,,.283,.368,.417,.784,1,CF
22,84,Jul 12 (2),CHW,,BOS,L,0-9,CG,4,3,0,0,0,0,0,0,1,,2,0,0,,,,0,,.270,.361,.397,.758,1,CF
23,85,Jul 13,CHW,,BOS,W,3-2,CG,4,3,1,0,0,0,0,0,1,,1,0,0,,,,0,,.258,.355,.379,.734,1,CF
