138,91 (90),Jul 24,CHW,@,NYY,W,7-2,2-8,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,4,.42,-0.019,-0.60,RF
139,92,Jul 25,CHW,@,NYY,W,6-2,CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.000,.143,.000,.143,1,.58,-0.065,-0.58,RF
140,93,Jul 26 (1),CHW,@,BAL,L,2-5,CG,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.000,.091,.000,.091,1,.46,-0.045,-0.39,RF
141,94,Jul 26 (2),CHW,@,BAL,W,1-0,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.091,.000,.091,5,,,,RF
142,95,Jul 27,CHW,@,BAL,L,2-5,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.083,.000,.083,7,.66,-0.016,-0.21,PH
143,96,Jul 28,CHW,@,BAL,W,4-3,7-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.077,.000,.077,3,.29,-0.007,-0.09,RF
144,97,Jul 29,CHW,@,BAL,W,5-0,CG,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.000,.167,.000,.167,1,.80,-0.006,0.00,RF
145,98,Jul 30,CHW,@,WSH,W,7-1,CG,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.000,.217,.000,.217,1,.64,-0.060,-0.29,RF
146,99,Jul 31,CHW,@,WSH,W,6-5,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.179,.000,.179,1,.64,-0.080,-1.10,RF
147,100,Aug 1,CHW,@,WSH,L,4-5,7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.179,.000,.179,8,,,,PR
148,101,Aug 2,CHW,@,BOS,L,4-5,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.172,.000,.172,8,2.35,-0.054,-0.36,PH
149,107 (5),Aug 9,CHW,,DET,W,5-4,9-10,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.172,.000,.172,9,4.87,0.133,0.26,PR
150,110 (2),Aug 11 (2),CHW,,DET,W,11-2,7-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.040,.200,.040,.240,5,.01,0.000,1.00,CF
151,117 (6),Aug 18 (2),CHW,@,DET,W,4-1,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,.034,.200,.034,.234,1,.72,-0.085,-1.67,RF
152,118,Aug 20 (1),CHW,,WSH,L,4-5,CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.061,.225,.061,.286,1,1.48,0.209,1.29,RF
153,120 (1),Aug 21,CHW,,WSH,W,12-6,6-GF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.059,.220,.059,.278,5,.04,-0.001,-0.42,PR CF
154,125 (4),Aug 27,CHW,,NYY,L,6-12,6-GF,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.083,.233,.083,.316,9,3.23,-0.043,-0.19,PH RF
155,126,Aug 28,CHW,,NYY,L,4-5,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.083,.233,.083,.316,5,,,,PR
156,127,Aug 29,CHW,,NYY,L,1-2,10-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.083,.233,.083,.316,7,,,,PR RF
157,128,Aug 30,CHW,@,KCA,L,1-3,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.083,.233,.083,.316,9,,,,PR
158,132 (3),Sep 2 (2),CHW,@,DET,L,4-5,7-7,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.108,.250,.108,.358,3,1.00,0.058,0.87,PH
159,136 (3),Sep 8,CHW,,KCA,L,2-3,8-9,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.108,.250,.108,.358,8,,0.000,0.00,PR
160,137,Sep 10,CHW,@,BOS,L,4-7,9-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.108,.250,.108,.358,9,1.09,-0.009,0.54,PR
161,138,Sep 11,CHW,@,BOS,W,4-1,11-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.108,.250,.108,.358,7,,,,CF
162,139,Sep 12,CHW,@,BOS,W,7-1,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.105,.244,.105,.350,5,.04,-0.001,-0.91,RF
163,143 (3),Sep 17,CHW,@,BAL,L,5-7,9-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.105,.244,.105,.350,7,,,,PR
164,144,Sep 18,CHW,@,BAL,W,7-5,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.105,.244,.105,.350,7,,,,RF
165,145,Sep 19,CHW,@,WSH,W,7-3,CG(13),7,5,2,3,0,0,0,1,2,1,0,0,0,0,0,0,1,1,.163,.308,.163,.470,7,1.91,0.132,1.86,RF
