6 (5),Apr 12,STL,,HOU,W,5-4,GS,39,8.0,7,2,0,9,1,1B
7,Apr 13,STL,,HOU,L,4-8,GS,32,8.0,12,2,0,14,0,1B
8,Apr 14,STL,@,LAD,W,7-1,GS,29,7.0,7,1,0,8,0,1B
9,Apr 15,STL,@,LAD,L,1-2,CG,37,8.1,10,0,0,10,0,1B
10,Apr 16,STL,@,SDP,W,7-1,GS,25,6.0,4,0,0,4,0,1B
13 (2),Apr 19,STL,@,SFG,L,2-4,GF,9,2.0,1,0,0,1,0,PH 1B
19 (5),Apr 25,STL,,PHI,W,5-4,CG,38,9.0,10,0,0,10,0,1B
21 (1),Apr 27,STL,,NYM,L,1-2,CG,37,9.0,12,0,0,12,0,1B
28 (6),May 4,STL,@,PHI,W,7-3,CG,36,9.0,10,0,0,10,1,1B
31 (2),May 9,STL,@,NYM,L,5-9,CG,40,8.0,8,1,1,10,3,1B
35 (3),May 15,STL,@,HOU,W,6-5,GS,33,8.0,10,1,0,11,1,1B
38 (2),May 19,STL,,LAD,L,5-6,CG,39,9.0,7,0,1,8,0,1B
40 (1),May 21,STL,,SDP,W,15-8,GS,30,5.0,6,0,1,7,0,1B
41,May 22,STL,,SDP,W,7-4,GS,20,6.0,5,0,0,5,0,1B
45 (3),May 26,STL,,CHC,W,9-4,GS,39,8.0,5,0,0,5,0,1B
48 (2),May 29,STL,,ATL,W,8-7,GF,11,2.0,1,1,0,2,1,PH 1B
50 (1),May 31,STL,,ATL,W,3-2,CG,34,9.0,12,0,0,12,3,1B
52 (1),Jun 2,STL,@,PIT,L,1-10,CG,43,8.0,2,0,0,2,0,1B
54 (1),Jun 4,STL,@,CIN,L,0-12,CG,43,8.0,8,0,0,8,2,1B
56 (1),Jun 6,STL,@,CIN,L,2-4,CG,33,8.0,9,0,0,9,2,1B
58 (1),Jun 8,STL,@,ATL,L,7-8,GF,8,1.2,0,0,0,0,0,PH 1B
62 (3),Jun 12,STL,,PIT,L,3-4,GF,8,2.0,1,0,0,1,0,PH 1B
63,Jun 13,STL,,PIT,L,4-8,GS,31,7.0,6,0,0,6,0,1B
64,Jun 14,STL,,CIN,L,2-7,CG,40,9.0,12,0,0,12,1,1B
65,Jun 15,STL,,CIN,W,6-1,GS,20,6.0,3,0,0,3,0,1B
66,Jun 16,STL,,CIN,L,0-1,CG,38,9.0,15,0,0,15,0,1B
70 (3),Jun 20,STL,@,CHC,W,5-4,GS,34,7.0,9,0,0,9,2,1B
71,Jun 21,STL,@,LAD,L,0-4,CG,33,8.0,13,1,1,15,0,1B
72,Jun 22,STL,@,LAD,W,6-5,GS,17,4.0,2,0,0,2,0,1B
74 (1),Jun 24,STL,@,LAD,L,4-11,GS,27,4.0,6,0,0,6,1,1B
76 (1),Jun 26,STL,,CHC,L,1-5,CG,41,9.0,9,2,0,11,0,1B
79 (2),Jun 29,STL,,PIT,W,8-3,GS,12,3.0,1,0,0,1,0,1B
80,Jul 1,STL,@,SFG,L,7-8,GS,26,5.0,7,1,0,8,2,1B
87 (6),Jul 9 (2),STL,,HOU,W,9-5,CG,41,9.0,16,0,0,16,1,1B
95 (7),Jul 19,STL,,NYM,L,2-5,CG,41,9.0,4,2,0,6,2,1B
105 (9),Jul 28,STL,@,NYM,W,6-3,GS,6,2.0,2,1,0,3,1,1B
107 (1),Jul 30,STL,@,PHI,W,4-3,GS,26,6.0,8,1,0,9,1,1B
109 (1),Aug 1 susp,STL,@,PHI,W,9-6,GS,38,9.0,5,0,0,5,0,1B
110,Aug 2,STL,,SDP,W,3-1,,18,5.0,7,0,0,7,0,PR 1B
114 (3),Aug 6,STL,,SFG,W,12-8,GS,25,5.0,6,1,0,7,0,1B
115,Aug 7,STL,,LAD,W,3-2,GS,33,9.0,10,0,0,10,1,1B
117 (1),Aug 9,STL,,LAD,L,5-6,CG,44,9.0,5,1,2,8,2,1B
120 (2),Aug 12,STL,@,PIT,W,3-2,GS,25,6.0,4,1,0,5,0,1B
126 (5),Aug 18,STL,@,CIN,L,0-5,CG,38,8.0,13,0,0,13,1,1B
129 (2),Aug 22,STL,@,ATL,W,13-4,GF,4,1.0,0,0,0,0,0,LF
