1,Apr 6,CHC,,MON,W,3-2,CG,33,9.0,2,3,0,5,2,2B
2,Apr 7,CHC,,MON,W,3-2,CG,37,10.0,2,3,0,5,1,2B
3,Apr 8,CHC,,MON,L,2-5,CG,39,9.0,4,3,0,7,0,2B
4,Apr 12,CHC,@,PIT,L,0-6,CG,37,8.0,2,0,0,2,0,2B
5,Apr 13,CHC,@,STL,L,3-6,CG,36,8.0,2,2,0,4,1,2B
6,Apr 14,CHC,@,STL,W,4-1,CG,35,9.0,2,6,0,8,1,2B
7,Apr 15,CHC,@,STL,W,8-6,CG,40,9.0,3,4,0,7,0,2B
8,Apr 17,CHC,@,NYM,W,1-0,CG,30,9.0,1,1,0,2,0,2B
9,Apr 18,CHC,@,NYM,W,1-0,CG,35,9.0,4,4,0,8,0,2B
10,Apr 19 (1),CHC,@,NYM,L,1-3,CG,36,8.0,2,5,0,7,0,2B
12 (1),Apr 21 susp,CHC,,PIT,W,10-9,CG,46,9.0,1,0,0,1,0,2B
13,Apr 22 (1),CHC,,PIT,L,4-10,CG,42,9.0,2,4,0,6,1,2B
15 (1),Apr 24,CHC,,SFG,L,2-4,CG,45,10.0,1,4,0,5,0,2B
16,Apr 25,CHC,,SFG,L,0-5,CG,36,9.0,1,0,0,1,0,2B
17,Apr 26,CHC,,SFG,L,3-7,CG,44,9.0,3,3,0,6,0,2B
18,Apr 27,CHC,,SDP,W,10-2,CG,38,9.0,2,5,0,7,3,2B
20 (1),Apr 29,CHC,,SDP,W,10-4,GS,27,6.0,2,3,0,5,1,2B
21,May 1,CHC,@,LAD,W,9-5,CG,41,9.0,2,8,0,10,2,2B
22,May 2,CHC,@,LAD,L,1-4,CG,32,8.0,2,1,0,3,1,2B
24 (1),May 4,CHC,@,SFG,L,4-5,CG,36,8.0,1,3,0,4,0,2B
25,May 5,CHC,@,SFG,W,7-4,GS,33,8.0,0,2,0,2,0,2B
26,May 6 (1),CHC,@,SFG,L,9-11,CG,55,11.2,1,3,0,4,0,2B
28 (1),May 7,CHC,@,SDP,L,1-4,CG,36,8.0,1,2,0,3,1,2B
29,May 8,CHC,@,SDP,W,3-2,CG,52,12.0,1,0,0,1,0,2B
