3 (2),Apr 16,DET,,CHW,W,10-2,GF,0, ,2,0,0,2,0,
18 (14),May 5,DET,@,SLB,W,3-1,CG,0,10.0,4,1,0,5,1,
22 (3),May 13,DET,,NYY,L,4-6,GF,0, ,1,0,0,1,0,
42 (19),Jun 7,DET,@,NYY,L,1-5,GF,0, ,1,1,0,2,1,
76 (33),Jul 11,DET,,PHA,L,1-7,GF,0, ,2,0,0,2,1,
93 (16),Jul 29,DET,@,NYY,L,2-11,GF,0, ,3,0,1,4,0,
103 (9),Aug 9,DET,@,PHA,L,1-7,CG,0,8.0,3,0,1,4,0,
104,Aug 10,DET,@,PHA,L,1-3,CG,0,8.0,2,4,0,6,0,
105,Aug 11,DET,@,WSH,L,2-3,CG,0,8.0,4,1,0,5,0,
108 (2),Aug 14,DET,@,WSH,T,3-3,GS,0, ,5,1,0,6,2,
109,Aug 15,DET,,CHW,W,8-1,CG,0,9.0,3,0,0,3,0,
120 (10),Aug 27,DET,,NYY,W,17-6,GF,0, ,0,0,0,0,0,
133 (12),Sep 8,DET,,CLE,L,4-7,GF,0, ,2,0,0,2,0,
157 (23),Oct 2,DET,,CHW,T,6-6,,0, ,2,0,0,2,0,
158,Oct 3,DET,@,CHW,W,3-1,GS,0, ,2,1,0,3,0,
