78,1,Apr 5,FLA,,ATL,W,9-0,GS-6,W(1-0),99,6.0,2,0,0,3,6,0,0,0.00,22,108,64,18,12,6,7,3,2,0,71,,,0,0,0,19,1,0,0,1,0,0,.56,0.109,2.86, 1t start tie, 6t 3 out a7
79,6,Apr 10,FLA,,WSN,W,8-0,SHO,W(2-0),4,9.0,5,0,0,1,11,0,0,0.00,32,110,78,23,15,8,12,2,4,0,87,,,0,0,0,31,2,0,0,0,0,0,.80,0.505,4.29, 1t start tie, 9t 3 out a8
80,10,Apr 15,FLA,@,NYM,L,0-4,GS-5,L(2-1),4,5.0,4,4,1,3,6,0,0,0.45,24,81,54,17,9,8,7,2,0,0,52,,,1,0,0,19,3,0,1,0,0,2,.77,-0.160,-1.55, 1b start tie, 5b 3 out d4
81,15,Apr 20,FLA,,NYM,W,9-2,GS-7,W(3-1),4,7.0,4,2,2,3,7,0,0,1.00,26,103,65,25,10,14,2,0,1,0,65,,,0,0,0,23,0,1,0,2,0,0,.49,0.184,1.34, 1t start tie, 7t 3 out a7
82,20,Apr 26,FLA,@,COL,W,9-3,GS-6,W(4-1),5,6.0,8,3,2,1,5,0,0,1.36,26,96,69,21,9,11,9,4,1,0,50,,,1,0,0,25,1,1,0,1,0,0,1.07,0.063,0.41, 1b start tie, 6b 3 out a1
83,23,May 1,FLA,@,PHI,L,6-8,GS-2,L(4-2),4,2.0,5,5,5,3,1,1,0,2.57,14,68,36,9,1,3,7,3,0,0,24,,,0,0,0,10,1,0,0,0,0,0,.64,-0.324,-3.94, 1b start tie, 2b 3 out d5
84,27,May 7,FLA,,COL,W,4-1,GS-7,W(5-2),5,7.0,5,0,0,1,6,0,2,2.14,26,96,63,21,10,8,9,4,1,0,72,,,0,1,0,23,0,0,0,1,0,0,1.11,0.405,3.34, 1t start tie, 7t 3 out a2
85,32,May 13,FLA,@,SDP,L,2-3,GS-7,L(5-3),5,6.2,7,3,3,1,9,0,0,2.40,27,108,70,23,12,8,9,3,1,0,56,,,1,1,0,26,3,0,0,0,0,0,.99,-0.040,0.65, 1b start tie, 7b -23 2 out d1
86,37,May 18,FLA,@,LAD,W,8-3,GS-6,W(6-3),4,6.0,5,2,2,5,6,0,0,2.47,27,121,74,19,13,10,6,3,2,0,55,,,0,1,0,22,3,0,1,0,0,0,1.27,-0.002,0.98, 1b start tie, 6b 3 out a4
87,42,May 24,FLA,,PHI,W,4-3,GS-7,,5,7.0,6,3,3,2,6,0,1,2.63,28,113,73,26,11,7,12,4,5,0,57,,,0,1,1,24,1,0,0,1,0,0,.98,-0.037,0.34, 1t start tie, 7t 3 out d3
88,47,May 29,FLA,,NYM,W,6-3,GS-7,W(7-3),4,7.0,4,2,2,4,5,1,0,2.62,26,96,60,20,7,7,10,3,2,0,62,,,0,0,0,22,1,0,0,3,0,0,1.14,0.052,1.34, 1t start tie, 7t 3 out d1
89,52,Jun 3,FLA,@,WSN,L,2-3,GS-8,,4,8.0,4,2,2,2,4,0,0,2.58,30,106,66,19,9,10,14,7,4,0,68,,,0,0,0,28,0,1,0,0,0,0,1.11,0.281,1.85, 1b start tie, 8b 3 out tie
90,57,Jun 9,FLA,,SEA,L,0-8,GS-7,L(7-4),5,6.2,10,8,7,1,6,1,1,3.13,31,103,76,15,10,10,13,4,1,0,29,,,0,0,0,28,1,0,0,0,0,0,.83,-0.126,-3.25, 1t start tie, 7t -23 2 out d6
91,62,Jun 14,FLA,@,CHC,L,0-14,GS-6,L(7-5),4,5.1,6,4,4,0,3,2,0,3.35,21,78,47,11,4,12,6,1,2,0,43,,,0,1,0,21,1,0,0,0,0,0,.64,-0.128,-1.12, 1b start tie, 6b --- 1 out d4
92,76,Jun 30,FLA,,ATL,W,6-2,GS-6,W(8-5),15,6.0,1,0,0,2,4,0,0,3.14,19,80,50,14,9,5,8,1,3,0,72,,,0,1,0,17,0,0,0,1,0,0,.59,0.216,2.86, 1t start tie, 6t 3 out a4
93,81,Jul 5,FLA,,MIL,L,4-6,GS-3,L(8-6),4,2.0,6,3,3,0,4,0,0,3.35,12,42,29,7,7,4,5,4,1,0,36,,,0,0,0,12,2,0,0,0,0,0,1.16,-0.150,-1.42, 1t start tie, 3t 1-- 0 out d2
94,95,Jul 23,FLA,@,SFG,W,16-4,GS-6,W(9-6),17,6.0,4,2,2,0,7,1,0,3.33,21,67,51,9,10,8,6,1,0,0,63,,,0,0,0,21,1,0,0,1,0,0,.64,0.055,1.07, 1b start a 3, 6b 3 out a10
95,100,Jul 29,FLA,,WSN,W,4-3,GS-7,W(10-6),5,6.1,5,3,3,1,8,1,0,3.39,24,100,62,15,17,8,8,1,2,0,58,,,0,0,0,23,0,0,0,1,0,0,.89,0.039,0.17, 1t start tie, 7t 1-3 1 out a2
96,105,Aug 3,FLA,@,STL,L,6-9,GS-7,,4,6.1,4,4,4,2,5,1,0,3.51,25,101,63,16,7,9,9,4,3,0,52,,,0,0,0,23,1,0,0,0,0,1,1.02,0.099,0.66, 1b start a 2, 7b 12- 1 out a2
