28,2 (1),Apr 17,PHA,,NYY,L,1-4,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
29,6 (3),Apr 24,PHA,@,NYY,L,4-9,8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
30,8 (1),Apr 26,PHA,@,WSH,L,6-8,7-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,P
31,12 (3),Apr 30,PHA,,CLE,L,5-10,3-9,3,3,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0,.000,.000,.000,.000,9,.35,-0.028,-0.68,P
32,17 (4),May 7,PHA,,CHW,L,3-6,4-7,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,.81,-0.021,-0.25,P
33,19 (1),May 9,PHA,,SLB,L,2-4,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
34,21 (1),May 11,PHA,,WSH,L,6-9,4-7,2,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,.000,.000,.000,.000,9,1.61,-0.059,-0.48,P
35,23 (1),May 14,PHA,@,CLE,W,9-7,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
36,25 (1),May 19,PHA,@,SLB,L,4-10,1-5,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,1.20,-0.033,-0.48,P
37,32 (6),May 29,PHA,,BOS,L,3-8,8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
38,34 (1),May 30 (2),PHA,,WSH,L,2-14,6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
39,43 (8),Jun 8,PHA,,SLB,L,1-15,5-5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
40,57 (13),Jun 25,PHA,@,SLB,L,10-12,0-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,,,,P
41,68 (10),Jul 4 (2),PHA,@,WSH,L,5-9,GS-0,2,1,0,0,0,0,0,0,0,,0,0,1,,,0,0,0,.000,.000,.000,.000,9,,,,P
42,70 (1),Jul 6,PHA,,NYY,W,8-7,10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,P
