310,2 (1),Apr 19,WSH,@,BAL,L,2-3,6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,8,3.70,-0.216,-1.55,PH
311,4 (1),Apr 21,WSH,@,BAL,W,6-5,8-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.02,-0.026,-0.10,PH
312,5,Apr 22,WSH,,BOS,L,4-5,11-GF(11),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,6,7.15,-0.334,-0.91,PH
313,7 (1),Apr 24,WSH,,BOS,W,11-10,6-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,PH
314,8,Apr 25,WSH,,BAL,L,2-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,3.49,-0.098,-0.23,PH
315,12 (3),May 2,WSH,,CLE,L,2-3,7-8,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.200,.200,.400,.600,7,2.68,0.222,1.77,PH
316,13,May 3,WSH,,CLE,W,7-6,8-9,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.333,.333,.833,1.167,9,3.34,0.430,1.42,PH
317,15 (1),May 5,WSH,,CHW,L,3-5,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.286,.714,1.000,9,1.19,-0.030,-0.16,PH
318,17 (1),May 7,WSH,,CHW,L,4-6,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.625,.875,9,1.50,-0.043,-0.23,PH
319,20 (2),May 11,WSH,,DET,L,0-1,11-GF(11),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.556,.778,9,2.63,-0.065,-0.16,PH
320,21,May 13,WSH,,NYY,L,3-7,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.231,.231,.538,.769,6,1.71,-0.001,0.00,1B
321,22,May 14,WSH,,NYY,W,4-0,CG,4,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,.353,.353,.588,.941,5,.56,0.060,1.38,1B
322,23,May 15,WSH,,NYY,L,2-11,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.286,.286,.476,.762,5,.26,-0.037,-1.84,1B
323,24,May 17,WSH,@,DET,L,1-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.240,.400,.640,5,1.63,-0.144,-1.14,1B
324,25,May 18,WSH,@,DET,W,3-0,7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.231,.385,.615,8,2.15,-0.061,-0.36,PH
325,26,May 21,WSH,@,KCA,L,2-5,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.370,.593,9,1.53,-0.033,-0.18,PH
326,27,May 22 (1),WSH,@,CHW,W,7-5,CG,5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.375,.625,6,.58,-0.022,-0.39,1B
327,28,May 22 (2),WSH,@,CHW,W,3-2,CG,4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.250,.250,.361,.611,7,1.56,0.128,0.88,1B
328,29,May 24,WSH,@,CLE,L,2-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.225,.325,.550,6,.91,-0.090,-0.91,1B
329,30,May 25,WSH,@,CLE,L,0-1,CG(11),4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.205,.205,.295,.500,6,1.48,-0.151,-0.82,1B
330,31,May 26,WSH,,BOS,W,5-2,CG,4,4,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,.229,.229,.333,.562,5,2.03,0.315,2.49,1B
331,32,May 27,WSH,,BOS,L,3-4,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.250,.346,.596,5,1.40,0.047,0.40,1B
332,33,May 28,WSH,@,NYY,L,1-5,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,.250,.250,.357,.607,3,1.54,-0.237,-1.14,1B
333,34,May 29,WSH,@,NYY,L,4-6,CG(11),5,4,1,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,.267,.267,.417,.683,6,2.02,-0.104,-0.41,1B
334,35,May 30 (1),WSH,@,NYY,W,2-1,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.266,.266,.422,.688,6,.57,0.021,0.07,1B
335,36,May 30 (2),WSH,@,NYY,L,2-3,CG,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.265,.275,.412,.687,4,1.96,-0.135,-0.28,1B
336,37,May 31,WSH,@,BOS,L,1-5,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.254,.274,.394,.668,5,.87,-0.039,-0.36,1B
337,38,Jun 2 (1),WSH,@,BOS,W,8-3,CG,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.253,.273,.387,.659,6,.68,0.111,1.03,1B
338,39,Jun 2 (2),WSH,@,BOS,W,8-7,CG(10),5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.238,.256,.363,.619,6,2.62,-0.290,-1.00,1B
339,40,Jun 3,WSH,,BAL,W,4-1,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,.238,.256,.357,.613,6,.94,-0.116,-1.51,1B
340,41,Jun 4,WSH,@,BAL,W,7-1,CG,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.225,.242,.337,.579,7,.43,-0.046,-1.40,1B
