1,1,Apr 18,BRO,@,PHI,L,1-9,3-3,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.000,.000,.000,.000,9,.92,-0.021,-0.37,PH
2,8 (6),Apr 27,BRO,,PHI,L,2-9,5-6,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.000,.000,.000,.000,9,.13,-0.003,-0.11,PH
3,33 (24),May 27,BRO,@,BSN,L,1-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,.06,-0.002,-0.23,PH
4,55 (21),Jun 22,BRO,,CIN,L,5-9,5-6,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.000,.000,.000,.000,9,1.05,-0.027,-0.25,PH
5,59 (3),Jun 27,BRO,,NYG,L,3-10,5-6,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,.26,-0.007,-0.25,PH
6,77 (17),Jul 17 (1),BRO,@,STL,W,6-3,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,6,.42,-0.011,-0.18,1B
7,96 (18),Aug 5,BRO,,CIN,L,3-4,5-6,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,.000,.000,.000,.000,9,1.66,-0.073,-0.56,PH
8,97,Aug 6,BRO,,CIN,L,7-11,5-6,1,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,.000,.000,.000,.000,9,.72,-0.018,-0.17,PH
9,105 (7),Aug 16,BRO,@,NYG,L,7-16,2-2,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,.27,-0.008,-0.62,PH
10,116 (10),Aug 27,BRO,@,STL,L,3-13,5-5,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.000,.000,.000,.000,9,.70,-0.018,-0.25,PH
