106,1,Apr 10,LAD,@,ATL,W,6-4,GS-8,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.333,.667,1.000,9,1.41,0.008,0.09,P
107,6 (4),Apr 15,LAD,@,SFG,W,2-1,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.200,.400,.600,9,.68,-0.033,-0.35,P
108,11 (4),Apr 20,LAD,@,SDP,L,3-5,GS-7,3,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,.143,.143,.286,.429,9,1.03,-0.054,-0.57,P
109,16 (4),Apr 25,LAD,,SFG,W,7-1,CG,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.111,.111,.222,.333,9,.47,-0.023,-0.54,P
110,21 (4),May 1,LAD,@,MON,L,3-9,GS-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.100,.200,.300,9,1.72,-0.043,-0.41,P
111,25 (3),May 7,LAD,@,NYM,L,5-6,GS-4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.182,.273,.455,9,.32,0.011,0.12,P
112,29 (3),May 12,LAD,,PHI,L,3-7,GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.182,.182,.273,.455,9,,,,P
113,34 (4),May 18,LAD,,NYM,W,4-3,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.154,.154,.231,.385,9,1.16,-0.057,-0.43,P
114,39 (4),May 23,LAD,@,HOU,W,2-0,GS-8,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.118,.118,.176,.294,9,1.04,-0.101,-1.33,P
115,44 (4),May 28,LAD,,HOU,W,8-2,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.100,.100,.150,.250,9,.48,-0.036,-1.03,P
116,49 (4),Jun 2,LAD,,CIN,W,4-1,GS-9,3,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,.091,.091,.136,.227,9,.55,0.075,0.67,P
117,54 (4),Jun 8,LAD,@,CHC,L,3-4,GS-7,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.167,.292,9,.31,0.008,0.15,P
118,58 (3),Jun 13,LAD,@,PIT,W,3-2,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.115,.115,.154,.269,9,1.17,-0.059,-0.50,P
119,63 (4),Jun 18,LAD,,CHC,W,6-5,GS-8,3,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.143,.143,.179,.321,9,1.20,-0.009,0.02,P
120,68 (4),Jun 23,LAD,,PIT,W,2-0,GS-9,3,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.194,.194,.226,.419,9,.90,0.117,1.05,P
121,73 (4),Jun 29,LAD,@,ATL,W,2-1,GS-8,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.176,.176,.206,.382,9,.76,-0.060,-0.55,P
122,78 (4),Jul 5,LAD,,ATL,L,1-4,GS-7,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.167,.167,.194,.361,9,1.16,-0.059,-0.48,P
123,84 (5),Jul 14 (2),LAD,@,MON,L,4-7,GS-6,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.184,.184,.211,.395,9,.65,0.022,0.16,P
124,88 (3),Jul 18,LAD,@,NYM,W,10-5,GS-2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.179,.179,.205,.385,9,.25,-0.006,-0.22,P
125,93 (4),Jul 24,LAD,,PHI,W,2-1,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.171,.171,.195,.366,9,.98,-0.048,-0.36,P
126,98 (4),Jul 29,LAD,,NYM,L,1-5,GS-9,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.163,.163,.186,.349,9,.95,-0.046,-0.29,P
127,103 (4),Aug 4,LAD,@,HOU,L,1-2,GS-9,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.156,.156,.178,.333,9,.80,-0.038,-0.34,P
128,108 (4),Aug 9,LAD,@,SFG,L,0-1,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.146,.146,.167,.312,9,1.75,-0.157,-1.01,P
129,113 (4),Aug 14,LAD,,CIN,W,4-1,GS-8,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.137,.137,.157,.294,9,1.08,-0.097,-1.49,P
130,118 (4),Aug 19,LAD,,SDP,W,3-2,GS-8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.132,.132,.151,.283,9,.94,-0.048,-0.35,P
131,123 (4),Aug 25,LAD,@,STL,L,2-5,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.127,.127,.145,.273,9,1.71,-0.083,-0.65,P
132,128 (4),Aug 30,LAD,,CHC,W,2-0,CG,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.125,.125,.143,.268,9,1.26,-0.066,-0.77,P
133,133 (4),Sep 4,LAD,,STL,W,8-3,GS-7,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.121,.121,.138,.259,9,.63,-0.031,-0.24,P
134,138 (4),Sep 9,LAD,@,CIN,W,10-4,GS-2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.136,.136,.169,.305,9,.67,0.047,0.62,P
135,143 (4),Sep 14,LAD,@,ATL,L,2-3,GS-3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.133,.133,.167,.300,9,.95,-0.023,-0.31,P
136,149 (5),Sep 20,LAD,,ATL,L,0-3,GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.129,.129,.161,.290,9,.71,-0.038,-0.30,P
137,154 (4),Sep 27,LAD,,SFG,W,6-2,GS-9,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.123,.123,.154,.277,9,1.30,-0.005,-0.30,P
138,159 (4),Oct 2,LAD,,SDP,L,4-9,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.119,.119,.149,.269,9,2.30,-0.115,-1.03,P
