9 (8),Apr 9,SFG,,SDP,W,15-11,GF,5,1.0,0,0,0,0,0,LF
12 (2),Apr 13,SFG,,LAD,W,5-4,GF,4,1.0,0,1,0,1,0,RF
15 (2),Apr 16,SFG,,HOU,L,5-8,CG,47,9.0,3,0,0,3,0,LF
17 (1),Apr 19,SFG,@,LAD,W,9-3,GF,7,2.0,0,0,0,0,0,LF
18,Apr 20,SFG,@,LAD,L,4-16,GF,6,1.0,0,0,0,0,0,PH LF
19,Apr 22,SFG,@,PIT,L,2-5,CG,35,8.0,2,0,0,2,0,LF
20,Apr 23,SFG,@,PIT,W,4-3,CG,57,13.0,5,0,0,5,0,LF
23 (2),Apr 26,SFG,@,PHI,L,2-10,GF,8,2.0,0,0,0,0,0,LF
29 (5),May 3,SFG,,CIN,W,9-6,GF,13,3.0,2,0,0,2,0,LF
30,May 4,SFG,,CIN,W,6-1,GS,22,6.0,0,0,0,0,0,LF
52 (21),May 28,SFG,,ARI,W,10-2,GF,3,1.0,0,0,0,0,0,PH LF
57 (4),Jun 3,SFG,,MIN,L,4-6,GS,33,7.0,2,1,0,3,0,RF
58,Jun 4,SFG,,MIN,W,4-3,GS,31,7.2,4,0,0,4,0,RF
62 (3),Jun 8,SFG,,DET,W,7-6,CG,41,9.0,2,0,0,2,0,LF
64 (1),Jun 11,SFG,@,CHW,W,11-4,CG,38,9.0,6,0,0,6,0,LF
65,Jun 12,SFG,@,CHW,W,8-4,GS,34,8.0,2,0,0,2,0,LF
67 (1),Jun 14,SFG,@,KCR,W,7-4,CG,39,9.0,2,0,0,2,0,LF
68,Jun 15,SFG,@,KCR,L,4-5,CG,39,8.2,2,0,0,2,0,LF
157 (88),Sep 24,SFG,@,HOU,L,1-2,CG,29,8.0,0,0,0,0,0,LF
158,Sep 26,SFG,,LAD,W,10-1,GF,8,2.0,0,0,0,0,0,RF
160 (1),Sep 27 (2),SFG,,LAD,W,6-3,GS,35,8.0,5,0,0,5,0,LF
