62 (61),Jun 27,NYY,@,PHA,L,3-6,GS,29,7.0,1,0,0,1,0,C
63,Jun 29,NYY,@,PHA,W,7-5,GS,29,6.0,3,0,0,3,0,C
65 (1),Jul 1,NYY,,BOS,W,3-2,CG,33,9.0,0,1,0,1,0,C
69 (3),Jul 4 (2),NYY,,WSH,W,14-4,CG,0,9.0,6,1,0,7,0,
73 (3),Jul 9,NYY,@,SLB,W,8-7,GS,29,6.0,3,0,0,3,0,C
77 (3),Jul 13 (2),NYY,@,CHW,W,6-5,GS,0, ,0,0,0,0,0,
81 (3),Jul 17,NYY,@,DET,L,8-9,CG,0,9.1,4,0,1,5,0,
84 (2),Jul 20 (1),NYY,@,CLE,L,4-8,CG,36,8.0,2,3,0,5,0,C
86 (1),Jul 21,NYY,@,CLE,L,4-6,GS,33,7.0,1,2,0,3,0,C
87,Jul 23,NYY,,DET,W,7-5,CG,39,9.0,5,0,0,5,0,C
95 (7),Aug 2,NYY,,CLE,L,8-9,GS,33,7.0,3,0,0,3,0,C
96,Aug 4 (1),NYY,,CLE,W,12-0,GS,5,1.0,0,0,0,0,0,C
99 (2),Aug 6 (2),NYY,,WSH,W,8-0,CG,32,9.0,1,1,0,2,0,C
102 (2),Aug 8,NYY,@,PHA,W,6-4,GS,9,2.0,1,0,0,1,0,C
103,Aug 10,NYY,@,CLE,W,4-2,CG,37,9.0,4,0,0,4,0,C
105 (1),Aug 12,NYY,@,CLE,L,7-11,GS,16,3.0,2,0,0,2,0,C
108 (2),Aug 15,NYY,@,DET,L,0-3,GS,0, ,3,0,0,3,0,
110 (1),Aug 17,NYY,@,DET,W,7-2,GF,0, ,2,0,0,2,1,
118 (7),Aug 25,NYY,@,SLB,L,2-3,CG,35,8.0,3,0,0,3,0,C
120 (1),Aug 28,NYY,,PHA,L,7-9,GF,0,1.0,1,0,0,1,0,
124 (3),Aug 31 (2),NYY,,WSH,W,13-3,GF,22,4.0,1,0,0,1,0,C
147 (22),Sep 24,NYY,@,BOS,W,5-3,GS,20,5.0,0,1,0,1,0,C
148,Sep 25,NYY,@,BOS,W,11-10,GS,39,7.0,0,0,0,0,0,C
