618,1,Apr 4,PIT,,HOU,L,2-5,CG,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,8,1.00,-0.099,-0.79,2B
619,2,Apr 5,PIT,,HOU,L,2-11,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.625,1.125,8,.81,0.052,0.00,2B
620,6 (3),Apr 9,PIT,@,ARI,L,0-1,CG,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.455,.455,.545,1.000,8,1.05,0.002,0.09,2B
621,10 (3),Apr 14,PIT,,NYM,L,5-8,9-GF(12),2,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,.538,.538,.692,1.231,7,1.74,0.185,1.50,3B
622,11,Apr 15,PIT,,NYM,W,2-0,CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.500,.500,.625,1.125,2,.94,-0.036,-0.23,SS
623,13 (1),Apr 18,PIT,@,FLA,L,5-12,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.471,.471,.588,1.059,3,.00,0.000,-0.11,PH
624,15 (1),Apr 20,PIT,@,FLA,L,2-3,14-14,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.667,1.167,8,1.36,0.070,0.22,PH
625,16,Apr 21,PIT,@,ATL,L,2-6,CG,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.429,.455,.571,1.026,7,.79,-0.012,-0.23,2B
626,18 (1),Apr 23,PIT,@,ATL,L,3-5,8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.429,.455,.571,1.026,7,,,,PR 3B
627,19,Apr 25,PIT,,SDP,W,4-3,9-11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.409,.435,.545,.980,8,1.48,-0.039,-0.12,3B
628,22 (2),Apr 28,PIT,,CIN,W,2-1,CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.360,.385,.480,.865,8,.82,-0.080,-1.22,3B
629,23,Apr 29,PIT,,CIN,L,5-6,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.357,.400,.464,.864,8,1.26,0.004,0.88,3B
630,25 (1),May 2,PIT,@,STL,W,10-7,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.345,.387,.448,.835,8,.06,-0.002,-0.18,PR 3B
631,27 (1),May 4,PIT,@,STL,L,0-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.303,.343,.394,.737,8,.94,-0.120,-2.23,3B
632,29 (1),May 6,PIT,@,CHC,W,11-9,CG,5,5,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.342,.375,.447,.822,8,.80,0.182,1.82,2B
633,30,May 7,PIT,@,CHC,W,11-3,7-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.359,.390,.462,.852,3,.06,0.003,0.39,SS
634,32 (1),May 10,PIT,,NYM,W,13-9,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.364,.429,.792,8,1.56,-0.133,-1.30,3B
635,33,May 11,PIT,,NYM,L,2-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,.326,.354,.413,.767,2,1.27,-0.080,-0.70,2B
